number,value,datetime_start,datetime_complete,duration,params_fit_intercept,params_n_path_features,user_attrs_val_metrics,state
0,0.9736771523952484,2026-02-23 19:38:56.689984,2026-02-23 19:39:41.584924,0 days 00:00:44.894940,False,40,"{'val_rmse_mean': 0.9831368327140808, 'val_mae_mean': 0.7735186815261841, 'val_r2_mean': -1.5397071838378906, 'val_rmse_target_0': 0.9230648875236511, 'val_mae_target_0': 0.7557005882263184, 'val_r2_target_0': -0.6613450050354004, 'val_rmse_target_1': 0.9823306202888489, 'val_mae_target_1': 0.7646459937095642, 'val_r2_target_1': -0.8949506282806396, 'val_rmse_target_2': 1.0029008388519287, 'val_mae_target_2': 0.8023135662078857, 'val_r2_target_2': -0.7194153070449829, 'val_rmse_target_3': 0.963728666305542, 'val_mae_target_3': 0.7864060997962952, 'val_r2_target_3': -1.138904333114624, 'val_rmse_target_4': 1.0115197896957397, 'val_mae_target_4': 0.8263667225837708, 'val_r2_target_4': -1.1772654056549072, 'val_rmse_target_5': 1.1609017848968506, 'val_mae_target_5': 0.8816919922828674, 'val_r2_target_5': -4.707529544830322, 'val_rmse_target_6': 0.9794846177101135, 'val_mae_target_6': 0.6728752851486206, 'val_r2_target_6': -1.7947108745574951, 'val_rmse_target_7': 0.8411636352539062, 'val_mae_target_7': 0.6981489062309265, 'val_r2_target_7': -1.2235383987426758}",COMPLETE
1,0.9202633595466614,2026-02-23 19:39:41.842466,2026-02-23 19:40:25.139350,0 days 00:00:43.296884,False,30,"{'val_rmse_mean': 0.9558770656585693, 'val_mae_mean': 0.7492092847824097, 'val_r2_mean': -1.890589952468872, 'val_rmse_target_0': 0.8899857997894287, 'val_mae_target_0': 0.7243812680244446, 'val_r2_target_0': -0.841270923614502, 'val_rmse_target_1': 0.9759977459907532, 'val_mae_target_1': 0.7700257897377014, 'val_r2_target_1': -1.0311262607574463, 'val_rmse_target_2': 0.8923966288566589, 'val_mae_target_2': 0.7346174120903015, 'val_r2_target_2': -0.587721586227417, 'val_rmse_target_3': 0.9462162852287292, 'val_mae_target_3': 0.7495242953300476, 'val_r2_target_3': -1.563697099685669, 'val_rmse_target_4': 1.0010713338851929, 'val_mae_target_4': 0.7839493751525879, 'val_r2_target_4': -1.9090261459350586, 'val_rmse_target_5': 1.1416878700256348, 'val_mae_target_5': 0.8802597522735596, 'val_r2_target_5': -6.214216709136963, 'val_rmse_target_6': 0.9195610284805298, 'val_mae_target_6': 0.6195715069770813, 'val_r2_target_6': -1.0966460704803467, 'val_rmse_target_7': 0.8800999522209167, 'val_mae_target_7': 0.7313446998596191, 'val_r2_target_7': -1.8810150623321533}",COMPLETE
2,0.9781358522176743,2026-02-23 19:40:25.389709,2026-02-23 19:41:10.759110,0 days 00:00:45.369401,True,60,"{'val_rmse_mean': 0.9859746694564819, 'val_mae_mean': 0.7751351594924927, 'val_r2_mean': -1.5036070346832275, 'val_rmse_target_0': 0.9123148322105408, 'val_mae_target_0': 0.7492377758026123, 'val_r2_target_0': -0.573394775390625, 'val_rmse_target_1': 0.9672174453735352, 'val_mae_target_1': 0.7505657076835632, 'val_r2_target_1': -0.7823655605316162, 'val_rmse_target_2': 0.999195396900177, 'val_mae_target_2': 0.7783969640731812, 'val_r2_target_2': -0.6687405109405518, 'val_rmse_target_3': 0.9903619289398193, 'val_mae_target_3': 0.8118319511413574, 'val_r2_target_3': -1.0997109413146973, 'val_rmse_target_4': 0.9928582906723022, 'val_mae_target_4': 0.8057410717010498, 'val_r2_target_4': -0.9142165184020996, 'val_rmse_target_5': 1.1437084674835205, 'val_mae_target_5': 0.8757951855659485, 'val_r2_target_5': -4.895867347717285, 'val_rmse_target_6': 1.0216515064239502, 'val_mae_target_6': 0.7093554735183716, 'val_r2_target_6': -1.785787582397461, 'val_rmse_target_7': 0.8604896664619446, 'val_mae_target_7': 0.7201568484306335, 'val_r2_target_7': -1.3087708950042725}",COMPLETE
3,0.9768012273311615,2026-02-23 19:41:10.999455,2026-02-23 19:41:56.122709,0 days 00:00:45.123254,False,55,"{'val_rmse_mean': 0.9852488040924072, 'val_mae_mean': 0.7734189629554749, 'val_r2_mean': -1.5020315647125244, 'val_rmse_target_0': 0.9344205260276794, 'val_mae_target_0': 0.7692919373512268, 'val_r2_target_0': -0.6687440872192383, 'val_rmse_target_1': 0.9524142146110535, 'val_mae_target_1': 0.7281284928321838, 'val_r2_target_1': -0.804884672164917, 'val_rmse_target_2': 1.0008368492126465, 'val_mae_target_2': 0.781374990940094, 'val_r2_target_2': -0.730353593826294, 'val_rmse_target_3': 0.9897016286849976, 'val_mae_target_3': 0.8044968247413635, 'val_r2_target_3': -1.1842803955078125, 'val_rmse_target_4': 0.9940361380577087, 'val_mae_target_4': 0.8207816481590271, 'val_r2_target_4': -0.9899681806564331, 'val_rmse_target_5': 1.144996166229248, 'val_mae_target_5': 0.8562227487564087, 'val_r2_target_5': -4.485697269439697, 'val_rmse_target_6': 1.0154491662979126, 'val_mae_target_6': 0.7110421657562256, 'val_r2_target_6': -1.841381549835205, 'val_rmse_target_7': 0.8501356244087219, 'val_mae_target_7': 0.7160129547119141, 'val_r2_target_7': -1.3109409809112549}",COMPLETE
4,0.9690030062198639,2026-02-23 19:41:56.377199,2026-02-23 19:42:44.027681,0 days 00:00:47.650482,False,35,"{'val_rmse_mean': 0.9807764291763306, 'val_mae_mean': 0.7716339826583862, 'val_r2_mean': -1.616725206375122, 'val_rmse_target_0': 0.9144337177276611, 'val_mae_target_0': 0.7505542635917664, 'val_r2_target_0': -0.6791507005691528, 'val_rmse_target_1': 0.955337405204773, 'val_mae_target_1': 0.757388174533844, 'val_r2_target_1': -0.8379316329956055, 'val_rmse_target_2': 0.9745211601257324, 'val_mae_target_2': 0.7825284004211426, 'val_r2_target_2': -0.7107174396514893, 'val_rmse_target_3': 0.9886689782142639, 'val_mae_target_3': 0.8010289669036865, 'val_r2_target_3': -1.2393012046813965, 'val_rmse_target_4': 1.021622896194458, 'val_mae_target_4': 0.834992527961731, 'val_r2_target_4': -1.2632215023040771, 'val_rmse_target_5': 1.1574896574020386, 'val_mae_target_5': 0.8913372755050659, 'val_r2_target_5': -4.932373523712158, 'val_rmse_target_6': 0.9894577264785767, 'val_mae_target_6': 0.6515386700630188, 'val_r2_target_6': -1.993156909942627, 'val_rmse_target_7': 0.8446803689002991, 'val_mae_target_7': 0.7037036418914795, 'val_r2_target_7': -1.2779502868652344}",COMPLETE
5,0.976147153377533,2026-02-23 19:42:44.268771,2026-02-23 19:43:31.304343,0 days 00:00:47.035572,False,60,"{'val_rmse_mean': 0.984687864780426, 'val_mae_mean': 0.7727383375167847, 'val_r2_mean': -1.5326446294784546, 'val_rmse_target_0': 0.9054631590843201, 'val_mae_target_0': 0.7434256076812744, 'val_r2_target_0': -0.5731724500656128, 'val_rmse_target_1': 0.9689929485321045, 'val_mae_target_1': 0.7443030476570129, 'val_r2_target_1': -0.833899736404419, 'val_rmse_target_2': 1.0022481679916382, 'val_mae_target_2': 0.7823333144187927, 'val_r2_target_2': -0.731826663017273, 'val_rmse_target_3': 0.9853026866912842, 'val_mae_target_3': 0.8025648593902588, 'val_r2_target_3': -1.1733152866363525, 'val_rmse_target_4': 0.9879172444343567, 'val_mae_target_4': 0.8042663335800171, 'val_r2_target_4': -0.9638527631759644, 'val_rmse_target_5': 1.148309588432312, 'val_mae_target_5': 0.8702929615974426, 'val_r2_target_5': -4.907555103302002, 'val_rmse_target_6': 1.025138258934021, 'val_mae_target_6': 0.7168335914611816, 'val_r2_target_6': -1.758096694946289, 'val_rmse_target_7': 0.854130744934082, 'val_mae_target_7': 0.717887282371521, 'val_r2_target_7': -1.319437026977539}",COMPLETE
6,0.9717395615577697,2026-02-23 19:43:31.526786,2026-02-23 19:44:17.528353,0 days 00:00:46.001567,False,50,"{'val_rmse_mean': 0.982811689376831, 'val_mae_mean': 0.7770389914512634, 'val_r2_mean': -1.5936949253082275, 'val_rmse_target_0': 0.9318057298660278, 'val_mae_target_0': 0.7794511318206787, 'val_r2_target_0': -0.6337542533874512, 'val_rmse_target_1': 0.9522067308425903, 'val_mae_target_1': 0.7313411235809326, 'val_r2_target_1': -0.809977650642395, 'val_rmse_target_2': 0.976599931716919, 'val_mae_target_2': 0.7642647624015808, 'val_r2_target_2': -0.6247639656066895, 'val_rmse_target_3': 0.997276246547699, 'val_mae_target_3': 0.8131706118583679, 'val_r2_target_3': -1.3096075057983398, 'val_rmse_target_4': 0.9832460880279541, 'val_mae_target_4': 0.8155049681663513, 'val_r2_target_4': -1.1304543018341064, 'val_rmse_target_5': 1.1510249376296997, 'val_mae_target_5': 0.8766999244689941, 'val_r2_target_5': -5.118373394012451, 'val_rmse_target_6': 1.0056817531585693, 'val_mae_target_6': 0.7095867395401001, 'val_r2_target_6': -1.770397424697876, 'val_rmse_target_7': 0.8646519780158997, 'val_mae_target_7': 0.7262923717498779, 'val_r2_target_7': -1.3522295951843262}",COMPLETE
7,0.9741882503032684,2026-02-23 19:44:17.756583,2026-02-23 19:45:03.592496,0 days 00:00:45.835913,False,65,"{'val_rmse_mean': 0.9832324385643005, 'val_mae_mean': 0.7715762257575989, 'val_r2_mean': -1.5100371837615967, 'val_rmse_target_0': 0.9069705009460449, 'val_mae_target_0': 0.7391300797462463, 'val_r2_target_0': -0.5435060262680054, 'val_rmse_target_1': 0.9705908298492432, 'val_mae_target_1': 0.7432577610015869, 'val_r2_target_1': -0.8203058242797852, 'val_rmse_target_2': 0.9912995100021362, 'val_mae_target_2': 0.7741894721984863, 'val_r2_target_2': -0.7306097745895386, 'val_rmse_target_3': 0.9868029356002808, 'val_mae_target_3': 0.8072093725204468, 'val_r2_target_3': -1.1554591655731201, 'val_rmse_target_4': 0.982008695602417, 'val_mae_target_4': 0.8078380823135376, 'val_r2_target_4': -0.9447951316833496, 'val_rmse_target_5': 1.1513309478759766, 'val_mae_target_5': 0.8796138167381287, 'val_r2_target_5': -4.976515293121338, 'val_rmse_target_6': 1.0414083003997803, 'val_mae_target_6': 0.7274644374847412, 'val_r2_target_6': -1.7848076820373535, 'val_rmse_target_7': 0.8354480862617493, 'val_mae_target_7': 0.6939071416854858, 'val_r2_target_7': -1.1242995262145996}",COMPLETE
8,0.9882923519611359,2026-02-23 19:45:03.843946,2026-02-23 19:45:47.176860,0 days 00:00:43.332914,True,25,"{'val_rmse_mean': 0.9911877512931824, 'val_mae_mean': 0.7763452529907227, 'val_r2_mean': -1.921204686164856, 'val_rmse_target_0': 0.9032053351402283, 'val_mae_target_0': 0.7311229109764099, 'val_r2_target_0': -0.7499759197235107, 'val_rmse_target_1': 1.0230653285980225, 'val_mae_target_1': 0.8316742777824402, 'val_r2_target_1': -0.9402050971984863, 'val_rmse_target_2': 0.9248982667922974, 'val_mae_target_2': 0.7469038963317871, 'val_r2_target_2': -0.6182553768157959, 'val_rmse_target_3': 0.995267927646637, 'val_mae_target_3': 0.7906930446624756, 'val_r2_target_3': -1.8294832706451416, 'val_rmse_target_4': 1.0256822109222412, 'val_mae_target_4': 0.8198391795158386, 'val_r2_target_4': -2.18475604057312, 'val_rmse_target_5': 1.1476191282272339, 'val_mae_target_5': 0.9238379001617432, 'val_r2_target_5': -5.604461669921875, 'val_rmse_target_6': 1.0061126947402954, 'val_mae_target_6': 0.6562399864196777, 'val_r2_target_6': -1.4080781936645508, 'val_rmse_target_7': 0.9036510586738586, 'val_mae_target_7': 0.7104503512382507, 'val_r2_target_7': -2.0344204902648926}",COMPLETE
9,0.9788357949256897,2026-02-23 19:45:47.399305,2026-02-23 19:46:35.316381,0 days 00:00:47.917076,True,55,"{'val_rmse_mean': 0.986497700214386, 'val_mae_mean': 0.7758930921554565, 'val_r2_mean': -1.4776772260665894, 'val_rmse_target_0': 0.9413635730743408, 'val_mae_target_0': 0.7759318351745605, 'val_r2_target_0': -0.6664273738861084, 'val_rmse_target_1': 0.9500871896743774, 'val_mae_target_1': 0.7320415377616882, 'val_r2_target_1': -0.7536710500717163, 'val_rmse_target_2': 0.9976476430892944, 'val_mae_target_2': 0.7763773202896118, 'val_r2_target_2': -0.6689810752868652, 'val_rmse_target_3': 0.9949562549591064, 'val_mae_target_3': 0.816606879234314, 'val_r2_target_3': -1.1277005672454834, 'val_rmse_target_4': 0.9997269511222839, 'val_mae_target_4': 0.824717104434967, 'val_r2_target_4': -0.9530696868896484, 'val_rmse_target_5': 1.1401869058609009, 'val_mae_target_5': 0.8596689701080322, 'val_r2_target_5': -4.4924750328063965, 'val_rmse_target_6': 1.0127472877502441, 'val_mae_target_6': 0.7041727304458618, 'val_r2_target_6': -1.850240707397461, 'val_rmse_target_7': 0.8552656173706055, 'val_mae_target_7': 0.7176281809806824, 'val_r2_target_7': -1.3088526725769043}",COMPLETE
