number,value,datetime_start,datetime_complete,duration,params_alpha,params_fit_intercept,params_l1_ratio,params_n_path_features,params_selection,user_attrs_val_metrics,state
0,1.248857344388962,2026-02-23 20:01:37.871424,2026-02-23 20:02:43.397636,0 days 00:01:05.526212,0.0001974292309852833,True,0.8725749682420829,70,random,"{'val_rmse_mean': 1.1075668334960938, 'val_mae_mean': 0.8830475807189941, 'val_r2_mean': -1.5013020038604736, 'val_rmse_target_0': 0.8968365788459778, 'val_mae_target_0': 0.6976808905601501, 'val_r2_target_0': -1.2004015445709229, 'val_rmse_target_1': 1.262544870376587, 'val_mae_target_1': 1.0754320621490479, 'val_r2_target_1': -0.9237834215164185, 'val_rmse_target_2': 1.0580594539642334, 'val_mae_target_2': 0.8564597368240356, 'val_r2_target_2': -0.6979540586471558, 'val_rmse_target_3': 1.0453758239746094, 'val_mae_target_3': 0.8178969025611877, 'val_r2_target_3': -1.4579026699066162, 'val_rmse_target_4': 1.3878909349441528, 'val_mae_target_4': 1.1064358949661255, 'val_r2_target_4': -0.9924269914627075, 'val_rmse_target_5': 1.1733031272888184, 'val_mae_target_5': 0.9695636034011841, 'val_r2_target_5': -3.796084403991699, 'val_rmse_target_6': 1.060837745666504, 'val_mae_target_6': 0.7306275367736816, 'val_r2_target_6': -1.74660325050354, 'val_rmse_target_7': 0.97568678855896, 'val_mae_target_7': 0.8102836012840271, 'val_r2_target_7': -1.1952612400054932}",COMPLETE
1,1.186988685131073,2026-02-23 20:02:43.645206,2026-02-23 20:03:25.153373,0 days 00:00:41.508167,5.596536074467973,True,0.45087555137627455,40,random,"{'val_rmse_mean': 1.0891036987304688, 'val_mae_mean': 0.8595873117446899, 'val_r2_mean': -142963069943808.0, 'val_rmse_target_0': 1.0903788805007935, 'val_mae_target_0': 0.8452845215797424, 'val_r2_target_0': -216310642376704.0, 'val_rmse_target_1': 1.087052583694458, 'val_mae_target_1': 0.8262152671813965, 'val_r2_target_1': -79838073323520.0, 'val_rmse_target_2': 1.0774803161621094, 'val_mae_target_2': 0.8688509464263916, 'val_r2_target_2': -185728596180992.0, 'val_rmse_target_3': 1.0713231563568115, 'val_mae_target_3': 0.8864813446998596, 'val_r2_target_3': -78818941337600.0, 'val_rmse_target_4': 1.0731843709945679, 'val_mae_target_4': 0.8704732656478882, 'val_r2_target_4': -81458366513152.0, 'val_rmse_target_5': 1.0801255702972412, 'val_mae_target_5': 0.893266499042511, 'val_r2_target_5': -76761014468608.0, 'val_rmse_target_6': 1.1636892557144165, 'val_mae_target_6': 0.8022686839103699, 'val_r2_target_6': -33396535328768.0, 'val_rmse_target_7': 1.069595456123352, 'val_mae_target_7': 0.883858323097229, 'val_r2_target_7': -391392450838528.0}",COMPLETE
2,1.186988685131073,2026-02-23 20:03:25.392282,2026-02-23 20:04:07.322116,0 days 00:00:41.929834,2.7513616275593322,True,0.6749688037964477,30,cyclic,"{'val_rmse_mean': 1.0891036987304688, 'val_mae_mean': 0.8595873117446899, 'val_r2_mean': -142963069943808.0, 'val_rmse_target_0': 1.0903788805007935, 'val_mae_target_0': 0.8452845215797424, 'val_r2_target_0': -216310642376704.0, 'val_rmse_target_1': 1.087052583694458, 'val_mae_target_1': 0.8262152671813965, 'val_r2_target_1': -79838073323520.0, 'val_rmse_target_2': 1.0774803161621094, 'val_mae_target_2': 0.8688509464263916, 'val_r2_target_2': -185728596180992.0, 'val_rmse_target_3': 1.0713231563568115, 'val_mae_target_3': 0.8864813446998596, 'val_r2_target_3': -78818941337600.0, 'val_rmse_target_4': 1.0731843709945679, 'val_mae_target_4': 0.8704732656478882, 'val_r2_target_4': -81458366513152.0, 'val_rmse_target_5': 1.0801255702972412, 'val_mae_target_5': 0.893266499042511, 'val_r2_target_5': -76761014468608.0, 'val_rmse_target_6': 1.1636892557144165, 'val_mae_target_6': 0.8022686839103699, 'val_r2_target_6': -33396535328768.0, 'val_rmse_target_7': 1.069595456123352, 'val_mae_target_7': 0.883858323097229, 'val_r2_target_7': -391392450838528.0}",COMPLETE
3,1.134397071003914,2026-02-23 20:04:07.550826,2026-02-23 20:04:49.873658,0 days 00:00:42.322832,0.9943972056996466,False,0.6882796867585528,35,random,"{'val_rmse_mean': 1.064941644668579, 'val_mae_mean': 0.8447872996330261, 'val_r2_mean': -170.6451873779297, 'val_rmse_target_0': 1.0690785646438599, 'val_mae_target_0': 0.8382372856140137, 'val_r2_target_0': -122.88548278808594, 'val_rmse_target_1': 1.0514265298843384, 'val_mae_target_1': 0.7940046787261963, 'val_r2_target_1': -78.17293548583984, 'val_rmse_target_2': 1.0702247619628906, 'val_mae_target_2': 0.8817978501319885, 'val_r2_target_2': -222.95912170410156, 'val_rmse_target_3': 1.0540026426315308, 'val_mae_target_3': 0.8732540607452393, 'val_r2_target_3': -284.2592468261719, 'val_rmse_target_4': 1.0311100482940674, 'val_mae_target_4': 0.83150315284729, 'val_r2_target_4': -117.21253204345703, 'val_rmse_target_5': 1.0868922472000122, 'val_mae_target_5': 0.9078006744384766, 'val_r2_target_5': -360.60247802734375, 'val_rmse_target_6': 1.0741585493087769, 'val_mae_target_6': 0.7263852953910828, 'val_r2_target_6': -26.876441955566406, 'val_rmse_target_7': 1.0826395750045776, 'val_mae_target_7': 0.9053153395652771, 'val_r2_target_7': -152.19334411621094}",COMPLETE
4,1.1890707445144653,2026-02-23 20:04:50.102430,2026-02-23 20:05:32.041139,0 days 00:00:41.938709,1.3062514344000065,False,0.9053463800816453,50,cyclic,"{'val_rmse_mean': 1.0900485515594482, 'val_mae_mean': 0.8620489835739136, 'val_r2_mean': -198886160.0, 'val_rmse_target_0': 1.0936089754104614, 'val_mae_target_0': 0.8567209839820862, 'val_r2_target_0': -336.5109558105469, 'val_rmse_target_1': 1.0871737003326416, 'val_mae_target_1': 0.8287926316261292, 'val_r2_target_1': -4224.1318359375, 'val_rmse_target_2': 1.0804684162139893, 'val_mae_target_2': 0.8735851049423218, 'val_r2_target_2': -2530.25439453125, 'val_rmse_target_3': 1.0713053941726685, 'val_mae_target_3': 0.8864272832870483, 'val_r2_target_3': -16453142.0, 'val_rmse_target_4': 1.0729235410690308, 'val_mae_target_4': 0.8702762126922607, 'val_r2_target_4': -1234050.375, 'val_rmse_target_5': 1.0801255702972412, 'val_mae_target_5': 0.8932667374610901, 'val_r2_target_5': 0.0, 'val_rmse_target_6': 1.1651856899261475, 'val_mae_target_6': 0.803459107875824, 'val_r2_target_6': -66486.8359375, 'val_rmse_target_7': 1.0695966482162476, 'val_mae_target_7': 0.8838638067245483, 'val_r2_target_7': -1573328768.0}",COMPLETE
5,1.22595517039299,2026-02-23 20:05:32.271295,2026-02-23 20:06:48.147310,0 days 00:01:15.876015,0.00020361600775692466,False,0.847756049895345,60,cyclic,"{'val_rmse_mean': 1.0935839414596558, 'val_mae_mean': 0.883630633354187, 'val_r2_mean': -1.5554125308990479, 'val_rmse_target_0': 0.8711667656898499, 'val_mae_target_0': 0.7036041021347046, 'val_r2_target_0': -1.1215722560882568, 'val_rmse_target_1': 1.3522803783416748, 'val_mae_target_1': 1.173382043838501, 'val_r2_target_1': -0.9085700511932373, 'val_rmse_target_2': 0.8789076209068298, 'val_mae_target_2': 0.7180870771408081, 'val_r2_target_2': -0.372173547744751, 'val_rmse_target_3': 1.0746703147888184, 'val_mae_target_3': 0.8489053249359131, 'val_r2_target_3': -1.8268537521362305, 'val_rmse_target_4': 1.367814302444458, 'val_mae_target_4': 1.1340678930282593, 'val_r2_target_4': -1.2510368824005127, 'val_rmse_target_5': 1.0779534578323364, 'val_mae_target_5': 0.821462869644165, 'val_r2_target_5': -3.3080148696899414, 'val_rmse_target_6': 1.0689685344696045, 'val_mae_target_6': 0.8078059554100037, 'val_r2_target_6': -2.3112130165100098, 'val_rmse_target_7': 1.0569103956222534, 'val_mae_target_7': 0.8617295026779175, 'val_r2_target_7': -1.343865156173706}",COMPLETE
6,1.19086212515831,2026-02-23 20:06:48.378634,2026-02-23 20:07:51.667409,0 days 00:01:03.288775,0.00013745943366282254,True,0.06353508238761618,20,cyclic,"{'val_rmse_mean': 1.07966947555542, 'val_mae_mean': 0.8470395803451538, 'val_r2_mean': -1.4463839530944824, 'val_rmse_target_0': 1.138782262802124, 'val_mae_target_0': 0.9227674603462219, 'val_r2_target_0': -1.0292019844055176, 'val_rmse_target_1': 1.1777456998825073, 'val_mae_target_1': 0.9419542551040649, 'val_r2_target_1': -1.035752773284912, 'val_rmse_target_2': 0.8016389012336731, 'val_mae_target_2': 0.6523462533950806, 'val_r2_target_2': -0.5000579357147217, 'val_rmse_target_3': 0.9862805008888245, 'val_mae_target_3': 0.8108580708503723, 'val_r2_target_3': -1.8535583019256592, 'val_rmse_target_4': 1.0176801681518555, 'val_mae_target_4': 0.7956794500350952, 'val_r2_target_4': -1.54526686668396, 'val_rmse_target_5': 1.3737084865570068, 'val_mae_target_5': 1.059098243713379, 'val_r2_target_5': -1.8355836868286133, 'val_rmse_target_6': 1.1476093530654907, 'val_mae_target_6': 0.8222915530204773, 'val_r2_target_6': -2.20986008644104, 'val_rmse_target_7': 0.9939103722572327, 'val_mae_target_7': 0.7713214159011841, 'val_r2_target_7': -1.56178879737854}",COMPLETE
7,1.0611584922671318,2026-02-23 20:07:51.897338,2026-02-23 20:08:34.502512,0 days 00:00:42.605174,1.1364313849952847,True,0.3587567607876272,50,random,"{'val_rmse_mean': 1.0298341512680054, 'val_mae_mean': 0.8201959133148193, 'val_r2_mean': -11.581295013427734, 'val_rmse_target_0': 1.0407898426055908, 'val_mae_target_0': 0.8680101633071899, 'val_r2_target_0': -8.584321022033691, 'val_rmse_target_1': 0.9907279014587402, 'val_mae_target_1': 0.7893170714378357, 'val_r2_target_1': -5.3222575187683105, 'val_rmse_target_2': 1.0458813905715942, 'val_mae_target_2': 0.8592336773872375, 'val_r2_target_2': -7.212734222412109, 'val_rmse_target_3': 1.0472698211669922, 'val_mae_target_3': 0.8341526985168457, 'val_r2_target_3': -15.946891784667969, 'val_rmse_target_4': 0.986225962638855, 'val_mae_target_4': 0.8087000846862793, 'val_r2_target_4': -8.578821182250977, 'val_rmse_target_5': 1.0417531728744507, 'val_mae_target_5': 0.8394788503646851, 'val_r2_target_5': -25.33977508544922, 'val_rmse_target_6': 1.0530118942260742, 'val_mae_target_6': 0.709669291973114, 'val_r2_target_6': -8.125062942504883, 'val_rmse_target_7': 1.0330127477645874, 'val_mae_target_7': 0.8530060052871704, 'val_r2_target_7': -13.540501594543457}",COMPLETE
8,1.2446825969219208,2026-02-23 20:08:34.735104,2026-02-23 20:09:26.247130,0 days 00:00:51.512026,0.0014080039204158966,False,0.9560372987156919,40,random,"{'val_rmse_mean': 1.107400894165039, 'val_mae_mean': 0.8885213136672974, 'val_r2_mean': -1.2364310026168823, 'val_rmse_target_0': 0.9607827663421631, 'val_mae_target_0': 0.7288324236869812, 'val_r2_target_0': -2.1438839435577393, 'val_rmse_target_1': 1.2879263162612915, 'val_mae_target_1': 1.1384483575820923, 'val_r2_target_1': -0.9268826246261597, 'val_rmse_target_2': 1.030379056930542, 'val_mae_target_2': 0.8300566077232361, 'val_r2_target_2': -0.7913933992385864, 'val_rmse_target_3': 0.9876490831375122, 'val_mae_target_3': 0.7613070607185364, 'val_r2_target_3': -0.5831195116043091, 'val_rmse_target_4': 1.2788327932357788, 'val_mae_target_4': 1.0593258142471313, 'val_r2_target_4': -1.0160408020019531, 'val_rmse_target_5': 1.2541085481643677, 'val_mae_target_5': 1.0013511180877686, 'val_r2_target_5': -1.956712245941162, 'val_rmse_target_6': 1.0984731912612915, 'val_mae_target_6': 0.8176231980323792, 'val_r2_target_6': -1.7095880508422852, 'val_rmse_target_7': 0.961054801940918, 'val_mae_target_7': 0.7712259888648987, 'val_r2_target_7': -0.7638283967971802}",COMPLETE
9,1.1722770023345948,2026-02-23 20:09:26.474935,2026-02-23 20:10:19.041567,0 days 00:00:52.566632,0.0034092677608960147,False,0.4933260486581741,60,cyclic,"{'val_rmse_mean': 1.0648534297943115, 'val_mae_mean': 0.8622493743896484, 'val_r2_mean': -1.2502942085266113, 'val_rmse_target_0': 0.8141350746154785, 'val_mae_target_0': 0.6637532711029053, 'val_r2_target_0': -0.788331151008606, 'val_rmse_target_1': 1.3045858144760132, 'val_mae_target_1': 1.1453251838684082, 'val_r2_target_1': -0.895068883895874, 'val_rmse_target_2': 0.8700035214424133, 'val_mae_target_2': 0.6909921765327454, 'val_r2_target_2': -0.23689091205596924, 'val_rmse_target_3': 0.9554933309555054, 'val_mae_target_3': 0.7594689726829529, 'val_r2_target_3': -1.5187230110168457, 'val_rmse_target_4': 1.4022001028060913, 'val_mae_target_4': 1.1401904821395874, 'val_r2_target_4': -1.3204376697540283, 'val_rmse_target_5': 1.136643886566162, 'val_mae_target_5': 0.90451979637146, 'val_r2_target_5': -2.7751638889312744, 'val_rmse_target_6': 1.0993938446044922, 'val_mae_target_6': 0.831316351890564, 'val_r2_target_6': -1.5022673606872559, 'val_rmse_target_7': 0.9363712072372437, 'val_mae_target_7': 0.7624291777610779, 'val_r2_target_7': -0.965471625328064}",COMPLETE
