number,value,datetime_start,datetime_complete,duration,params_C,params_degree,params_epsilon,params_gamma,params_kernel,params_n_path_features,params_shrinking,user_attrs_val_metrics,state
0,0.9995804922298371,2026-02-23 20:25:10.124234,2026-02-23 20:25:51.301212,0 days 00:00:41.176978,1.2959402142340137,,0.002419262130999234,scale,rbf,40,False,"{'val_rmse_mean': 0.9982294564079867, 'val_mae_mean': 0.7962361860214439, 'val_r2_mean': -12.548321535621534, 'val_rmse_target_0': 0.9728018248668839, 'val_mae_target_0': 0.761632819506504, 'val_r2_target_0': -6.402371412848716, 'val_rmse_target_1': 0.9477063196970349, 'val_mae_target_1': 0.730678678465836, 'val_r2_target_1': -5.401214643834774, 'val_rmse_target_2': 0.9410572065580457, 'val_mae_target_2': 0.772902767540413, 'val_r2_target_2': -4.208195344972868, 'val_rmse_target_3': 0.9770313204764263, 'val_mae_target_3': 0.8182583421586219, 'val_r2_target_3': -7.794793617615975, 'val_rmse_target_4': 0.9984773482598219, 'val_mae_target_4': 0.8238099269834287, 'val_r2_target_4': -10.316568653044714, 'val_rmse_target_5': 1.119880855317329, 'val_mae_target_5': 0.9250830228685648, 'val_r2_target_5': -37.67730586746042, 'val_rmse_target_6': 1.0512212586785543, 'val_mae_target_6': 0.6926108655717773, 'val_r2_target_6': -19.908043563571656, 'val_rmse_target_7': 0.977659517409797, 'val_mae_target_7': 0.8449130650764047, 'val_r2_target_7': -8.67807918162315}",COMPLETE
1,0.9708448371210062,2026-02-23 20:25:51.546838,2026-02-23 20:26:32.329555,0 days 00:00:40.782717,7.262356618489844,,0.005535218434790823,auto,rbf,40,False,"{'val_rmse_mean': 0.9829986262503413, 'val_mae_mean': 0.7763468064339709, 'val_r2_mean': -5.447895034765217, 'val_rmse_target_0': 0.9440269825219586, 'val_mae_target_0': 0.7558425832054653, 'val_r2_target_0': -3.305864848945326, 'val_rmse_target_1': 0.9496344826940463, 'val_mae_target_1': 0.7237570808742406, 'val_r2_target_1': -3.0017233937550394, 'val_rmse_target_2': 0.930718080723436, 'val_mae_target_2': 0.75846088316631, 'val_r2_target_2': -2.568104575363135, 'val_rmse_target_3': 0.9661001925685216, 'val_mae_target_3': 0.7962948565734621, 'val_r2_target_3': -5.018017274468516, 'val_rmse_target_4': 0.9957384168994449, 'val_mae_target_4': 0.8068864807650279, 'val_r2_target_4': -5.664989962548257, 'val_rmse_target_5': 1.152666800303667, 'val_mae_target_5': 0.9188497978308567, 'val_r2_target_5': -12.88362820651166, 'val_rmse_target_6': 0.985265649861105, 'val_mae_target_6': 0.6539305616854414, 'val_r2_target_6': -5.705067535625974, 'val_rmse_target_7': 0.9398384044305508, 'val_mae_target_7': 0.7967522073709639, 'val_r2_target_7': -5.435764480903836}",COMPLETE
2,1.0720051060171365,2026-02-23 20:26:32.578265,2026-02-23 20:27:13.266936,0 days 00:00:40.688671,2.1497502138629137,5.0,0.0378088326533759,scale,poly,25,True,"{'val_rmse_mean': 1.0327045011600888, 'val_mae_mean': 0.8131865715494728, 'val_r2_mean': -21.612955441727916, 'val_rmse_target_0': 1.013521886500554, 'val_mae_target_0': 0.7854348321449582, 'val_r2_target_0': -11.00605036795525, 'val_rmse_target_1': 1.0055431791930218, 'val_mae_target_1': 0.7481138213216348, 'val_r2_target_1': -17.683547625194496, 'val_rmse_target_2': 0.9925450664084947, 'val_mae_target_2': 0.8156229481307803, 'val_r2_target_2': -7.42393052694025, 'val_rmse_target_3': 0.9482734992928601, 'val_mae_target_3': 0.7931428971749184, 'val_r2_target_3': -7.693520184863196, 'val_rmse_target_4': 0.9912465859612167, 'val_mae_target_4': 0.7698565597567638, 'val_r2_target_4': -17.95164869565642, 'val_rmse_target_5': 1.105191466430256, 'val_mae_target_5': 0.9278799426442277, 'val_r2_target_5': -80.4923496704261, 'val_rmse_target_6': 1.1964793387548427, 'val_mae_target_6': 0.8313969893250356, 'val_r2_target_6': -26.152161816097593, 'val_rmse_target_7': 1.0088349867394657, 'val_mae_target_7': 0.8340445818974644, 'val_r2_target_7': -4.5004346466899765}",COMPLETE
3,0.9587828047565822,2026-02-23 20:27:13.495881,2026-02-23 20:27:54.387705,0 days 00:00:40.891824,147.13863727692154,,0.008381836548192006,scale,rbf,60,False,"{'val_rmse_mean': 0.9764044879604068, 'val_mae_mean': 0.7718199342393843, 'val_r2_mean': -5.3021015421940545, 'val_rmse_target_0': 0.9252196676593969, 'val_mae_target_0': 0.7529687639407947, 'val_r2_target_0': -3.184308085127525, 'val_rmse_target_1': 0.9323519263856859, 'val_mae_target_1': 0.7167063373278098, 'val_r2_target_1': -2.9202172106287496, 'val_rmse_target_2': 0.9155903742631042, 'val_mae_target_2': 0.7506159265741484, 'val_r2_target_2': -2.4265170309972213, 'val_rmse_target_3': 0.9577097697133419, 'val_mae_target_3': 0.780856045545854, 'val_r2_target_3': -4.830335625856249, 'val_rmse_target_4': 0.9712042014885407, 'val_mae_target_4': 0.7807485238693127, 'val_r2_target_4': -5.093643090134878, 'val_rmse_target_5': 1.1585929393802352, 'val_mae_target_5': 0.931208087937706, 'val_r2_target_5': -12.857107439261654, 'val_rmse_target_6': 1.002725216704189, 'val_mae_target_6': 0.6624547962949302, 'val_r2_target_6': -5.533023590608608, 'val_rmse_target_7': 0.9478418080887601, 'val_mae_target_7': 0.7990009924245188, 'val_r2_target_7': -5.571660264937562}",COMPLETE
4,0.9810828422123546,2026-02-23 20:27:54.627971,2026-02-23 20:28:36.582745,0 days 00:00:41.954774,1.8933966158122972,,0.02148209662329048,scale,rbf,55,False,"{'val_rmse_mean': 0.9883694865201862, 'val_mae_mean': 0.7860082551322, 'val_r2_mean': -8.45737797652986, 'val_rmse_target_0': 0.9667912960997865, 'val_mae_target_0': 0.7800832554788364, 'val_r2_target_0': -4.675475216294827, 'val_rmse_target_1': 0.9385150872999654, 'val_mae_target_1': 0.7213592336293222, 'val_r2_target_1': -3.8926795498289195, 'val_rmse_target_2': 0.9253941189126489, 'val_mae_target_2': 0.7596246816336667, 'val_r2_target_2': -3.270660592384508, 'val_rmse_target_3': 0.981168477649207, 'val_mae_target_3': 0.7973503815125711, 'val_r2_target_3': -6.13322547818084, 'val_rmse_target_4': 0.9740119705789364, 'val_mae_target_4': 0.7944160411252161, 'val_r2_target_4': -7.263979111205142, 'val_rmse_target_5': 1.1407100682436238, 'val_mae_target_5': 0.941520786702325, 'val_r2_target_5': -24.908798723346557, 'val_rmse_target_6': 1.030676924384314, 'val_mae_target_6': 0.6831115571849092, 'val_r2_target_6': -11.403598626060663, 'val_rmse_target_7': 0.9496879489930072, 'val_mae_target_7': 0.8106001037907528, 'val_r2_target_7': -6.110606514937432}",COMPLETE
5,1.2104398773556009,2026-02-23 20:28:36.811408,2026-02-23 20:29:17.976114,0 days 00:00:41.164706,0.032615630550240506,,0.01148685339613558,auto,rbf,70,True,"{'val_rmse_mean': 1.0995821867095357, 'val_mae_mean': 0.8725320573919106, 'val_r2_mean': -907.0496258422768, 'val_rmse_target_0': 1.1128290750788523, 'val_mae_target_0': 0.8827096235141131, 'val_r2_target_0': -405.5925356617139, 'val_rmse_target_1': 1.080483319757612, 'val_mae_target_1': 0.8410911688268353, 'val_r2_target_1': -807.3038782685272, 'val_rmse_target_2': 1.0675157346304882, 'val_mae_target_2': 0.8604456207313216, 'val_r2_target_2': -1014.2808543678905, 'val_rmse_target_3': 1.072559967173326, 'val_mae_target_3': 0.8941096007874997, 'val_r2_target_3': -950.7170424913919, 'val_rmse_target_4': 1.0819929806632904, 'val_mae_target_4': 0.8549570252717408, 'val_r2_target_4': -1177.8940572816502, 'val_rmse_target_5': 1.1165146299223476, 'val_mae_target_5': 0.9424653596591996, 'val_r2_target_5': -351.9490469133841, 'val_rmse_target_6': 1.186347705456425, 'val_mae_target_6': 0.8051195571380124, 'val_r2_target_6': -1587.3940811476793, 'val_rmse_target_7': 1.078414080993944, 'val_mae_target_7': 0.8993585032065619, 'val_r2_target_7': -961.2655106059756}",COMPLETE
6,1.108515045657788,2026-02-23 20:29:18.204613,2026-02-23 20:29:58.913578,0 days 00:00:40.708965,0.3804993993448653,,0.001286050062785114,auto,rbf,50,True,"{'val_rmse_mean': 1.0518196593718372, 'val_mae_mean': 0.8353039209258221, 'val_r2_mean': -62.61026754930782, 'val_rmse_target_0': 1.0199110165954017, 'val_mae_target_0': 0.8008688780246206, 'val_r2_target_0': -31.084130580539004, 'val_rmse_target_1': 0.9966153805734072, 'val_mae_target_1': 0.7715782751850895, 'val_r2_target_1': -31.915884736466367, 'val_rmse_target_2': 1.0033424010602752, 'val_mae_target_2': 0.8193783496198748, 'val_r2_target_2': -30.94495212286166, 'val_rmse_target_3': 1.098174092262302, 'val_mae_target_3': 0.9356180880085642, 'val_r2_target_3': -42.647611217265855, 'val_rmse_target_4': 1.03567669498245, 'val_mae_target_4': 0.8236580772621112, 'val_r2_target_4': -65.8163192235273, 'val_rmse_target_5': 1.1067490453733104, 'val_mae_target_5': 0.9332878121346831, 'val_r2_target_5': -111.37320597136056, 'val_rmse_target_6': 1.1239950764160265, 'val_mae_target_6': 0.7387413245113658, 'val_r2_target_6': -114.76897034261086, 'val_rmse_target_7': 1.0300935677115244, 'val_mae_target_7': 0.859300562660267, 'val_r2_target_7': -72.33106619983091}",COMPLETE
7,0.9739954174095974,2026-02-23 20:29:59.141288,2026-02-23 20:30:39.873260,0 days 00:00:40.731972,0.06157852497399515,,0.026189997135088527,,linear,60,False,"{'val_rmse_mean': 0.9838510819017874, 'val_mae_mean': 0.7732818575761424, 'val_r2_mean': -1.5468462216753154, 'val_rmse_target_0': 0.9080204937691756, 'val_mae_target_0': 0.7445010316231822, 'val_r2_target_0': -0.6009089074919385, 'val_rmse_target_1': 0.9672812748234427, 'val_mae_target_1': 0.7492311786213531, 'val_r2_target_1': -0.7903284435623883, 'val_rmse_target_2': 0.9935173627923362, 'val_mae_target_2': 0.7738372613779424, 'val_r2_target_2': -0.694069706082596, 'val_rmse_target_3': 0.9867281469741753, 'val_mae_target_3': 0.8093442137022104, 'val_r2_target_3': -1.1332400039948491, 'val_rmse_target_4': 0.9893863020213111, 'val_mae_target_4': 0.8034269948252194, 'val_r2_target_4': -0.9613725352602127, 'val_rmse_target_5': 1.1444496121693803, 'val_mae_target_5': 0.8761152147107322, 'val_r2_target_5': -4.990569803987676, 'val_rmse_target_6': 1.020050037008061, 'val_mae_target_6': 0.7087108070778565, 'val_r2_target_6': -1.8234413651972936, 'val_rmse_target_7': 0.8613754256564164, 'val_mae_target_7': 0.7210881586706435, 'val_r2_target_7': -1.3808390078255695}",COMPLETE
8,0.9672980227741874,2026-02-23 20:30:40.103545,2026-02-23 20:31:21.149281,0 days 00:00:41.045736,36.03498265744601,,0.07051771677865697,,linear,40,True,"{'val_rmse_mean': 0.9801111329521534, 'val_mae_mean': 0.7725803360288332, 'val_r2_mean': -1.6636864958325366, 'val_rmse_target_0': 0.9210830669453985, 'val_mae_target_0': 0.7534943422769115, 'val_r2_target_0': -0.7425320909256465, 'val_rmse_target_1': 0.9761826133558873, 'val_mae_target_1': 0.7595895018191946, 'val_r2_target_1': -0.8982744956096791, 'val_rmse_target_2': 0.9801342160781215, 'val_mae_target_2': 0.785741146104477, 'val_r2_target_2': -0.7283806170302736, 'val_rmse_target_3': 0.9686758595662979, 'val_mae_target_3': 0.7968700942046643, 'val_r2_target_3': -1.2278084035741288, 'val_rmse_target_4': 1.005244312759042, 'val_mae_target_4': 0.8206319722575044, 'val_r2_target_4': -1.2766210711058843, 'val_rmse_target_5': 1.1612527851203853, 'val_mae_target_5': 0.8835933321197086, 'val_r2_target_5': -5.070371272488459, 'val_rmse_target_6': 0.9760750983208433, 'val_mae_target_6': 0.6680679852447556, 'val_r2_target_6': -1.903488760918254, 'val_rmse_target_7': 0.8522411114712514, 'val_mae_target_7': 0.7126543142034503, 'val_r2_target_7': -1.4620152550079686}",COMPLETE
9,1.1427386094944594,2026-02-23 20:31:21.397227,2026-02-23 20:32:03.030741,0 days 00:00:41.633514,0.16134297976277653,,0.8425299048864145,scale,rbf,25,False,"{'val_rmse_mean': 1.0685485127167227, 'val_mae_mean': 0.8377754166589149, 'val_r2_mean': -351.39766943365066, 'val_rmse_target_0': 1.0729167066311625, 'val_mae_target_0': 0.8145813048433008, 'val_r2_target_0': -248.4297268112708, 'val_rmse_target_1': 1.083000876367335, 'val_mae_target_1': 0.8108911396895827, 'val_r2_target_1': -317.42485371029096, 'val_rmse_target_2': 1.0454445377579855, 'val_mae_target_2': 0.831151553601101, 'val_r2_target_2': -195.84979083603778, 'val_rmse_target_3': 1.0459399243026541, 'val_mae_target_3': 0.861318969993645, 'val_r2_target_3': -229.31218795233886, 'val_rmse_target_4': 1.0582113117896814, 'val_mae_target_4': 0.8666398171079682, 'val_r2_target_4': -371.2379232967702, 'val_rmse_target_5': 1.0553500297468694, 'val_mae_target_5': 0.8741774755281654, 'val_r2_target_5': -831.6586831032525, 'val_rmse_target_6': 1.1423218892821663, 'val_mae_target_6': 0.7810236818202749, 'val_r2_target_6': -383.2155077627787, 'val_rmse_target_7': 1.0452028258559274, 'val_mae_target_7': 0.8624193906872807, 'val_r2_target_7': -234.05268199646602}",COMPLETE
10,0.9827442061940131,2026-02-23 20:32:03.258687,2026-02-23 20:32:43.930020,0 days 00:00:40.671333,61.913492156889596,2.0,0.17707415381010766,scale,poly,70,False,"{'val_rmse_mean': 0.9879954350932152, 'val_mae_mean': 0.7873646745229175, 'val_r2_mean': -3.1985695894362944, 'val_rmse_target_0': 0.8979761636470056, 'val_mae_target_0': 0.7232176271333394, 'val_r2_target_0': -1.6038221217259396, 'val_rmse_target_1': 0.9684738835647901, 'val_mae_target_1': 0.7405068750827722, 'val_r2_target_1': -1.7863565753837407, 'val_rmse_target_2': 0.948407495873051, 'val_mae_target_2': 0.7740077789465183, 'val_r2_target_2': -1.5501739035099007, 'val_rmse_target_3': 0.9645355050957678, 'val_mae_target_3': 0.807228869100441, 'val_r2_target_3': -2.7132452015735016, 'val_rmse_target_4': 0.9939900602001677, 'val_mae_target_4': 0.8297193844082271, 'val_r2_target_4': -2.781950753954076, 'val_rmse_target_5': 1.15925424060899, 'val_mae_target_5': 0.8999912954673644, 'val_r2_target_5': -7.934932809804069, 'val_rmse_target_6': 1.0659602765695926, 'val_mae_target_6': 0.7757677503899564, 'val_r2_target_6': -3.798978082155588, 'val_rmse_target_7': 0.9053658551863576, 'val_mae_target_7': 0.7484778156547212, 'val_r2_target_7': -3.419097267383542}",COMPLETE
