number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_n_path_features,user_attrs_val_metrics,state
0,1.1846075388892785,2026-02-23 20:45:54.686380,2026-02-23 20:46:44.948558,0 days 00:00:50.262178,True,5.0,0.6,15,7,50,50,"{'val_rmse_mean': 1.08802716139202, 'val_mae_mean': 0.85991311372777, 'val_r2_mean': -7983.440237501409, 'val_rmse_target_0': 1.086651728174871, 'val_mae_target_0': 0.8432438915304838, 'val_r2_target_0': -6214.9042004774965, 'val_rmse_target_1': 1.0851469966816034, 'val_mae_target_1': 0.8293852623442575, 'val_r2_target_1': -1585.5117410694334, 'val_rmse_target_2': 1.0767031585207205, 'val_mae_target_2': 0.8755582929670811, 'val_r2_target_2': -1636.577150230018, 'val_rmse_target_3': 1.0699701942041804, 'val_mae_target_3': 0.882970729173326, 'val_r2_target_3': -6351.835530941223, 'val_rmse_target_4': 1.0700164901406344, 'val_mae_target_4': 0.8671616013438131, 'val_r2_target_4': -3236.2902557018947, 'val_rmse_target_5': 1.0821521638605152, 'val_mae_target_5': 0.8951967712502925, 'val_r2_target_5': -17461.830685351997, 'val_rmse_target_6': 1.161272556174536, 'val_mae_target_6': 0.7993686504684157, 'val_r2_target_6': -16310.670250072817, 'val_rmse_target_7': 1.0723040033791005, 'val_mae_target_7': 0.8864197107444904, 'val_r2_target_7': -11069.902086166387}",COMPLETE
1,0.9825508167654337,2026-02-23 20:46:45.198914,2026-02-23 20:48:06.882418,0 days 00:01:21.683504,True,10.0,0.1,5,8,350,45,"{'val_rmse_mean': 0.9876806738144981, 'val_mae_mean': 0.785743983285868, 'val_r2_mean': -12.811381748734021, 'val_rmse_target_0': 0.8695597234825033, 'val_mae_target_0': 0.684636624666418, 'val_r2_target_0': -3.5926259862439913, 'val_rmse_target_1': 0.9094372913860959, 'val_mae_target_1': 0.669493549523724, 'val_r2_target_1': -5.034422781400714, 'val_rmse_target_2': 0.9315316110972233, 'val_mae_target_2': 0.7707454740397602, 'val_r2_target_2': -6.238258478648511, 'val_rmse_target_3': 0.9926138813359846, 'val_mae_target_3': 0.8220193754355796, 'val_r2_target_3': -9.702282034882899, 'val_rmse_target_4': 0.9798164974325491, 'val_mae_target_4': 0.8014326222533217, 'val_r2_target_4': -10.067124899491855, 'val_rmse_target_5': 1.130372581046795, 'val_mae_target_5': 0.9226312247285463, 'val_r2_target_5': -33.81811030346883, 'val_rmse_target_6': 1.1000506662035543, 'val_mae_target_6': 0.7894715389018585, 'val_r2_target_6': -20.687334421566902, 'val_rmse_target_7': 0.9880631385312789, 'val_mae_target_7': 0.8255214567377364, 'val_r2_target_7': -13.350895084168474}",COMPLETE
2,1.0037495431777947,2026-02-23 20:48:07.134908,2026-02-23 20:49:03.122766,0 days 00:00:55.987858,True,20.0,0.8,6,13,100,55,"{'val_rmse_mean': 0.9977502882728251, 'val_mae_mean': 0.7912571424550893, 'val_r2_mean': -11.56982314636713, 'val_rmse_target_0': 0.871544027693451, 'val_mae_target_0': 0.6903406969775991, 'val_r2_target_0': -3.0889112531908403, 'val_rmse_target_1': 0.8931843880143798, 'val_mae_target_1': 0.6712095707309241, 'val_r2_target_1': -4.692797357523677, 'val_rmse_target_2': 0.9969124177949734, 'val_mae_target_2': 0.8301326773209671, 'val_r2_target_2': -7.964675402570123, 'val_rmse_target_3': 0.9888982119943821, 'val_mae_target_3': 0.8217513939083784, 'val_r2_target_3': -7.459022988227565, 'val_rmse_target_4': 0.9867900422931103, 'val_mae_target_4': 0.8095264651832947, 'val_r2_target_4': -8.681867496136343, 'val_rmse_target_5': 1.1277139227959123, 'val_mae_target_5': 0.9147837347604255, 'val_r2_target_5': -23.933539900467498, 'val_rmse_target_6': 1.1439879834723832, 'val_mae_target_6': 0.7940005348176521, 'val_r2_target_6': -28.165270736071932, 'val_rmse_target_7': 0.9729713121240083, 'val_mae_target_7': 0.7983120659414731, 'val_r2_target_7': -8.572500036749068}",COMPLETE
3,1.0203161184173455,2026-02-23 20:49:03.353563,2026-02-23 20:50:15.030987,0 days 00:01:11.677424,True,5.0,0.2,2,15,250,40,"{'val_rmse_mean': 1.0080784644840475, 'val_mae_mean': 0.7960608814747818, 'val_r2_mean': -22.836124264104704, 'val_rmse_target_0': 0.9172817872633646, 'val_mae_target_0': 0.7045835910838703, 'val_r2_target_0': -7.577110380878786, 'val_rmse_target_1': 0.9484685007757454, 'val_mae_target_1': 0.6963034107885505, 'val_r2_target_1': -10.010344378222936, 'val_rmse_target_2': 0.9774989212197257, 'val_mae_target_2': 0.8051783821239178, 'val_r2_target_2': -14.609601552872856, 'val_rmse_target_3': 1.0228279912932354, 'val_mae_target_3': 0.8511056876557603, 'val_r2_target_3': -24.754625725074998, 'val_rmse_target_4': 1.0016366180504814, 'val_mae_target_4': 0.8209628226712252, 'val_r2_target_4': -20.64630792296882, 'val_rmse_target_5': 1.1183036339504313, 'val_mae_target_5': 0.9056999338756623, 'val_r2_target_5': -63.12542966060681, 'val_rmse_target_6': 1.0925032832089234, 'val_mae_target_6': 0.7798930992412199, 'val_r2_target_6': -17.904759696475054, 'val_rmse_target_7': 0.9861069801104726, 'val_mae_target_7': 0.8047601243580487, 'val_r2_target_7': -24.06081479573738}",COMPLETE
4,1.17825594810455,2026-02-23 20:50:15.284974,2026-02-23 20:51:12.522478,0 days 00:00:57.237504,False,10.0,0.6,4,2,150,60,"{'val_rmse_mean': 1.0674240483235078, 'val_mae_mean': 0.8539884025451594, 'val_r2_mean': -1.9159721077383498, 'val_rmse_target_0': 0.911129186348378, 'val_mae_target_0': 0.7867330433870424, 'val_r2_target_0': -0.23341374207189736, 'val_rmse_target_1': 0.8513118881079669, 'val_mae_target_1': 0.6803440270226269, 'val_r2_target_1': -0.6544735007647324, 'val_rmse_target_2': 1.1074591468037944, 'val_mae_target_2': 0.9475879394852851, 'val_r2_target_2': -2.702367226527292, 'val_rmse_target_3': 0.8393334811514128, 'val_mae_target_3': 0.6878132750934728, 'val_r2_target_3': -1.3398118605794158, 'val_rmse_target_4': 1.1309517786316303, 'val_mae_target_4': 0.9026938628849704, 'val_r2_target_4': -1.3433618694793612, 'val_rmse_target_5': 1.3731224829992332, 'val_mae_target_5': 1.1338474491869932, 'val_r2_target_5': -4.200926767649011, 'val_rmse_target_6': 1.3506070747903178, 'val_mae_target_6': 0.9648640370176192, 'val_r2_target_6': -3.726652634294741, 'val_rmse_target_7': 0.9754773477553275, 'val_mae_target_7': 0.7280235862832649, 'val_r2_target_7': -1.1267692605403492}",COMPLETE
5,1.5561853923105238,2026-02-23 20:51:12.753886,2026-02-23 20:52:02.548570,0 days 00:00:49.794684,False,,1.0,2,17,50,35,"{'val_rmse_mean': 1.2231190732783488, 'val_mae_mean': 0.9853559717835525, 'val_r2_mean': -1.3172396068173047, 'val_rmse_target_0': 1.017961028664656, 'val_mae_target_0': 0.8108914944691827, 'val_r2_target_0': -0.45899709280204126, 'val_rmse_target_1': 0.7754094604268268, 'val_mae_target_1': 0.6051837850988284, 'val_r2_target_1': 0.16237416107714764, 'val_rmse_target_2': 1.4124263789260105, 'val_mae_target_2': 1.1437514096521981, 'val_r2_target_2': -2.241911955090189, 'val_rmse_target_3': 1.4776591459324975, 'val_mae_target_3': 1.2520053510966032, 'val_r2_target_3': -2.263293652683604, 'val_rmse_target_4': 1.1215350816385434, 'val_mae_target_4': 0.8796488451058808, 'val_r2_target_4': -1.3785911339901298, 'val_rmse_target_5': 1.4701033024225916, 'val_mae_target_5': 1.2706419806386415, 'val_r2_target_5': -2.798464253375315, 'val_rmse_target_6': 1.4349500681974805, 'val_mae_target_6': 1.1015921439007144, 'val_r2_target_6': -1.2547398808879922, 'val_rmse_target_7': 1.0749081200181843, 'val_mae_target_7': 0.8191327643063704, 'val_r2_target_7': -0.30429304678631586}",COMPLETE
6,1.0275606277095195,2026-02-23 20:52:02.780239,2026-02-23 20:53:23.686237,0 days 00:01:20.905998,False,,0.6,12,13,500,35,"{'val_rmse_mean': 1.0047002854903628, 'val_mae_mean': 0.8063351943239294, 'val_r2_mean': -3.549197452541417, 'val_rmse_target_0': 0.9518003470814235, 'val_mae_target_0': 0.722444864953834, 'val_r2_target_0': -1.560403052051487, 'val_rmse_target_1': 0.8156659434653091, 'val_mae_target_1': 0.5831160079713785, 'val_r2_target_1': -1.4584834638665605, 'val_rmse_target_2': 0.9660602131199904, 'val_mae_target_2': 0.8351863674378923, 'val_r2_target_2': -2.3099132703225425, 'val_rmse_target_3': 0.9645795542776965, 'val_mae_target_3': 0.8185783688959388, 'val_r2_target_3': -2.647813857753846, 'val_rmse_target_4': 1.0063205044740706, 'val_mae_target_4': 0.8553853688281979, 'val_r2_target_4': -2.411569967227355, 'val_rmse_target_5': 1.2618314888219953, 'val_mae_target_5': 1.0083996329476683, 'val_r2_target_5': -8.192465330069384, 'val_rmse_target_6': 1.168771719454153, 'val_mae_target_6': 0.902949868448336, 'val_r2_target_6': -7.034950803962962, 'val_rmse_target_7': 0.902572513228264, 'val_mae_target_7': 0.7246210751081895, 'val_r2_target_7': -2.7779798750772047}",COMPLETE
7,1.1853975836098072,2026-02-23 20:53:23.919094,2026-02-23 20:54:37.998259,0 days 00:01:14.079165,True,10.0,0.5,14,14,300,60,"{'val_rmse_mean': 1.0883709826884318, 'val_mae_mean': 0.8590339017230498, 'val_r2_mean': -74693.22591431541, 'val_rmse_target_0': 1.089127878612516, 'val_mae_target_0': 0.8437823360208576, 'val_r2_target_0': -63508.04788045166, 'val_rmse_target_1': 1.0859025921869436, 'val_mae_target_1': 0.825778031059119, 'val_r2_target_1': -32030.41077727149, 'val_rmse_target_2': 1.0765716566082468, 'val_mae_target_2': 0.8679864092902175, 'val_r2_target_2': -35591.92934579867, 'val_rmse_target_3': 1.0698183957984646, 'val_mae_target_3': 0.8860826894555115, 'val_r2_target_3': -33665.70753662505, 'val_rmse_target_4': 1.071740819618041, 'val_mae_target_4': 0.8700029850825877, 'val_r2_target_4': -24677.98689727743, 'val_rmse_target_5': 1.0809990664274016, 'val_mae_target_5': 0.8941692489853129, 'val_r2_target_5': -84434.8564967061, 'val_rmse_target_6': 1.1631842557905792, 'val_mae_target_6': 0.8009894595584057, 'val_r2_target_6': -219678.2160731818, 'val_rmse_target_7': 1.069623196465261, 'val_mae_target_7': 0.883480054332387, 'val_r2_target_7': -103958.65230721116}",COMPLETE
8,1.020902802172715,2026-02-23 20:54:38.247897,2026-02-23 20:56:13.872302,0 days 00:01:35.624405,True,5.0,0.4,2,15,500,65,"{'val_rmse_mean': 1.0080169047493432, 'val_mae_mean': 0.7996200086370187, 'val_r2_mean': -21.90273449131592, 'val_rmse_target_0': 0.9249527757181328, 'val_mae_target_0': 0.7237348611482368, 'val_r2_target_0': -9.118225764084004, 'val_rmse_target_1': 0.9222398570260624, 'val_mae_target_1': 0.6821482282528966, 'val_r2_target_1': -10.60887209114229, 'val_rmse_target_2': 0.9793476731536537, 'val_mae_target_2': 0.8134494358736167, 'val_r2_target_2': -13.706986032156387, 'val_rmse_target_3': 1.000018067660275, 'val_mae_target_3': 0.8297237331842591, 'val_r2_target_3': -20.93082175469492, 'val_rmse_target_4': 1.0050235405577188, 'val_mae_target_4': 0.831263311317586, 'val_r2_target_4': -17.393455200712747, 'val_rmse_target_5': 1.0968699040127838, 'val_mae_target_5': 0.9018490109341453, 'val_r2_target_5': -54.490606614923635, 'val_rmse_target_6': 1.1320004477534618, 'val_mae_target_6': 0.8095154878404304, 'val_r2_target_6': -27.60295568475338, 'val_rmse_target_7': 1.0036829721126586, 'val_mae_target_7': 0.8052760005449784, 'val_r2_target_7': -21.369952788059944}",COMPLETE
9,1.1845400378626372,2026-02-23 20:56:14.105607,2026-02-23 20:57:37.325298,0 days 00:01:23.219691,True,,0.7000000000000001,5,20,400,35,"{'val_rmse_mean': 1.087978221245226, 'val_mae_mean': 0.8589708817637334, 'val_r2_mean': -34853.15994384595, 'val_rmse_target_0': 1.0861590665854517, 'val_mae_target_0': 0.8416867346844881, 'val_r2_target_0': -17812.11070764711, 'val_rmse_target_1': 1.084318798345402, 'val_mae_target_1': 0.8247251345681854, 'val_r2_target_1': -23119.16032868541, 'val_rmse_target_2': 1.0762936591895227, 'val_mae_target_2': 0.8692708909369354, 'val_r2_target_2': -24739.265038933987, 'val_rmse_target_3': 1.0709898648204714, 'val_mae_target_3': 0.8861349505058727, 'val_r2_target_3': -20494.387806155588, 'val_rmse_target_4': 1.0731668481913987, 'val_mae_target_4': 0.8714426697851788, 'val_r2_target_4': -25092.291767245908, 'val_rmse_target_5': 1.0812084289255295, 'val_mae_target_5': 0.8937266456441654, 'val_r2_target_5': -43266.650893913895, 'val_rmse_target_6': 1.1632118301707268, 'val_mae_target_6': 0.802037990610718, 'val_r2_target_6': -67687.08486874985, 'val_rmse_target_7': 1.0684772737333046, 'val_mae_target_7': 0.8827420373743233, 'val_r2_target_7': -56614.328139435864}",COMPLETE
