number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_path,params_dropout_reg,params_lr,params_n_path_features,params_path_aggregation,params_path_dim,params_regressor_dim,params_weight_decay,user_attrs_val_metrics,state
0,0.4322084178030491,2026-02-28 18:43:06.922915,2026-02-28 18:45:07.799617,0 days 00:02:00.876702,6,0.19801735477166704,0.4575972070953105,0.0005738563921076172,45,flatten,6,96,0.0012775952015212776,"{'val_rmse_mean': 1.0271391868591309, 'val_mae_mean': 0.7994251251220703, 'val_r2_mean': -53.643714904785156, 'val_rmse_target_0': 0.9979079365730286, 'val_mae_target_0': 0.7713640332221985, 'val_r2_target_0': -23.091896057128906, 'val_rmse_target_1': 0.9859477877616882, 'val_mae_target_1': 0.7396702766418457, 'val_r2_target_1': -14.10524845123291, 'val_rmse_target_2': 0.9961040616035461, 'val_mae_target_2': 0.7799132466316223, 'val_r2_target_2': -23.44036102294922, 'val_rmse_target_3': 1.0165706872940063, 'val_mae_target_3': 0.8149833679199219, 'val_r2_target_3': -30.867359161376953, 'val_rmse_target_4': 0.9744002819061279, 'val_mae_target_4': 0.7893698811531067, 'val_r2_target_4': -32.56916427612305, 'val_rmse_target_5': 1.046881914138794, 'val_mae_target_5': 0.862723171710968, 'val_r2_target_5': -170.64402770996094, 'val_rmse_target_6': 1.1736804246902466, 'val_mae_target_6': 0.7759053111076355, 'val_r2_target_6': -78.21914672851562, 'val_rmse_target_7': 1.025620937347412, 'val_mae_target_7': 0.8614720702171326, 'val_r2_target_7': -56.212440490722656}",COMPLETE
1,0.3772720769047737,2026-02-28 18:45:07.857468,2026-02-28 18:46:15.432501,0 days 00:01:07.575033,6,0.30613286065555223,0.25585120057240174,0.009104457551045199,20,flatten,2,384,0.007184422841719148,"{'val_rmse_mean': 0.937472403049469, 'val_mae_mean': 0.7401007413864136, 'val_r2_mean': -1.2806379795074463, 'val_rmse_target_0': 0.9508918523788452, 'val_mae_target_0': 0.813331127166748, 'val_r2_target_0': -1.696453332901001, 'val_rmse_target_1': 1.004104733467102, 'val_mae_target_1': 0.7175800800323486, 'val_r2_target_1': -1.7897720336914062, 'val_rmse_target_2': 0.8915647864341736, 'val_mae_target_2': 0.7405780553817749, 'val_r2_target_2': -0.7811228036880493, 'val_rmse_target_3': 0.8038731217384338, 'val_mae_target_3': 0.6229190230369568, 'val_r2_target_3': -0.1728808879852295, 'val_rmse_target_4': 0.8237224221229553, 'val_mae_target_4': 0.6761235594749451, 'val_r2_target_4': -0.1391664743423462, 'val_rmse_target_5': 0.9910566210746765, 'val_mae_target_5': 0.8132309913635254, 'val_r2_target_5': -1.5991079807281494, 'val_rmse_target_6': 1.00832998752594, 'val_mae_target_6': 0.7055427432060242, 'val_r2_target_6': -1.5446581840515137, 'val_rmse_target_7': 1.0262356996536255, 'val_mae_target_7': 0.8315004706382751, 'val_r2_target_7': -2.521941661834717}",COMPLETE
2,0.32611798495054245,2026-02-28 18:46:15.498027,2026-02-28 18:48:04.922889,0 days 00:01:49.424862,6,0.22655060308520866,0.30335589862608825,0.0008887240577211731,30,flatten,4,512,0.002222430039021746,"{'val_rmse_mean': 0.8671800494194031, 'val_mae_mean': 0.6674709916114807, 'val_r2_mean': -2.193107843399048, 'val_rmse_target_0': 0.8722293972969055, 'val_mae_target_0': 0.6898171305656433, 'val_r2_target_0': -2.682486057281494, 'val_rmse_target_1': 0.8726492524147034, 'val_mae_target_1': 0.614591658115387, 'val_r2_target_1': -1.9595074653625488, 'val_rmse_target_2': 0.8021863698959351, 'val_mae_target_2': 0.655701220035553, 'val_r2_target_2': -1.5318961143493652, 'val_rmse_target_3': 0.7443825602531433, 'val_mae_target_3': 0.5844837427139282, 'val_r2_target_3': -0.5909132957458496, 'val_rmse_target_4': 0.8082889318466187, 'val_mae_target_4': 0.6356023550033569, 'val_r2_target_4': -1.0828089714050293, 'val_rmse_target_5': 0.9649617671966553, 'val_mae_target_5': 0.7773255705833435, 'val_r2_target_5': -3.2955069541931152, 'val_rmse_target_6': 0.9674555063247681, 'val_mae_target_6': 0.663906455039978, 'val_r2_target_6': -4.224067687988281, 'val_rmse_target_7': 0.9052867293357849, 'val_mae_target_7': 0.718339741230011, 'val_r2_target_7': -2.1776773929595947}",COMPLETE
3,0.4041624742746353,2026-02-28 18:48:04.981215,2026-02-28 18:49:14.713410,0 days 00:01:09.732195,6,0.10539902924623622,0.5308847616850118,0.005622738143947238,55,flatten,6,512,0.0026610814013921526,"{'val_rmse_mean': 0.9876436591148376, 'val_mae_mean': 0.7694025039672852, 'val_r2_mean': -2.0739002227783203, 'val_rmse_target_0': 1.0865532159805298, 'val_mae_target_0': 0.8612509369850159, 'val_r2_target_0': -2.8010730743408203, 'val_rmse_target_1': 1.0743165016174316, 'val_mae_target_1': 0.8150631785392761, 'val_r2_target_1': -2.977787494659424, 'val_rmse_target_2': 0.9710473418235779, 'val_mae_target_2': 0.7556811571121216, 'val_r2_target_2': -1.4400293827056885, 'val_rmse_target_3': 0.9074578881263733, 'val_mae_target_3': 0.7869454026222229, 'val_r2_target_3': -0.723158597946167, 'val_rmse_target_4': 0.8865920305252075, 'val_mae_target_4': 0.736227810382843, 'val_r2_target_4': -0.7826516628265381, 'val_rmse_target_5': 0.9892410635948181, 'val_mae_target_5': 0.8079509139060974, 'val_r2_target_5': -2.59709095954895, 'val_rmse_target_6': 1.0128895044326782, 'val_mae_target_6': 0.6819804906845093, 'val_r2_target_6': -3.067781448364258, 'val_rmse_target_7': 0.9730520248413086, 'val_mae_target_7': 0.7101200222969055, 'val_r2_target_7': -2.2016286849975586}",COMPLETE
4,0.40534313678741457,2026-02-28 18:49:14.771628,2026-02-28 18:50:25.024826,0 days 00:01:10.253198,6,0.11653255047890294,0.4058222216045404,0.003792424926484063,40,flatten,6,512,0.001383207613016777,"{'val_rmse_mean': 0.9859229326248169, 'val_mae_mean': 0.7651245594024658, 'val_r2_mean': -2.1622841358184814, 'val_rmse_target_0': 0.9514267444610596, 'val_mae_target_0': 0.7859544157981873, 'val_r2_target_0': -1.5379297733306885, 'val_rmse_target_1': 1.0310518741607666, 'val_mae_target_1': 0.75675368309021, 'val_r2_target_1': -2.6985421180725098, 'val_rmse_target_2': 0.9547060132026672, 'val_mae_target_2': 0.7426438927650452, 'val_r2_target_2': -1.1739699840545654, 'val_rmse_target_3': 0.8469999432563782, 'val_mae_target_3': 0.6286832690238953, 'val_r2_target_3': -0.6767845153808594, 'val_rmse_target_4': 0.8426076173782349, 'val_mae_target_4': 0.6452015042304993, 'val_r2_target_4': -0.87623131275177, 'val_rmse_target_5': 1.2049764394760132, 'val_mae_target_5': 1.0310466289520264, 'val_r2_target_5': -4.940754413604736, 'val_rmse_target_6': 1.0507019758224487, 'val_mae_target_6': 0.7401353716850281, 'val_r2_target_6': -3.2067222595214844, 'val_rmse_target_7': 1.0049127340316772, 'val_mae_target_7': 0.7905775308609009, 'val_r2_target_7': -2.187338352203369}",COMPLETE
5,0.34919403970241547,2026-02-28 18:50:25.083369,2026-02-28 18:51:44.825515,0 days 00:01:19.742146,6,0.47824908696127355,0.5765754444101914,0.0031202816292470134,60,flatten,2,512,0.0016638439203271924,"{'val_rmse_mean': 0.896064281463623, 'val_mae_mean': 0.7096433639526367, 'val_r2_mean': -2.698613405227661, 'val_rmse_target_0': 0.9987397193908691, 'val_mae_target_0': 0.8045260906219482, 'val_r2_target_0': -4.352783679962158, 'val_rmse_target_1': 0.9378612637519836, 'val_mae_target_1': 0.7289268374443054, 'val_r2_target_1': -3.117680549621582, 'val_rmse_target_2': 0.9284000396728516, 'val_mae_target_2': 0.7774465680122375, 'val_r2_target_2': -3.520287036895752, 'val_rmse_target_3': 0.6681742668151855, 'val_mae_target_3': 0.5394312143325806, 'val_r2_target_3': -0.18385398387908936, 'val_rmse_target_4': 0.7083498239517212, 'val_mae_target_4': 0.5668849349021912, 'val_r2_target_4': -0.31965911388397217, 'val_rmse_target_5': 1.0087754726409912, 'val_mae_target_5': 0.8642725348472595, 'val_r2_target_5': -3.5810494422912598, 'val_rmse_target_6': 0.9830546379089355, 'val_mae_target_6': 0.6466690301895142, 'val_r2_target_6': -3.5461583137512207, 'val_rmse_target_7': 0.9351593852043152, 'val_mae_target_7': 0.7489894032478333, 'val_r2_target_7': -2.9674336910247803}",COMPLETE
6,0.4245409649610519,2026-02-28 18:51:44.883777,2026-02-28 18:52:50.344901,0 days 00:01:05.461124,6,0.38567356042311085,0.5694683351207552,0.0049774193216235016,25,flatten,4,512,0.0018629766556079472,"{'val_rmse_mean': 1.0026289224624634, 'val_mae_mean': 0.7934871315956116, 'val_r2_mean': -2.1161961555480957, 'val_rmse_target_0': 1.0566411018371582, 'val_mae_target_0': 0.8578174710273743, 'val_r2_target_0': -1.9282665252685547, 'val_rmse_target_1': 1.0702612400054932, 'val_mae_target_1': 0.8194037675857544, 'val_r2_target_1': -1.9350872039794922, 'val_rmse_target_2': 1.1306920051574707, 'val_mae_target_2': 0.9041764140129089, 'val_r2_target_2': -1.643568754196167, 'val_rmse_target_3': 0.8132826685905457, 'val_mae_target_3': 0.6708076000213623, 'val_r2_target_3': -0.24334502220153809, 'val_rmse_target_4': 0.8218506574630737, 'val_mae_target_4': 0.6754518151283264, 'val_r2_target_4': -0.41410231590270996, 'val_rmse_target_5': 1.0377848148345947, 'val_mae_target_5': 0.8702247738838196, 'val_r2_target_5': -5.181860446929932, 'val_rmse_target_6': 1.0549473762512207, 'val_mae_target_6': 0.7550081610679626, 'val_r2_target_6': -2.7374062538146973, 'val_rmse_target_7': 1.0355716943740845, 'val_mae_target_7': 0.7950068116188049, 'val_r2_target_7': -2.8459341526031494}",COMPLETE
7,0.358554098457098,2026-02-28 18:52:50.410431,2026-02-28 18:54:16.894991,0 days 00:01:26.484560,6,0.44939452983159256,0.33625773317707336,0.002829167047400793,60,flatten,8,96,0.0012485527285027577,"{'val_rmse_mean': 0.9068559408187866, 'val_mae_mean': 0.7162982225418091, 'val_r2_mean': -3.5281434059143066, 'val_rmse_target_0': 0.8616517186164856, 'val_mae_target_0': 0.6771479845046997, 'val_r2_target_0': -1.8595733642578125, 'val_rmse_target_1': 0.8700844645500183, 'val_mae_target_1': 0.6651895642280579, 'val_r2_target_1': -1.953932762145996, 'val_rmse_target_2': 0.8664160966873169, 'val_mae_target_2': 0.6930984258651733, 'val_r2_target_2': -1.6936554908752441, 'val_rmse_target_3': 0.7912834286689758, 'val_mae_target_3': 0.6167299151420593, 'val_r2_target_3': -1.3270137310028076, 'val_rmse_target_4': 0.8789282441139221, 'val_mae_target_4': 0.7308300137519836, 'val_r2_target_4': -2.1637351512908936, 'val_rmse_target_5': 1.0445139408111572, 'val_mae_target_5': 0.8645704388618469, 'val_r2_target_5': -8.404966354370117, 'val_rmse_target_6': 1.0020194053649902, 'val_mae_target_6': 0.7101221680641174, 'val_r2_target_6': -6.671422481536865, 'val_rmse_target_7': 0.9399499893188477, 'val_mae_target_7': 0.7726972103118896, 'val_r2_target_7': -4.1508469581604}",COMPLETE
8,0.43957338452339173,2026-02-28 18:54:16.953097,2026-02-28 18:56:11.682588,0 days 00:01:54.729491,6,0.12848257171071245,0.5923236274699031,0.0005297094192258902,35,flatten,4,256,0.004051588494821603,"{'val_rmse_mean': 1.0325076580047607, 'val_mae_mean': 0.8067868947982788, 'val_r2_mean': -47.4378662109375, 'val_rmse_target_0': 0.9879215359687805, 'val_mae_target_0': 0.7519717216491699, 'val_r2_target_0': -43.992950439453125, 'val_rmse_target_1': 1.0158660411834717, 'val_mae_target_1': 0.783999502658844, 'val_r2_target_1': -54.77350616455078, 'val_rmse_target_2': 1.011371374130249, 'val_mae_target_2': 0.7948769927024841, 'val_r2_target_2': -47.073856353759766, 'val_rmse_target_3': 1.0040520429611206, 'val_mae_target_3': 0.8303040862083435, 'val_r2_target_3': -33.16188430786133, 'val_rmse_target_4': 1.02072274684906, 'val_mae_target_4': 0.8362047672271729, 'val_r2_target_4': -37.665916442871094, 'val_rmse_target_5': 1.0355054140090942, 'val_mae_target_5': 0.8215097784996033, 'val_r2_target_5': -65.70574188232422, 'val_rmse_target_6': 1.1515916585922241, 'val_mae_target_6': 0.774334728717804, 'val_r2_target_6': -45.12677764892578, 'val_rmse_target_7': 1.0330302715301514, 'val_mae_target_7': 0.8610933423042297, 'val_r2_target_7': -52.00233459472656}",COMPLETE
9,0.40855795770883563,2026-02-28 18:56:11.740214,2026-02-28 18:57:22.780239,0 days 00:01:11.040025,6,0.33790674647914154,0.5527207978430918,0.0037714671069154814,65,flatten,6,512,0.0009512759781432594,"{'val_rmse_mean': 0.9855484366416931, 'val_mae_mean': 0.7747033834457397, 'val_r2_mean': -6.019951343536377, 'val_rmse_target_0': 0.9762259125709534, 'val_mae_target_0': 0.7584285736083984, 'val_r2_target_0': -3.7660698890686035, 'val_rmse_target_1': 1.0851942300796509, 'val_mae_target_1': 0.8429819345474243, 'val_r2_target_1': -6.195339679718018, 'val_rmse_target_2': 1.0036542415618896, 'val_mae_target_2': 0.848928689956665, 'val_r2_target_2': -3.6784396171569824, 'val_rmse_target_3': 0.8700793981552124, 'val_mae_target_3': 0.6769594550132751, 'val_r2_target_3': -1.6047842502593994, 'val_rmse_target_4': 0.8615579605102539, 'val_mae_target_4': 0.6807221174240112, 'val_r2_target_4': -1.8489813804626465, 'val_rmse_target_5': 1.051225185394287, 'val_mae_target_5': 0.8831154704093933, 'val_r2_target_5': -13.409516334533691, 'val_rmse_target_6': 1.0237833261489868, 'val_mae_target_6': 0.6630121469497681, 'val_r2_target_6': -9.229490280151367, 'val_rmse_target_7': 1.0126670598983765, 'val_mae_target_7': 0.8434783816337585, 'val_r2_target_7': -8.426986694335938}",COMPLETE
