number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_lstm,params_dropout_path,params_dropout_reg,params_lr,params_lstm_hidden,params_lstm_layers,params_n_path_features,params_path_aggregation,params_path_dim,params_regressor_dim,params_weight_decay,user_attrs_val_metrics,state
0,0.4572073519229889,2026-02-28 22:04:38.847633,2026-02-28 22:26:08.691618,0 days 00:21:29.843985,6,0.22050925841719193,0.1212282164210943,0.3943184424398819,0.00018053313624241533,8,1,20,mean,16,64,0.00012921837451008723,"{'val_rmse_mean': 1.056510329246521, 'val_mae_mean': 0.8331949710845947, 'val_r2_mean': -67.61681365966797, 'val_rmse_target_0': 1.0745469331741333, 'val_mae_target_0': 0.8337392210960388, 'val_r2_target_0': -55.35284423828125, 'val_rmse_target_1': 1.0440713167190552, 'val_mae_target_1': 0.7849026322364807, 'val_r2_target_1': -69.62199401855469, 'val_rmse_target_2': 1.0192971229553223, 'val_mae_target_2': 0.8214723467826843, 'val_r2_target_2': -88.1833267211914, 'val_rmse_target_3': 1.0443438291549683, 'val_mae_target_3': 0.8663229942321777, 'val_r2_target_3': -69.69862365722656, 'val_rmse_target_4': 1.0276811122894287, 'val_mae_target_4': 0.8473368287086487, 'val_r2_target_4': -56.14327621459961, 'val_rmse_target_5': 1.1016948223114014, 'val_mae_target_5': 0.8992767930030823, 'val_r2_target_5': -64.0502700805664, 'val_rmse_target_6': 1.0845040082931519, 'val_mae_target_6': 0.7375949621200562, 'val_r2_target_6': -46.12757110595703, 'val_rmse_target_7': 1.0559428930282593, 'val_mae_target_7': 0.8749141097068787, 'val_r2_target_7': -91.75659942626953}",COMPLETE
1,0.4786688554286957,2026-02-28 22:26:08.744519,2026-02-28 22:45:22.817533,0 days 00:19:14.073014,6,0.09336363219902533,0.52454666432798,0.20019478217745207,5.372590515705928e-05,6,1,30,mean,16,32,0.0008996318996594691,"{'val_rmse_mean': 1.0855237245559692, 'val_mae_mean': 0.8508859872817993, 'val_r2_mean': -59.601768493652344, 'val_rmse_target_0': 1.0798323154449463, 'val_mae_target_0': 0.8352242112159729, 'val_r2_target_0': -64.30257415771484, 'val_rmse_target_1': 1.0736669301986694, 'val_mae_target_1': 0.8270307183265686, 'val_r2_target_1': -47.747493743896484, 'val_rmse_target_2': 1.056771993637085, 'val_mae_target_2': 0.846860945224762, 'val_r2_target_2': -49.0058479309082, 'val_rmse_target_3': 1.0962777137756348, 'val_mae_target_3': 0.8992721438407898, 'val_r2_target_3': -94.46243286132812, 'val_rmse_target_4': 1.0538649559020996, 'val_mae_target_4': 0.8301895260810852, 'val_r2_target_4': -45.4177131652832, 'val_rmse_target_5': 1.0469481945037842, 'val_mae_target_5': 0.8590215444564819, 'val_r2_target_5': -56.83833312988281, 'val_rmse_target_6': 1.1869615316390991, 'val_mae_target_6': 0.8194056749343872, 'val_r2_target_6': -65.09931182861328, 'val_rmse_target_7': 1.0898656845092773, 'val_mae_target_7': 0.890082836151123, 'val_r2_target_7': -53.94042205810547}",COMPLETE
2,0.47897891998291015,2026-02-28 22:45:22.870627,2026-02-28 23:04:03.058186,0 days 00:18:40.187559,6,0.16348986029405213,0.38112751278358015,0.38870178184871007,2.2804694260787925e-05,8,1,55,mean,24,32,0.002101695428446625,"{'val_rmse_mean': 1.0865154266357422, 'val_mae_mean': 0.8598717451095581, 'val_r2_mean': -74.94992065429688, 'val_rmse_target_0': 1.133931040763855, 'val_mae_target_0': 0.8512125611305237, 'val_r2_target_0': -66.42672729492188, 'val_rmse_target_1': 1.0848606824874878, 'val_mae_target_1': 0.8156861662864685, 'val_r2_target_1': -129.15301513671875, 'val_rmse_target_2': 1.0551221370697021, 'val_mae_target_2': 0.8717659711837769, 'val_r2_target_2': -69.97769927978516, 'val_rmse_target_3': 1.0186665058135986, 'val_mae_target_3': 0.8548685312271118, 'val_r2_target_3': -58.711761474609375, 'val_rmse_target_4': 1.067586898803711, 'val_mae_target_4': 0.8748447299003601, 'val_r2_target_4': -77.46392822265625, 'val_rmse_target_5': 1.102982759475708, 'val_mae_target_5': 0.9222875237464905, 'val_r2_target_5': -72.57026672363281, 'val_rmse_target_6': 1.1512112617492676, 'val_mae_target_6': 0.7837893962860107, 'val_r2_target_6': -65.8344955444336, 'val_rmse_target_7': 1.077762246131897, 'val_mae_target_7': 0.9045189619064331, 'val_r2_target_7': -59.461456298828125}",COMPLETE
3,0.4769794511795044,2026-02-28 23:04:03.110506,2026-02-28 23:23:01.111858,0 days 00:18:58.001352,6,0.15982850045050176,0.4492696295553332,0.3176300337161233,0.00010930911757696659,6,1,60,mean,24,24,0.005455498725187375,"{'val_rmse_mean': 1.080045223236084, 'val_mae_mean': 0.8538858890533447, 'val_r2_mean': -57.34069061279297, 'val_rmse_target_0': 1.0341097116470337, 'val_mae_target_0': 0.8074929118156433, 'val_r2_target_0': -38.66337585449219, 'val_rmse_target_1': 1.1511046886444092, 'val_mae_target_1': 0.883888840675354, 'val_r2_target_1': -68.85103607177734, 'val_rmse_target_2': 1.0507858991622925, 'val_mae_target_2': 0.8732383251190186, 'val_r2_target_2': -99.73158264160156, 'val_rmse_target_3': 1.061607837677002, 'val_mae_target_3': 0.8605875968933105, 'val_r2_target_3': -34.76569366455078, 'val_rmse_target_4': 1.042405366897583, 'val_mae_target_4': 0.8562901020050049, 'val_r2_target_4': -49.447166442871094, 'val_rmse_target_5': 1.095867395401001, 'val_mae_target_5': 0.8805026412010193, 'val_r2_target_5': -72.76597595214844, 'val_rmse_target_6': 1.123335599899292, 'val_mae_target_6': 0.7849938273429871, 'val_r2_target_6': -48.126895904541016, 'val_rmse_target_7': 1.0811445713043213, 'val_mae_target_7': 0.8840928673744202, 'val_r2_target_7': -46.37384033203125}",COMPLETE
4,0.4793612402677536,2026-02-28 23:23:01.164799,2026-02-28 23:43:13.032100,0 days 00:20:11.867301,6,0.2406505051823263,0.5820782892307278,0.10605031130934714,4.745787321830972e-05,18,1,35,mean,16,32,0.00016702822362141623,"{'val_rmse_mean': 1.087465524673462, 'val_mae_mean': 0.8608656525611877, 'val_r2_mean': -60.250091552734375, 'val_rmse_target_0': 1.0818737745285034, 'val_mae_target_0': 0.8387910723686218, 'val_r2_target_0': -46.23710250854492, 'val_rmse_target_1': 1.096361517906189, 'val_mae_target_1': 0.8406592607498169, 'val_r2_target_1': -47.28054428100586, 'val_rmse_target_2': 1.0759738683700562, 'val_mae_target_2': 0.8685229420661926, 'val_r2_target_2': -61.879905700683594, 'val_rmse_target_3': 1.0959203243255615, 'val_mae_target_3': 0.9152982234954834, 'val_r2_target_3': -93.38172149658203, 'val_rmse_target_4': 1.0517911911010742, 'val_mae_target_4': 0.8418870568275452, 'val_r2_target_4': -54.603355407714844, 'val_rmse_target_5': 1.0782170295715332, 'val_mae_target_5': 0.8877582550048828, 'val_r2_target_5': -48.601097106933594, 'val_rmse_target_6': 1.187353253364563, 'val_mae_target_6': 0.8475557565689087, 'val_r2_target_6': -74.60623168945312, 'val_rmse_target_7': 1.0322331190109253, 'val_mae_target_7': 0.8464528918266296, 'val_r2_target_7': -55.410789489746094}",COMPLETE
5,0.48687376350164413,2026-02-28 23:43:13.085160,2026-03-01 00:02:26.645667,0 days 00:19:13.560507,6,0.16232935125172993,0.4195697366551041,0.26642282835864317,1.245924561511663e-05,6,1,60,mean,12,48,0.007354603181343033,"{'val_rmse_mean': 1.096466064453125, 'val_mae_mean': 0.8572111129760742, 'val_r2_mean': -56.286521911621094, 'val_rmse_target_0': 1.1003105640411377, 'val_mae_target_0': 0.8521431088447571, 'val_r2_target_0': -35.939693450927734, 'val_rmse_target_1': 1.1180611848831177, 'val_mae_target_1': 0.832572877407074, 'val_r2_target_1': -34.719635009765625, 'val_rmse_target_2': 1.085470199584961, 'val_mae_target_2': 0.878395676612854, 'val_r2_target_2': -80.53306579589844, 'val_rmse_target_3': 1.0452094078063965, 'val_mae_target_3': 0.8623254895210266, 'val_r2_target_3': -56.16450500488281, 'val_rmse_target_4': 1.1150299310684204, 'val_mae_target_4': 0.9078601598739624, 'val_r2_target_4': -57.98752975463867, 'val_rmse_target_5': 1.064549207687378, 'val_mae_target_5': 0.86879563331604, 'val_r2_target_5': -51.344505310058594, 'val_rmse_target_6': 1.187146782875061, 'val_mae_target_6': 0.7952303290367126, 'val_r2_target_6': -44.02853775024414, 'val_rmse_target_7': 1.0559515953063965, 'val_mae_target_7': 0.8603657484054565, 'val_r2_target_7': -89.57472229003906}",COMPLETE
6,0.39241894632577895,2026-03-01 00:02:26.697429,2026-03-01 00:23:36.904376,0 days 00:21:10.206947,6,0.2855411926344348,0.1336416722333806,0.147019816564607,0.0007827156204972687,12,1,35,mean,12,32,0.0006825582055183799,"{'val_rmse_mean': 0.9763196706771851, 'val_mae_mean': 0.7456989884376526, 'val_r2_mean': -18.38920783996582, 'val_rmse_target_0': 1.028149127960205, 'val_mae_target_0': 0.8048368692398071, 'val_r2_target_0': -21.809635162353516, 'val_rmse_target_1': 0.989637017250061, 'val_mae_target_1': 0.7097327709197998, 'val_r2_target_1': -17.857065200805664, 'val_rmse_target_2': 0.9311579465866089, 'val_mae_target_2': 0.7421166300773621, 'val_r2_target_2': -14.39419937133789, 'val_rmse_target_3': 0.829031229019165, 'val_mae_target_3': 0.6414813995361328, 'val_r2_target_3': -4.12283992767334, 'val_rmse_target_4': 0.8701140880584717, 'val_mae_target_4': 0.7016893625259399, 'val_r2_target_4': -6.606039047241211, 'val_rmse_target_5': 0.9890181422233582, 'val_mae_target_5': 0.8284111022949219, 'val_r2_target_5': -17.511884689331055, 'val_rmse_target_6': 1.179157018661499, 'val_mae_target_6': 0.7465579509735107, 'val_r2_target_6': -46.76650619506836, 'val_rmse_target_7': 0.9942932724952698, 'val_mae_target_7': 0.7907657027244568, 'val_r2_target_7': -18.045501708984375}",COMPLETE
7,0.42857855632901193,2026-03-01 00:23:36.956494,2026-03-01 00:41:31.088674,0 days 00:17:54.132180,6,0.10442206604850093,0.3957906359214909,0.2944712192870462,0.0006636264504449567,18,1,30,mean,24,24,0.006578580555038059,"{'val_rmse_mean': 1.0171287059783936, 'val_mae_mean': 0.7996088862419128, 'val_r2_mean': -21.976764678955078, 'val_rmse_target_0': 1.0176805257797241, 'val_mae_target_0': 0.7458244562149048, 'val_r2_target_0': -14.495695114135742, 'val_rmse_target_1': 1.0544542074203491, 'val_mae_target_1': 0.8303225636482239, 'val_r2_target_1': -20.08736228942871, 'val_rmse_target_2': 0.9799001812934875, 'val_mae_target_2': 0.8160769939422607, 'val_r2_target_2': -11.532309532165527, 'val_rmse_target_3': 0.9674070477485657, 'val_mae_target_3': 0.8034754991531372, 'val_r2_target_3': -26.74289321899414, 'val_rmse_target_4': 0.9513821601867676, 'val_mae_target_4': 0.7639293670654297, 'val_r2_target_4': -16.163591384887695, 'val_rmse_target_5': 1.0436192750930786, 'val_mae_target_5': 0.8638554215431213, 'val_r2_target_5': -38.68614196777344, 'val_rmse_target_6': 1.1194859743118286, 'val_mae_target_6': 0.7676612734794617, 'val_r2_target_6': -31.391590118408203, 'val_rmse_target_7': 1.003099799156189, 'val_mae_target_7': 0.8057254552841187, 'val_r2_target_7': -16.714540481567383}",COMPLETE
8,0.4758796364068985,2026-03-01 00:41:31.142298,2026-03-01 01:04:05.474333,0 days 00:22:34.332035,6,0.14979326563441447,0.37179185914528523,0.26834185633486696,0.00015395025702170337,12,1,55,mean,24,32,0.0017546192598930938,"{'val_rmse_mean': 1.0819697380065918, 'val_mae_mean': 0.8479713797569275, 'val_r2_mean': -59.460140228271484, 'val_rmse_target_0': 1.1063685417175293, 'val_mae_target_0': 0.8516263365745544, 'val_r2_target_0': -43.19380569458008, 'val_rmse_target_1': 1.087532877922058, 'val_mae_target_1': 0.8253372311592102, 'val_r2_target_1': -92.15392303466797, 'val_rmse_target_2': 1.0861263275146484, 'val_mae_target_2': 0.848030149936676, 'val_r2_target_2': -76.91796112060547, 'val_rmse_target_3': 1.0568519830703735, 'val_mae_target_3': 0.8737437725067139, 'val_r2_target_3': -54.926265716552734, 'val_rmse_target_4': 1.1031705141067505, 'val_mae_target_4': 0.8929145932197571, 'val_r2_target_4': -52.621734619140625, 'val_rmse_target_5': 1.061349630355835, 'val_mae_target_5': 0.8736163973808289, 'val_r2_target_5': -74.09043884277344, 'val_rmse_target_6': 1.1129810810089111, 'val_mae_target_6': 0.7451969981193542, 'val_r2_target_6': -36.97343826293945, 'val_rmse_target_7': 1.0413767099380493, 'val_mae_target_7': 0.8733054995536804, 'val_r2_target_7': -44.80352783203125}",COMPLETE
9,0.4799359856545925,2026-03-01 01:04:05.526505,2026-03-01 01:25:16.745764,0 days 00:21:11.219259,6,0.1624362138453757,0.14996451953594644,0.17601440481732336,4.513711186581453e-05,18,1,30,mean,16,64,0.00021219907174119455,"{'val_rmse_mean': 1.0859105587005615, 'val_mae_mean': 0.8546490669250488, 'val_r2_mean': -52.59760284423828, 'val_rmse_target_0': 1.1025036573410034, 'val_mae_target_0': 0.8632602095603943, 'val_r2_target_0': -44.79115676879883, 'val_rmse_target_1': 1.1159915924072266, 'val_mae_target_1': 0.8342282176017761, 'val_r2_target_1': -48.87609100341797, 'val_rmse_target_2': 1.0565049648284912, 'val_mae_target_2': 0.8212782144546509, 'val_r2_target_2': -40.22177505493164, 'val_rmse_target_3': 1.06887948513031, 'val_mae_target_3': 0.8767014145851135, 'val_r2_target_3': -56.7000617980957, 'val_rmse_target_4': 1.0740222930908203, 'val_mae_target_4': 0.8944599032402039, 'val_r2_target_4': -41.45595169067383, 'val_rmse_target_5': 1.0354266166687012, 'val_mae_target_5': 0.8717836737632751, 'val_r2_target_5': -52.717529296875, 'val_rmse_target_6': 1.1309270858764648, 'val_mae_target_6': 0.7724848985671997, 'val_r2_target_6': -51.18684768676758, 'val_rmse_target_7': 1.1030285358428955, 'val_mae_target_7': 0.902995765209198, 'val_r2_target_7': -84.8313980102539}",COMPLETE
