number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cnn_channels,params_dropout_reg,params_lr,params_n_path_features,params_path_aggregation,params_regressor_dim,params_weight_decay,user_attrs_val_metrics,state
0,0.3974378398060799,2026-03-01 10:44:01.910532,2026-03-01 10:45:13.270250,0 days 00:01:11.359718,6,8,0.596905433568803,0.004651180189511751,40,mean,512,0.0038743201144936196,"{'val_rmse_mean': 0.9681026935577393, 'val_mae_mean': 0.7656875252723694, 'val_r2_mean': -1.002335548400879, 'val_rmse_target_0': 0.9046974778175354, 'val_mae_target_0': 0.7498334646224976, 'val_r2_target_0': -0.23047661781311035, 'val_rmse_target_1': 1.039823055267334, 'val_mae_target_1': 0.8396304845809937, 'val_r2_target_1': -0.7961121797561646, 'val_rmse_target_2': 0.9796025156974792, 'val_mae_target_2': 0.7566207647323608, 'val_r2_target_2': -0.4826089143753052, 'val_rmse_target_3': 0.8430131673812866, 'val_mae_target_3': 0.6804668307304382, 'val_r2_target_3': -0.16527056694030762, 'val_rmse_target_4': 0.857831597328186, 'val_mae_target_4': 0.6813289523124695, 'val_r2_target_4': -0.16893255710601807, 'val_rmse_target_5': 1.0495892763137817, 'val_mae_target_5': 0.8424671292304993, 'val_r2_target_5': -2.7004752159118652, 'val_rmse_target_6': 1.0307741165161133, 'val_mae_target_6': 0.7327184081077576, 'val_r2_target_6': -1.8308215141296387, 'val_rmse_target_7': 1.039490818977356, 'val_mae_target_7': 0.842434287071228, 'val_r2_target_7': -1.6439876556396484}",COMPLETE
1,0.3490581911802292,2026-03-01 10:45:13.329582,2026-03-01 10:46:27.439166,0 days 00:01:14.109584,6,6,0.4871123008159188,0.003428629764096903,35,mean,512,0.0069849448187799664,"{'val_rmse_mean': 0.8963537216186523, 'val_mae_mean': 0.7048119306564331, 'val_r2_mean': -1.108609914779663, 'val_rmse_target_0': 0.8730130195617676, 'val_mae_target_0': 0.7034945487976074, 'val_r2_target_0': -0.340481162071228, 'val_rmse_target_1': 0.9484935402870178, 'val_mae_target_1': 0.7437578439712524, 'val_r2_target_1': -0.716778039932251, 'val_rmse_target_2': 0.843190610408783, 'val_mae_target_2': 0.6644809246063232, 'val_r2_target_2': -0.2264314889907837, 'val_rmse_target_3': 0.7117199897766113, 'val_mae_target_3': 0.5968079566955566, 'val_r2_target_3': 0.01107645034790039, 'val_rmse_target_4': 0.7607178688049316, 'val_mae_target_4': 0.6013895273208618, 'val_r2_target_4': -0.3150913715362549, 'val_rmse_target_5': 1.0799099206924438, 'val_mae_target_5': 0.8944916725158691, 'val_r2_target_5': -4.270985126495361, 'val_rmse_target_6': 0.9759314656257629, 'val_mae_target_6': 0.6666943430900574, 'val_r2_target_6': -1.65287446975708, 'val_rmse_target_7': 0.9778535962104797, 'val_mae_target_7': 0.7673786282539368, 'val_r2_target_7': -1.3573169708251953}",COMPLETE
2,0.32791652575135233,2026-03-01 10:46:27.499457,2026-03-01 10:48:16.678510,0 days 00:01:49.179053,6,10,0.30054020682079263,0.0007350504571268016,45,mean,640,0.002601495694875577,"{'val_rmse_mean': 0.869078516960144, 'val_mae_mean': 0.6770774126052856, 'val_r2_mean': -2.131281852722168, 'val_rmse_target_0': 0.7975225448608398, 'val_mae_target_0': 0.6519355773925781, 'val_r2_target_0': -0.6450904607772827, 'val_rmse_target_1': 0.8444342017173767, 'val_mae_target_1': 0.6383973360061646, 'val_r2_target_1': -0.9998923540115356, 'val_rmse_target_2': 0.7724822163581848, 'val_mae_target_2': 0.594049334526062, 'val_r2_target_2': -0.5636143684387207, 'val_rmse_target_3': 0.7444149851799011, 'val_mae_target_3': 0.5984435081481934, 'val_r2_target_3': -0.49690985679626465, 'val_rmse_target_4': 0.7897584438323975, 'val_mae_target_4': 0.6612500548362732, 'val_r2_target_4': -1.2401201725006104, 'val_rmse_target_5': 1.024370789527893, 'val_mae_target_5': 0.8193020820617676, 'val_r2_target_5': -6.296826362609863, 'val_rmse_target_6': 1.0525519847869873, 'val_mae_target_6': 0.6910099983215332, 'val_r2_target_6': -4.444606781005859, 'val_rmse_target_7': 0.9270930886268616, 'val_mae_target_7': 0.7622312903404236, 'val_r2_target_7': -2.3631956577301025}",COMPLETE
3,0.3129812580347061,2026-03-01 10:48:16.738294,2026-03-01 10:50:04.565015,0 days 00:01:47.826721,6,6,0.5448441000406671,0.001085164543502221,20,mean,512,0.0011096996665877212,"{'val_rmse_mean': 0.8503170013427734, 'val_mae_mean': 0.6547389030456543, 'val_r2_mean': -1.694799780845642, 'val_rmse_target_0': 0.8405686020851135, 'val_mae_target_0': 0.675294816493988, 'val_r2_target_0': -1.0045325756072998, 'val_rmse_target_1': 0.859745442867279, 'val_mae_target_1': 0.6614583730697632, 'val_r2_target_1': -1.3875534534454346, 'val_rmse_target_2': 0.7564839124679565, 'val_mae_target_2': 0.5696907043457031, 'val_r2_target_2': -0.5062202215194702, 'val_rmse_target_3': 0.690688967704773, 'val_mae_target_3': 0.5461863279342651, 'val_r2_target_3': 0.029484331607818604, 'val_rmse_target_4': 0.7085775136947632, 'val_mae_target_4': 0.5723095536231995, 'val_r2_target_4': -0.3000767230987549, 'val_rmse_target_5': 0.9972074031829834, 'val_mae_target_5': 0.812716543674469, 'val_r2_target_5': -3.419686794281006, 'val_rmse_target_6': 1.0245286226272583, 'val_mae_target_6': 0.6649114489555359, 'val_r2_target_6': -4.132853031158447, 'val_rmse_target_7': 0.9247356653213501, 'val_mae_target_7': 0.7353434562683105, 'val_r2_target_7': -2.83695912361145}",COMPLETE
4,0.31898280188441275,2026-03-01 10:50:04.628946,2026-03-01 10:51:55.796249,0 days 00:01:51.167303,6,12,0.5454985750840015,0.0009915825647899786,40,mean,640,0.0029805708742389678,"{'val_rmse_mean': 0.8556969165802002, 'val_mae_mean': 0.666782557964325, 'val_r2_mean': -2.0083818435668945, 'val_rmse_target_0': 0.7942189574241638, 'val_mae_target_0': 0.6398400664329529, 'val_r2_target_0': -0.6368480920791626, 'val_rmse_target_1': 0.8448253273963928, 'val_mae_target_1': 0.6395155191421509, 'val_r2_target_1': -0.9205580949783325, 'val_rmse_target_2': 0.749342143535614, 'val_mae_target_2': 0.58860844373703, 'val_r2_target_2': -0.33495354652404785, 'val_rmse_target_3': 0.7403552532196045, 'val_mae_target_3': 0.5820968747138977, 'val_r2_target_3': -0.31010115146636963, 'val_rmse_target_4': 0.7653898000717163, 'val_mae_target_4': 0.6330148577690125, 'val_r2_target_4': -0.719735860824585, 'val_rmse_target_5': 0.9969654083251953, 'val_mae_target_5': 0.8333643078804016, 'val_r2_target_5': -6.47939395904541, 'val_rmse_target_6': 1.0439051389694214, 'val_mae_target_6': 0.6709709763526917, 'val_r2_target_6': -4.392660617828369, 'val_rmse_target_7': 0.9105733036994934, 'val_mae_target_7': 0.7468494176864624, 'val_r2_target_7': -2.2728030681610107}",COMPLETE
5,0.32180533349514007,2026-03-01 10:51:55.856693,2026-03-01 10:53:20.793981,0 days 00:01:24.937288,6,8,0.25320800818526534,0.001278989591985448,35,mean,768,0.0006088685435217924,"{'val_rmse_mean': 0.8599969148635864, 'val_mae_mean': 0.6670643091201782, 'val_r2_mean': -0.9627000093460083, 'val_rmse_target_0': 0.8297066688537598, 'val_mae_target_0': 0.6706941723823547, 'val_r2_target_0': -0.24492645263671875, 'val_rmse_target_1': 0.8867247104644775, 'val_mae_target_1': 0.6966629028320312, 'val_r2_target_1': -0.7549866437911987, 'val_rmse_target_2': 0.7948547005653381, 'val_mae_target_2': 0.602690577507019, 'val_r2_target_2': -0.26617515087127686, 'val_rmse_target_3': 0.6681764721870422, 'val_mae_target_3': 0.5351145267486572, 'val_r2_target_3': 0.191602885723114, 'val_rmse_target_4': 0.7101430296897888, 'val_mae_target_4': 0.5691301226615906, 'val_r2_target_4': -0.16234421730041504, 'val_rmse_target_5': 1.027929663658142, 'val_mae_target_5': 0.8389233350753784, 'val_r2_target_5': -3.516368865966797, 'val_rmse_target_6': 1.0172536373138428, 'val_mae_target_6': 0.6603683233261108, 'val_r2_target_6': -1.650481939315796, 'val_rmse_target_7': 0.9451866149902344, 'val_mae_target_7': 0.7629304528236389, 'val_r2_target_7': -1.2979187965393066}",COMPLETE
6,0.3783780175447464,2026-03-01 10:53:20.857183,2026-03-01 10:54:28.393924,0 days 00:01:07.536741,6,12,0.3997436826760332,0.005467196200428889,30,mean,512,0.0010201742592133032,"{'val_rmse_mean': 0.9375400543212891, 'val_mae_mean': 0.7336699962615967, 'val_r2_mean': -0.737354576587677, 'val_rmse_target_0': 0.9205917119979858, 'val_mae_target_0': 0.7212867140769958, 'val_r2_target_0': -0.17798423767089844, 'val_rmse_target_1': 1.0135055780410767, 'val_mae_target_1': 0.8226451873779297, 'val_r2_target_1': -0.7914398908615112, 'val_rmse_target_2': 0.9036852717399597, 'val_mae_target_2': 0.6795469522476196, 'val_r2_target_2': -0.29157471656799316, 'val_rmse_target_3': 0.7684785723686218, 'val_mae_target_3': 0.6329264640808105, 'val_r2_target_3': 0.125676691532135, 'val_rmse_target_4': 0.7675244808197021, 'val_mae_target_4': 0.6231429576873779, 'val_r2_target_4': 0.020263195037841797, 'val_rmse_target_5': 1.115673542022705, 'val_mae_target_5': 0.9185077548027039, 'val_r2_target_5': -2.5302798748016357, 'val_rmse_target_6': 0.9963752031326294, 'val_mae_target_6': 0.6751788854598999, 'val_r2_target_6': -1.0556104183197021, 'val_rmse_target_7': 1.0144859552383423, 'val_mae_target_7': 0.7961248159408569, 'val_r2_target_7': -1.1978874206542969}",COMPLETE
7,0.378761890232563,2026-03-01 10:54:28.452981,2026-03-01 10:55:42.972588,0 days 00:01:14.519607,6,12,0.46510212975731846,0.0030027319680759846,50,mean,768,0.004832802608439744,"{'val_rmse_mean': 0.9427304267883301, 'val_mae_mean': 0.7430850863456726, 'val_r2_mean': -0.995864748954773, 'val_rmse_target_0': 0.8676618337631226, 'val_mae_target_0': 0.6796852946281433, 'val_r2_target_0': -0.2915552854537964, 'val_rmse_target_1': 1.0154508352279663, 'val_mae_target_1': 0.805705189704895, 'val_r2_target_1': -1.0656554698944092, 'val_rmse_target_2': 0.9307646155357361, 'val_mae_target_2': 0.7067241072654724, 'val_r2_target_2': -0.36990082263946533, 'val_rmse_target_3': 0.782139241695404, 'val_mae_target_3': 0.6249368190765381, 'val_r2_target_3': -0.3046625852584839, 'val_rmse_target_4': 0.8107306957244873, 'val_mae_target_4': 0.6749886870384216, 'val_r2_target_4': -0.5778757333755493, 'val_rmse_target_5': 1.0766048431396484, 'val_mae_target_5': 0.9026232957839966, 'val_r2_target_5': -1.9448072910308838, 'val_rmse_target_6': 1.01790452003479, 'val_mae_target_6': 0.7021694183349609, 'val_r2_target_6': -2.1486592292785645, 'val_rmse_target_7': 1.0405867099761963, 'val_mae_target_7': 0.8478478789329529, 'val_r2_target_7': -1.2638001441955566}",COMPLETE
8,0.3930595561861992,2026-03-01 10:55:43.038398,2026-03-01 10:56:51.500750,0 days 00:01:08.462352,6,6,0.5247107919507572,0.003883187125228316,50,mean,768,0.0009995202826369465,"{'val_rmse_mean': 0.9678199887275696, 'val_mae_mean': 0.7539955377578735, 'val_r2_mean': -0.8482303023338318, 'val_rmse_target_0': 0.9719548225402832, 'val_mae_target_0': 0.7621507048606873, 'val_r2_target_0': -0.32581424713134766, 'val_rmse_target_1': 1.102015733718872, 'val_mae_target_1': 0.869540810585022, 'val_r2_target_1': -0.9344897270202637, 'val_rmse_target_2': 0.9836366772651672, 'val_mae_target_2': 0.7316439747810364, 'val_r2_target_2': -0.2663404941558838, 'val_rmse_target_3': 0.78251051902771, 'val_mae_target_3': 0.6573919057846069, 'val_r2_target_3': -0.0860062837600708, 'val_rmse_target_4': 0.7759047150611877, 'val_mae_target_4': 0.611237108707428, 'val_r2_target_4': -0.1154327392578125, 'val_rmse_target_5': 1.077292561531067, 'val_mae_target_5': 0.8676856756210327, 'val_r2_target_5': -1.6435270309448242, 'val_rmse_target_6': 1.0118117332458496, 'val_mae_target_6': 0.6744667887687683, 'val_r2_target_6': -2.0464537143707275, 'val_rmse_target_7': 1.03743314743042, 'val_mae_target_7': 0.8578475117683411, 'val_r2_target_7': -1.367776870727539}",COMPLETE
9,0.3413948544859886,2026-03-01 10:56:51.560088,2026-03-01 10:58:12.490271,0 days 00:01:20.930183,6,6,0.5368686907916429,0.0020321053140531457,40,mean,768,0.0014257110448233962,"{'val_rmse_mean': 0.8877377510070801, 'val_mae_mean': 0.6939120292663574, 'val_r2_mean': -1.0483628511428833, 'val_rmse_target_0': 0.826919674873352, 'val_mae_target_0': 0.6785947680473328, 'val_r2_target_0': -0.23198068141937256, 'val_rmse_target_1': 0.935164749622345, 'val_mae_target_1': 0.7319777607917786, 'val_r2_target_1': -0.9104571342468262, 'val_rmse_target_2': 0.8210269808769226, 'val_mae_target_2': 0.6431026458740234, 'val_r2_target_2': -0.2635434865951538, 'val_rmse_target_3': 0.7373303771018982, 'val_mae_target_3': 0.581566572189331, 'val_r2_target_3': -0.0692969560623169, 'val_rmse_target_4': 0.7279860973358154, 'val_mae_target_4': 0.5734628438949585, 'val_r2_target_4': -0.0909651517868042, 'val_rmse_target_5': 1.0546998977661133, 'val_mae_target_5': 0.8508052825927734, 'val_r2_target_5': -2.956404685974121, 'val_rmse_target_6': 1.0005940198898315, 'val_mae_target_6': 0.6736913323402405, 'val_r2_target_6': -2.139862298965454, 'val_rmse_target_7': 0.9981803894042969, 'val_mae_target_7': 0.8180950284004211, 'val_r2_target_7': -1.7243907451629639}",COMPLETE
