number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_n_layers,params_n_path_features,params_shrink_factor,params_weight_decay,user_attrs_val_metrics,state
0,0.5235208857059479,2026-03-01 14:54:14.059773,2026-03-01 14:55:31.064386,0 days 00:01:17.004613,6,0.6053141289887172,768,0.0041393844218125175,2,70,1.0,0.0002339152130520608,"{'val_rmse_mean': 1.146993637084961, 'val_mae_mean': 0.9051262140274048, 'val_r2_mean': -6.6761956214904785, 'val_rmse_target_0': 1.0617626905441284, 'val_mae_target_0': 0.778648853302002, 'val_r2_target_0': -5.665657997131348, 'val_rmse_target_1': 1.1199675798416138, 'val_mae_target_1': 0.8497891426086426, 'val_r2_target_1': -5.082086563110352, 'val_rmse_target_2': 1.034846305847168, 'val_mae_target_2': 0.8235111832618713, 'val_r2_target_2': -6.186600208282471, 'val_rmse_target_3': 1.2806214094161987, 'val_mae_target_3': 1.0564695596694946, 'val_r2_target_3': -5.94773530960083, 'val_rmse_target_4': 1.1074328422546387, 'val_mae_target_4': 0.9426164031028748, 'val_r2_target_4': -8.741504669189453, 'val_rmse_target_5': 1.1874146461486816, 'val_mae_target_5': 1.022519588470459, 'val_r2_target_5': -8.404139518737793, 'val_rmse_target_6': 1.1269944906234741, 'val_mae_target_6': 0.7711389660835266, 'val_r2_target_6': -7.157896995544434, 'val_rmse_target_7': 1.2569085359573364, 'val_mae_target_7': 0.9963155388832092, 'val_r2_target_7': -6.223945140838623}",COMPLETE
1,0.3934189647436142,2026-03-01 14:55:31.129106,2026-03-01 14:56:56.652508,0 days 00:01:25.523402,6,0.4195784273566341,256,0.0007246368209047931,4,60,1.0,1.7655103458012183e-05,"{'val_rmse_mean': 0.9630992412567139, 'val_mae_mean': 0.7690027356147766, 'val_r2_mean': -10.916021347045898, 'val_rmse_target_0': 0.8788563013076782, 'val_mae_target_0': 0.6725954413414001, 'val_r2_target_0': -3.759671211242676, 'val_rmse_target_1': 0.8867024779319763, 'val_mae_target_1': 0.6698581576347351, 'val_r2_target_1': -4.160716533660889, 'val_rmse_target_2': 0.8340199589729309, 'val_mae_target_2': 0.6525416374206543, 'val_r2_target_2': -2.6339540481567383, 'val_rmse_target_3': 0.9353060722351074, 'val_mae_target_3': 0.7953118681907654, 'val_r2_target_3': -4.435454845428467, 'val_rmse_target_4': 0.9794319272041321, 'val_mae_target_4': 0.8324190378189087, 'val_r2_target_4': -5.04788064956665, 'val_rmse_target_5': 1.0418986082077026, 'val_mae_target_5': 0.8608003854751587, 'val_r2_target_5': -30.068979263305664, 'val_rmse_target_6': 1.1398423910140991, 'val_mae_target_6': 0.8108828663825989, 'val_r2_target_6': -24.241968154907227, 'val_rmse_target_7': 1.0087361335754395, 'val_mae_target_7': 0.8576126098632812, 'val_r2_target_7': -12.979546546936035}",COMPLETE
2,0.4657773941755295,2026-03-01 14:56:56.718442,2026-03-01 14:58:07.895722,0 days 00:01:11.177280,6,0.503109095857157,768,0.006769315654169562,2,25,0.5,0.00012895458128385918,"{'val_rmse_mean': 1.0562266111373901, 'val_mae_mean': 0.8450700640678406, 'val_r2_mean': -10.408409118652344, 'val_rmse_target_0': 1.0117088556289673, 'val_mae_target_0': 0.7957723736763, 'val_r2_target_0': -13.279138565063477, 'val_rmse_target_1': 0.99836665391922, 'val_mae_target_1': 0.7749643921852112, 'val_r2_target_1': -4.693706035614014, 'val_rmse_target_2': 1.0333682298660278, 'val_mae_target_2': 0.8680798411369324, 'val_r2_target_2': -4.803530216217041, 'val_rmse_target_3': 1.0311119556427002, 'val_mae_target_3': 0.876035213470459, 'val_r2_target_3': -4.4748854637146, 'val_rmse_target_4': 1.0927162170410156, 'val_mae_target_4': 0.8788449764251709, 'val_r2_target_4': -9.419135093688965, 'val_rmse_target_5': 1.0950407981872559, 'val_mae_target_5': 0.876965343952179, 'val_r2_target_5': -13.349756240844727, 'val_rmse_target_6': 1.1420338153839111, 'val_mae_target_6': 0.828260064125061, 'val_r2_target_6': -7.794405937194824, 'val_rmse_target_7': 1.0454663038253784, 'val_mae_target_7': 0.8616384267807007, 'val_r2_target_7': -25.452714920043945}",COMPLETE
3,0.44202703833580015,2026-03-01 14:58:07.961328,2026-03-01 14:59:15.549626,0 days 00:01:07.588298,6,0.6495686259423065,768,0.004019309516622544,3,70,0.75,0.00012903541639218172,"{'val_rmse_mean': 1.0293078422546387, 'val_mae_mean': 0.8170343637466431, 'val_r2_mean': -11.076371192932129, 'val_rmse_target_0': 0.9838637709617615, 'val_mae_target_0': 0.7274088263511658, 'val_r2_target_0': -7.845513343811035, 'val_rmse_target_1': 1.0333890914916992, 'val_mae_target_1': 0.7516146302223206, 'val_r2_target_1': -11.805028915405273, 'val_rmse_target_2': 0.9919188618659973, 'val_mae_target_2': 0.8136960864067078, 'val_r2_target_2': -9.603614807128906, 'val_rmse_target_3': 0.9413817524909973, 'val_mae_target_3': 0.7953889966011047, 'val_r2_target_3': -9.5275239944458, 'val_rmse_target_4': 1.0045150518417358, 'val_mae_target_4': 0.8311337232589722, 'val_r2_target_4': -8.879202842712402, 'val_rmse_target_5': 1.0772974491119385, 'val_mae_target_5': 0.889424741268158, 'val_r2_target_5': -11.634363174438477, 'val_rmse_target_6': 1.1601591110229492, 'val_mae_target_6': 0.8623694777488708, 'val_r2_target_6': -17.716169357299805, 'val_rmse_target_7': 1.0419375896453857, 'val_mae_target_7': 0.8652383685112, 'val_r2_target_7': -11.599555969238281}",COMPLETE
4,0.4356027585268021,2026-03-01 14:59:15.614435,2026-03-01 15:00:23.993830,0 days 00:01:08.379395,6,0.6816771604117009,1024,0.0007030913524005032,2,50,1.0,0.008412711090990387,"{'val_rmse_mean': 1.0109187364578247, 'val_mae_mean': 0.8169494867324829, 'val_r2_mean': -5.728168487548828, 'val_rmse_target_0': 0.9440468549728394, 'val_mae_target_0': 0.7622615098953247, 'val_r2_target_0': -1.8233544826507568, 'val_rmse_target_1': 0.9104220867156982, 'val_mae_target_1': 0.7015438079833984, 'val_r2_target_1': -2.623809576034546, 'val_rmse_target_2': 0.9531518816947937, 'val_mae_target_2': 0.7549471855163574, 'val_r2_target_2': -1.752340316772461, 'val_rmse_target_3': 0.9611143469810486, 'val_mae_target_3': 0.7980330586433411, 'val_r2_target_3': -2.4444785118103027, 'val_rmse_target_4': 0.9957034587860107, 'val_mae_target_4': 0.8386399149894714, 'val_r2_target_4': -3.8768086433410645, 'val_rmse_target_5': 1.1186225414276123, 'val_mae_target_5': 0.9121055603027344, 'val_r2_target_5': -18.884227752685547, 'val_rmse_target_6': 1.1642036437988281, 'val_mae_target_6': 0.8643934726715088, 'val_r2_target_6': -8.782500267028809, 'val_rmse_target_7': 1.0400851964950562, 'val_mae_target_7': 0.9036712050437927, 'val_r2_target_7': -5.6378326416015625}",COMPLETE
5,0.48919062316417694,2026-03-01 15:00:24.060187,2026-03-01 15:01:32.914284,0 days 00:01:08.854097,6,0.5167071489245458,512,0.0011850395250603,1,70,1.0,0.008385363250381818,"{'val_rmse_mean': 1.097325086593628, 'val_mae_mean': 0.8750174045562744, 'val_r2_mean': -3.7884979248046875, 'val_rmse_target_0': 1.013234257698059, 'val_mae_target_0': 0.8211444020271301, 'val_r2_target_0': -1.3658185005187988, 'val_rmse_target_1': 1.0695035457611084, 'val_mae_target_1': 0.8234798312187195, 'val_r2_target_1': -1.5517125129699707, 'val_rmse_target_2': 0.9840216040611267, 'val_mae_target_2': 0.8249560594558716, 'val_r2_target_2': -1.6099774837493896, 'val_rmse_target_3': 1.008395791053772, 'val_mae_target_3': 0.8777117133140564, 'val_r2_target_3': -2.7898714542388916, 'val_rmse_target_4': 1.1331684589385986, 'val_mae_target_4': 0.9184991717338562, 'val_r2_target_4': -3.1346778869628906, 'val_rmse_target_5': 1.28473699092865, 'val_mae_target_5': 1.0520174503326416, 'val_r2_target_5': -9.968945503234863, 'val_rmse_target_6': 1.1694912910461426, 'val_mae_target_6': 0.7945400476455688, 'val_r2_target_6': -2.728442668914795, 'val_rmse_target_7': 1.1160484552383423, 'val_mae_target_7': 0.8877904415130615, 'val_r2_target_7': -7.158538818359375}",COMPLETE
6,0.3918006923794746,2026-03-01 15:01:32.979939,2026-03-01 15:02:46.974518,0 days 00:01:13.994579,6,0.26121333239540173,768,0.0003079603974222291,1,30,0.75,0.0008628510691630575,"{'val_rmse_mean': 0.9558880925178528, 'val_mae_mean': 0.763290524482727, 'val_r2_mean': -2.8911046981811523, 'val_rmse_target_0': 0.9151832461357117, 'val_mae_target_0': 0.7423742413520813, 'val_r2_target_0': -1.2941102981567383, 'val_rmse_target_1': 0.945018470287323, 'val_mae_target_1': 0.7375885248184204, 'val_r2_target_1': -0.9889672994613647, 'val_rmse_target_2': 0.8664459586143494, 'val_mae_target_2': 0.6715163588523865, 'val_r2_target_2': -1.008939504623413, 'val_rmse_target_3': 0.9152358174324036, 'val_mae_target_3': 0.7570383548736572, 'val_r2_target_3': -2.3844919204711914, 'val_rmse_target_4': 0.9480383396148682, 'val_mae_target_4': 0.7585563063621521, 'val_r2_target_4': -3.2169899940490723, 'val_rmse_target_5': 1.0097719430923462, 'val_mae_target_5': 0.8145993947982788, 'val_r2_target_5': -7.559001922607422, 'val_rmse_target_6': 1.0290021896362305, 'val_mae_target_6': 0.7630177140235901, 'val_r2_target_6': -4.174849510192871, 'val_rmse_target_7': 1.0184087753295898, 'val_mae_target_7': 0.8616330623626709, 'val_r2_target_7': -2.501487970352173}",COMPLETE
7,0.4634851172566414,2026-03-01 15:02:47.040572,2026-03-01 15:03:58.471552,0 days 00:01:11.430980,6,0.11297069005289213,1024,0.0015912295733113574,1,40,1.0,0.005899296142058733,"{'val_rmse_mean': 1.0425268411636353, 'val_mae_mean': 0.848515510559082, 'val_r2_mean': -3.0753464698791504, 'val_rmse_target_0': 0.9633394479751587, 'val_mae_target_0': 0.7655993700027466, 'val_r2_target_0': -1.8801419734954834, 'val_rmse_target_1': 1.052409291267395, 'val_mae_target_1': 0.8541322350502014, 'val_r2_target_1': -2.2940673828125, 'val_rmse_target_2': 1.0795533657073975, 'val_mae_target_2': 0.8991535902023315, 'val_r2_target_2': -2.3707938194274902, 'val_rmse_target_3': 1.1147983074188232, 'val_mae_target_3': 0.9388929605484009, 'val_r2_target_3': -3.413356304168701, 'val_rmse_target_4': 0.9761986136436462, 'val_mae_target_4': 0.8356735706329346, 'val_r2_target_4': -1.4695096015930176, 'val_rmse_target_5': 1.1239089965820312, 'val_mae_target_5': 0.9124661087989807, 'val_r2_target_5': -7.337638854980469, 'val_rmse_target_6': 0.981461226940155, 'val_mae_target_6': 0.7320459485054016, 'val_r2_target_6': -2.1040432453155518, 'val_rmse_target_7': 1.0485453605651855, 'val_mae_target_7': 0.8501603603363037, 'val_r2_target_7': -3.7332191467285156}",COMPLETE
8,0.42999772042036055,2026-03-01 15:03:58.538024,2026-03-01 15:05:08.402546,0 days 00:01:09.864522,6,0.48707348762415836,128,0.0053300166748838805,1,35,1.0,0.001287055505672228,"{'val_rmse_mean': 1.021788477897644, 'val_mae_mean': 0.7977924346923828, 'val_r2_mean': -8.658329963684082, 'val_rmse_target_0': 0.9858330488204956, 'val_mae_target_0': 0.7895030379295349, 'val_r2_target_0': -6.015114784240723, 'val_rmse_target_1': 1.011866569519043, 'val_mae_target_1': 0.7054159045219421, 'val_r2_target_1': -5.00694465637207, 'val_rmse_target_2': 0.8756474852561951, 'val_mae_target_2': 0.7043253183364868, 'val_r2_target_2': -2.7993454933166504, 'val_rmse_target_3': 1.023045539855957, 'val_mae_target_3': 0.8117263913154602, 'val_r2_target_3': -4.701208591461182, 'val_rmse_target_4': 0.9992056488990784, 'val_mae_target_4': 0.8220994472503662, 'val_r2_target_4': -3.0604043006896973, 'val_rmse_target_5': 1.0874768495559692, 'val_mae_target_5': 0.8397507667541504, 'val_r2_target_5': -11.835230827331543, 'val_rmse_target_6': 1.141238808631897, 'val_mae_target_6': 0.7974340915679932, 'val_r2_target_6': -26.442766189575195, 'val_rmse_target_7': 1.0499937534332275, 'val_mae_target_7': 0.9120844006538391, 'val_r2_target_7': -9.405616760253906}",COMPLETE
9,0.3860113286972046,2026-03-01 15:05:08.469162,2026-03-01 15:06:23.151713,0 days 00:01:14.682551,6,0.41153660941902337,256,0.0004798217449581997,1,30,0.75,0.00045464726185310417,"{'val_rmse_mean': 0.9477080702781677, 'val_mae_mean': 0.7419410943984985, 'val_r2_mean': -3.5128378868103027, 'val_rmse_target_0': 0.876028299331665, 'val_mae_target_0': 0.6919392347335815, 'val_r2_target_0': -1.386793613433838, 'val_rmse_target_1': 0.8764157295227051, 'val_mae_target_1': 0.6567243933677673, 'val_r2_target_1': -1.4311649799346924, 'val_rmse_target_2': 0.8999990820884705, 'val_mae_target_2': 0.7225510478019714, 'val_r2_target_2': -1.3934128284454346, 'val_rmse_target_3': 0.8622615933418274, 'val_mae_target_3': 0.6860270500183105, 'val_r2_target_3': -1.9700736999511719, 'val_rmse_target_4': 0.9949325919151306, 'val_mae_target_4': 0.820068359375, 'val_r2_target_4': -4.339130401611328, 'val_rmse_target_5': 1.0415501594543457, 'val_mae_target_5': 0.7997376918792725, 'val_r2_target_5': -8.369514465332031, 'val_rmse_target_6': 1.0525012016296387, 'val_mae_target_6': 0.7436769008636475, 'val_r2_target_6': -4.6226067543029785, 'val_rmse_target_7': 0.9779757857322693, 'val_mae_target_7': 0.8148037791252136, 'val_r2_target_7': -4.590006351470947}",COMPLETE
