number,value,datetime_start,datetime_complete,duration,params_n_estimators,params_n_path_features,user_attrs_val_metrics,state
0,0.898360866010189,2026-03-01 16:57:27.525120,2026-03-01 16:59:10.107734,0 days 00:01:42.582614,4,25,"{'val_rmse_mean': 0.9404860734939575, 'val_mae_mean': 0.7184622287750244, 'val_r2_mean': -9.007732391357422, 'val_rmse_target_0': 0.8060184121131897, 'val_mae_target_0': 0.6177465915679932, 'val_r2_target_0': -0.5315350294113159, 'val_rmse_target_1': 0.9120551943778992, 'val_mae_target_1': 0.699540376663208, 'val_r2_target_1': -0.9744309186935425, 'val_rmse_target_2': 0.8966500163078308, 'val_mae_target_2': 0.678768515586853, 'val_r2_target_2': -1.4144515991210938, 'val_rmse_target_3': 0.7890827655792236, 'val_mae_target_3': 0.589927613735199, 'val_r2_target_3': -0.521119236946106, 'val_rmse_target_4': 0.8737672567367554, 'val_mae_target_4': 0.676734447479248, 'val_r2_target_4': -1.0737040042877197, 'val_rmse_target_5': 1.1099070310592651, 'val_mae_target_5': 0.904043436050415, 'val_r2_target_5': -53.539329528808594, 'val_rmse_target_6': 1.0933172702789307, 'val_mae_target_6': 0.7192579507827759, 'val_r2_target_6': -9.544917106628418, 'val_rmse_target_7': 1.043090581893921, 'val_mae_target_7': 0.8616790175437927, 'val_r2_target_7': -4.462371349334717}",COMPLETE
1,0.930284113585949,2026-03-01 16:59:10.177494,2026-03-01 17:02:02.828946,0 days 00:02:52.651452,14,20,"{'val_rmse_mean': 0.9568341970443726, 'val_mae_mean': 0.7326794266700745, 'val_r2_mean': -6.4856953620910645, 'val_rmse_target_0': 0.852986752986908, 'val_mae_target_0': 0.6469690799713135, 'val_r2_target_0': -0.9063012599945068, 'val_rmse_target_1': 0.9482262134552002, 'val_mae_target_1': 0.7090386152267456, 'val_r2_target_1': -1.2004077434539795, 'val_rmse_target_2': 0.9081565141677856, 'val_mae_target_2': 0.6974275708198547, 'val_r2_target_2': -1.5597290992736816, 'val_rmse_target_3': 0.7706811428070068, 'val_mae_target_3': 0.570460319519043, 'val_r2_target_3': -0.41134607791900635, 'val_rmse_target_4': 0.8720008134841919, 'val_mae_target_4': 0.6782621741294861, 'val_r2_target_4': -1.0496349334716797, 'val_rmse_target_5': 1.119640827178955, 'val_mae_target_5': 0.9056634306907654, 'val_r2_target_5': -34.39280700683594, 'val_rmse_target_6': 1.100722074508667, 'val_mae_target_6': 0.743105411529541, 'val_r2_target_6': -8.329487800598145, 'val_rmse_target_7': 1.0822595357894897, 'val_mae_target_7': 0.9105088710784912, 'val_r2_target_7': -4.035853862762451}",COMPLETE
2,0.9589449340105056,2026-03-01 17:02:02.898885,2026-03-01 17:04:47.706906,0 days 00:02:44.808021,7,70,"{'val_rmse_mean': 0.9756247401237488, 'val_mae_mean': 0.7546030282974243, 'val_r2_mean': -14.051143646240234, 'val_rmse_target_0': 0.8627772927284241, 'val_mae_target_0': 0.6655224561691284, 'val_r2_target_0': -1.2112038135528564, 'val_rmse_target_1': 0.9272964596748352, 'val_mae_target_1': 0.7037868499755859, 'val_r2_target_1': -1.5220129489898682, 'val_rmse_target_2': 0.9573245644569397, 'val_mae_target_2': 0.7844006419181824, 'val_r2_target_2': -1.894277572631836, 'val_rmse_target_3': 0.9584610462188721, 'val_mae_target_3': 0.7458323836326599, 'val_r2_target_3': -4.403600692749023, 'val_rmse_target_4': 0.9643477201461792, 'val_mae_target_4': 0.7527837157249451, 'val_r2_target_4': -6.788386344909668, 'val_rmse_target_5': 1.1011748313903809, 'val_mae_target_5': 0.8916303515434265, 'val_r2_target_5': -86.27534484863281, 'val_rmse_target_6': 1.1212794780731201, 'val_mae_target_6': 0.7770406603813171, 'val_r2_target_6': -8.012592315673828, 'val_rmse_target_7': 0.9123364686965942, 'val_mae_target_7': 0.7158271670341492, 'val_r2_target_7': -2.3017327785491943}",COMPLETE
3,0.9347439861297607,2026-03-01 17:04:47.775236,2026-03-01 17:06:53.499577,0 days 00:02:05.724341,8,20,"{'val_rmse_mean': 0.9591516256332397, 'val_mae_mean': 0.7349979877471924, 'val_r2_mean': -6.513655662536621, 'val_rmse_target_0': 0.8463759422302246, 'val_mae_target_0': 0.6398809552192688, 'val_r2_target_0': -0.8390434980392456, 'val_rmse_target_1': 0.9509347081184387, 'val_mae_target_1': 0.7107558250427246, 'val_r2_target_1': -1.1957824230194092, 'val_rmse_target_2': 0.9104747772216797, 'val_mae_target_2': 0.6957858204841614, 'val_r2_target_2': -1.4756078720092773, 'val_rmse_target_3': 0.7735376954078674, 'val_mae_target_3': 0.572056233882904, 'val_r2_target_3': -0.4223734140396118, 'val_rmse_target_4': 0.883118748664856, 'val_mae_target_4': 0.6903285384178162, 'val_r2_target_4': -1.1349287033081055, 'val_rmse_target_5': 1.1193417310714722, 'val_mae_target_5': 0.906955897808075, 'val_r2_target_5': -34.15934371948242, 'val_rmse_target_6': 1.1083660125732422, 'val_mae_target_6': 0.7523341178894043, 'val_r2_target_6': -8.98098087310791, 'val_rmse_target_7': 1.0810632705688477, 'val_mae_target_7': 0.9118865132331848, 'val_r2_target_7': -3.9011902809143066}",COMPLETE
4,0.9176574519276619,2026-03-01 17:06:53.568929,2026-03-01 17:10:39.713751,0 days 00:03:46.144822,14,65,"{'val_rmse_mean': 0.9531736373901367, 'val_mae_mean': 0.7342214584350586, 'val_r2_mean': -12.795340538024902, 'val_rmse_target_0': 0.8522093892097473, 'val_mae_target_0': 0.6672654151916504, 'val_r2_target_0': -1.1410832405090332, 'val_rmse_target_1': 0.8874428868293762, 'val_mae_target_1': 0.663788914680481, 'val_r2_target_1': -1.3304073810577393, 'val_rmse_target_2': 0.9384263753890991, 'val_mae_target_2': 0.7568306922912598, 'val_r2_target_2': -2.0830037593841553, 'val_rmse_target_3': 0.8995275497436523, 'val_mae_target_3': 0.6910847425460815, 'val_r2_target_3': -3.4916653633117676, 'val_rmse_target_4': 0.8998583555221558, 'val_mae_target_4': 0.6977056264877319, 'val_r2_target_4': -4.117586135864258, 'val_rmse_target_5': 1.0975879430770874, 'val_mae_target_5': 0.8827029466629028, 'val_r2_target_5': -80.71720886230469, 'val_rmse_target_6': 1.1282845735549927, 'val_mae_target_6': 0.7926847338676453, 'val_r2_target_6': -7.755855560302734, 'val_rmse_target_7': 0.9220518469810486, 'val_mae_target_7': 0.7217088341712952, 'val_r2_target_7': -1.7259232997894287}",COMPLETE
5,0.9666259020566941,2026-03-01 17:10:39.783484,2026-03-01 17:13:35.820942,0 days 00:02:56.037458,8,70,"{'val_rmse_mean': 0.9788512587547302, 'val_mae_mean': 0.757986307144165, 'val_r2_mean': -13.912589073181152, 'val_rmse_target_0': 0.8589912056922913, 'val_mae_target_0': 0.6636501550674438, 'val_r2_target_0': -1.0223941802978516, 'val_rmse_target_1': 0.9220001697540283, 'val_mae_target_1': 0.691962480545044, 'val_r2_target_1': -1.536313533782959, 'val_rmse_target_2': 0.93508380651474, 'val_mae_target_2': 0.7650746703147888, 'val_r2_target_2': -1.910295009613037, 'val_rmse_target_3': 0.9981223940849304, 'val_mae_target_3': 0.7779112458229065, 'val_r2_target_3': -5.04694938659668, 'val_rmse_target_4': 1.0148193836212158, 'val_mae_target_4': 0.8091309070587158, 'val_r2_target_4': -8.021689414978027, 'val_rmse_target_5': 1.1092013120651245, 'val_mae_target_5': 0.8991134762763977, 'val_r2_target_5': -86.06444549560547, 'val_rmse_target_6': 1.1167727708816528, 'val_mae_target_6': 0.7911061644554138, 'val_r2_target_6': -6.132037162780762, 'val_rmse_target_7': 0.8758193850517273, 'val_mae_target_7': 0.6659412384033203, 'val_r2_target_7': -1.5665991306304932}",COMPLETE
6,0.8987095081806182,2026-03-01 17:13:35.891121,2026-03-01 17:16:58.037864,0 days 00:03:22.146743,13,45,"{'val_rmse_mean': 0.9428597688674927, 'val_mae_mean': 0.7308825254440308, 'val_r2_mean': -10.160542488098145, 'val_rmse_target_0': 0.841489315032959, 'val_mae_target_0': 0.6594723463058472, 'val_r2_target_0': -0.9545445442199707, 'val_rmse_target_1': 0.8771427869796753, 'val_mae_target_1': 0.6670957803726196, 'val_r2_target_1': -1.1793389320373535, 'val_rmse_target_2': 0.9084480404853821, 'val_mae_target_2': 0.7288951277732849, 'val_r2_target_2': -1.9209811687469482, 'val_rmse_target_3': 0.8607397079467773, 'val_mae_target_3': 0.6447612047195435, 'val_r2_target_3': -2.1288816928863525, 'val_rmse_target_4': 0.9115175604820251, 'val_mae_target_4': 0.7162445783615112, 'val_r2_target_4': -3.0840516090393066, 'val_rmse_target_5': 1.1016056537628174, 'val_mae_target_5': 0.8805704712867737, 'val_r2_target_5': -59.347618103027344, 'val_rmse_target_6': 1.1128729581832886, 'val_mae_target_6': 0.7709094285964966, 'val_r2_target_6': -8.815401077270508, 'val_rmse_target_7': 0.9290619492530823, 'val_mae_target_7': 0.7791112661361694, 'val_r2_target_7': -3.8535170555114746}",COMPLETE
7,0.9102432143688202,2026-03-01 17:16:58.107915,2026-03-01 17:19:10.173981,0 days 00:02:12.066066,5,50,"{'val_rmse_mean': 0.9496736526489258, 'val_mae_mean': 0.7336887121200562, 'val_r2_mean': -10.497356414794922, 'val_rmse_target_0': 0.8556562066078186, 'val_mae_target_0': 0.6704238653182983, 'val_r2_target_0': -1.1631810665130615, 'val_rmse_target_1': 0.8919927477836609, 'val_mae_target_1': 0.6668322682380676, 'val_r2_target_1': -1.827864408493042, 'val_rmse_target_2': 0.9331268072128296, 'val_mae_target_2': 0.7353359460830688, 'val_r2_target_2': -2.0197794437408447, 'val_rmse_target_3': 0.8965769410133362, 'val_mae_target_3': 0.7098645567893982, 'val_r2_target_3': -3.0618486404418945, 'val_rmse_target_4': 0.87871253490448, 'val_mae_target_4': 0.6952025890350342, 'val_r2_target_4': -4.076936721801758, 'val_rmse_target_5': 1.103732705116272, 'val_mae_target_5': 0.8804811835289001, 'val_r2_target_5': -59.11638641357422, 'val_rmse_target_6': 1.1004079580307007, 'val_mae_target_6': 0.7378758788108826, 'val_r2_target_6': -8.619938850402832, 'val_rmse_target_7': 0.9371830821037292, 'val_mae_target_7': 0.7734936475753784, 'val_r2_target_7': -4.092916488647461}",COMPLETE
8,0.8995239347219467,2026-03-01 17:19:10.242857,2026-03-01 17:22:02.539504,0 days 00:02:52.296647,12,25,"{'val_rmse_mean': 0.9410825371742249, 'val_mae_mean': 0.7191166877746582, 'val_r2_mean': -9.14096450805664, 'val_rmse_target_0': 0.8099827766418457, 'val_mae_target_0': 0.6221804618835449, 'val_r2_target_0': -0.6087440252304077, 'val_rmse_target_1': 0.9120410680770874, 'val_mae_target_1': 0.7008476853370667, 'val_r2_target_1': -1.082730770111084, 'val_rmse_target_2': 0.9034252762794495, 'val_mae_target_2': 0.6831105947494507, 'val_r2_target_2': -1.4234039783477783, 'val_rmse_target_3': 0.7865865230560303, 'val_mae_target_3': 0.5899251699447632, 'val_r2_target_3': -0.4969046115875244, 'val_rmse_target_4': 0.8668818473815918, 'val_mae_target_4': 0.6730833649635315, 'val_r2_target_4': -0.9751781225204468, 'val_rmse_target_5': 1.1052443981170654, 'val_mae_target_5': 0.9012030959129333, 'val_r2_target_5': -55.24030685424805, 'val_rmse_target_6': 1.093673586845398, 'val_mae_target_6': 0.7161898612976074, 'val_r2_target_6': -8.6138334274292, 'val_rmse_target_7': 1.0508249998092651, 'val_mae_target_7': 0.8663932085037231, 'val_r2_target_7': -4.686614990234375}",COMPLETE
9,0.930284113585949,2026-03-01 17:22:02.608096,2026-03-01 17:24:55.896352,0 days 00:02:53.288256,14,20,"{'val_rmse_mean': 0.9568341970443726, 'val_mae_mean': 0.7326794266700745, 'val_r2_mean': -6.4856953620910645, 'val_rmse_target_0': 0.852986752986908, 'val_mae_target_0': 0.6469690799713135, 'val_r2_target_0': -0.9063012599945068, 'val_rmse_target_1': 0.9482262134552002, 'val_mae_target_1': 0.7090386152267456, 'val_r2_target_1': -1.2004077434539795, 'val_rmse_target_2': 0.9081565141677856, 'val_mae_target_2': 0.6974275708198547, 'val_r2_target_2': -1.5597290992736816, 'val_rmse_target_3': 0.7706811428070068, 'val_mae_target_3': 0.570460319519043, 'val_r2_target_3': -0.41134607791900635, 'val_rmse_target_4': 0.8720008134841919, 'val_mae_target_4': 0.6782621741294861, 'val_r2_target_4': -1.0496349334716797, 'val_rmse_target_5': 1.119640827178955, 'val_mae_target_5': 0.9056634306907654, 'val_r2_target_5': -34.39280700683594, 'val_rmse_target_6': 1.100722074508667, 'val_mae_target_6': 0.743105411529541, 'val_r2_target_6': -8.329487800598145, 'val_rmse_target_7': 1.0822595357894897, 'val_mae_target_7': 0.9105088710784912, 'val_r2_target_7': -4.035853862762451}",COMPLETE
