number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_lstm,params_dropout_path,params_dropout_reg,params_lr,params_lstm_hidden_dim,params_lstm_layers,params_path_aggregation,params_path_dim,params_regressor_dim,params_weight_decay,user_attrs_val_metrics,state
0,0.3823055026155931,2026-01-30 19:57:50.604160,2026-01-30 19:58:19.230909,0 days 00:00:28.626749,16,False,0.27234816002246687,0.33792420714802485,0.3183613233917779,5.847116051405533e-05,16,2,static,8,256,1.0977686775555022e-05,"{'val_rmse_mean': 0.9960519671440125, 'val_mae_mean': 0.7243844270706177, 'val_r2_mean': -60.200538635253906, 'val_rmse_target_0': 0.9940632581710815, 'val_mae_target_0': 0.6373841762542725, 'val_r2_target_0': -68.42073822021484, 'val_rmse_target_1': 0.9910567402839661, 'val_mae_target_1': 0.6953800916671753, 'val_r2_target_1': -55.2147102355957, 'val_rmse_target_2': 0.9504944682121277, 'val_mae_target_2': 0.8234237432479858, 'val_r2_target_2': -45.397972106933594, 'val_rmse_target_3': 1.048593282699585, 'val_mae_target_3': 0.7413496971130371, 'val_r2_target_3': -71.76873779296875}",COMPLETE
1,0.35360866757454695,2026-01-30 19:58:19.327569,2026-01-30 19:58:52.474103,0 days 00:00:33.146534,16,False,0.17324474291812608,0.36879087881511274,0.3007785537726618,0.00024285752985217596,8,2,static,8,256,0.0004009089421377976,"{'val_rmse_mean': 0.9529060125350952, 'val_mae_mean': 0.692435085773468, 'val_r2_mean': -20.34859848022461, 'val_rmse_target_0': 1.0077592134475708, 'val_mae_target_0': 0.6421878933906555, 'val_r2_target_0': -31.780059814453125, 'val_rmse_target_1': 0.9831366539001465, 'val_mae_target_1': 0.691448450088501, 'val_r2_target_1': -11.811558723449707, 'val_rmse_target_2': 0.7536958456039429, 'val_mae_target_2': 0.6641349792480469, 'val_r2_target_2': -1.167618751525879, 'val_rmse_target_3': 1.0670322179794312, 'val_mae_target_3': 0.7719690799713135, 'val_r2_target_3': -36.635154724121094}",COMPLETE
2,0.3739883568206871,2026-01-30 19:58:52.571206,2026-01-30 19:59:26.056669,0 days 00:00:33.485463,16,False,0.17449551956293743,0.22536947378034788,0.2958318695158365,0.00010617205590664783,8,2,static,8,128,0.0019409340352411688,"{'val_rmse_mean': 0.9904658794403076, 'val_mae_mean': 0.7107676863670349, 'val_r2_mean': -73.307373046875, 'val_rmse_target_0': 1.006137728691101, 'val_mae_target_0': 0.636306881904602, 'val_r2_target_0': -109.3613510131836, 'val_rmse_target_1': 1.005194902420044, 'val_mae_target_1': 0.6953526139259338, 'val_r2_target_1': -67.72046661376953, 'val_rmse_target_2': 0.9175326824188232, 'val_mae_target_2': 0.7719569802284241, 'val_r2_target_2': -32.9445915222168, 'val_rmse_target_3': 1.0329982042312622, 'val_mae_target_3': 0.7394542098045349, 'val_r2_target_3': -83.20308685302734}",COMPLETE
3,0.3643638747571795,2026-01-30 19:59:26.153770,2026-01-30 20:00:01.287509,0 days 00:00:35.133739,16,False,0.2049949659222838,0.32338156071857804,0.37581947443374,0.0001009627303540943,32,2,static,8,128,0.00011963775044743685,"{'val_rmse_mean': 0.9718868732452393, 'val_mae_mean': 0.6996511220932007, 'val_r2_mean': -75.52389526367188, 'val_rmse_target_0': 0.9728476405143738, 'val_mae_target_0': 0.6260624527931213, 'val_r2_target_0': -119.20634460449219, 'val_rmse_target_1': 0.9688913822174072, 'val_mae_target_1': 0.6580296754837036, 'val_r2_target_1': -67.92707061767578, 'val_rmse_target_2': 0.93107670545578, 'val_mae_target_2': 0.7877078056335449, 'val_r2_target_2': -32.035491943359375, 'val_rmse_target_3': 1.0147316455841064, 'val_mae_target_3': 0.7268044352531433, 'val_r2_target_3': -82.92667388916016}",COMPLETE
4,0.3643169650049121,2026-01-30 20:00:01.384803,2026-01-30 20:00:34.304128,0 days 00:00:32.919325,16,False,0.28063271368761145,0.2257853610849772,0.30038649228235376,9.033804784645187e-05,16,2,static,16,256,0.0003895857664052625,"{'val_rmse_mean': 0.9763864874839783, 'val_mae_mean': 0.6894996166229248, 'val_r2_mean': -87.51780700683594, 'val_rmse_target_0': 0.9971243143081665, 'val_mae_target_0': 0.618018627166748, 'val_r2_target_0': -141.38755798339844, 'val_rmse_target_1': 0.9863184690475464, 'val_mae_target_1': 0.6699672341346741, 'val_r2_target_1': -56.1901969909668, 'val_rmse_target_2': 0.9054189324378967, 'val_mae_target_2': 0.7727072834968567, 'val_r2_target_2': -25.964948654174805, 'val_rmse_target_3': 1.0166842937469482, 'val_mae_target_3': 0.6973053812980652, 'val_r2_target_3': -126.52853393554688}",COMPLETE
5,0.35479937962911745,2026-01-30 20:00:34.400792,2026-01-30 20:01:08.807734,0 days 00:00:34.406942,16,False,0.19209406826838588,0.2290095384477358,0.2167595439304012,0.00036319153799694215,16,2,static,8,256,1.2142183578012382e-05,"{'val_rmse_mean': 0.9457213878631592, 'val_mae_mean': 0.6936081647872925, 'val_r2_mean': -12.201839447021484, 'val_rmse_target_0': 0.9996580481529236, 'val_mae_target_0': 0.6501237154006958, 'val_r2_target_0': -19.27425765991211, 'val_rmse_target_1': 0.9666028618812561, 'val_mae_target_1': 0.702698290348053, 'val_r2_target_1': -5.31898832321167, 'val_rmse_target_2': 0.7550121545791626, 'val_mae_target_2': 0.6523867249488831, 'val_r2_target_2': -0.39292681217193604, 'val_rmse_target_3': 1.0616124868392944, 'val_mae_target_3': 0.7692238092422485, 'val_r2_target_3': -23.821182250976562}",COMPLETE
6,0.3852467576593713,2026-01-30 20:01:08.904522,2026-01-30 20:01:44.050386,0 days 00:00:35.145864,16,False,0.26493526531517797,0.38089936779359246,0.32552274118205227,6.790962529325824e-05,32,2,static,16,128,0.0030732678785150053,"{'val_rmse_mean': 0.9987228512763977, 'val_mae_mean': 0.7201554775238037, 'val_r2_mean': -86.89580535888672, 'val_rmse_target_0': 1.0002527236938477, 'val_mae_target_0': 0.635338544845581, 'val_r2_target_0': -114.33717346191406, 'val_rmse_target_1': 0.9924110174179077, 'val_mae_target_1': 0.6896466612815857, 'val_r2_target_1': -61.49620819091797, 'val_rmse_target_2': 0.9565815329551697, 'val_mae_target_2': 0.8291820287704468, 'val_r2_target_2': -48.232887268066406, 'val_rmse_target_3': 1.0456461906433105, 'val_mae_target_3': 0.7264546751976013, 'val_r2_target_3': -123.51696014404297}",COMPLETE
7,0.3505327406304854,2026-01-30 20:01:44.146737,2026-01-30 20:02:18.736104,0 days 00:00:34.589367,16,False,0.2372332485650372,0.23361559463705972,0.36935240825483107,0.0002674032364612983,32,2,static,8,128,0.0036497821952573986,"{'val_rmse_mean': 0.9542254209518433, 'val_mae_mean': 0.6890118718147278, 'val_r2_mean': -30.035533905029297, 'val_rmse_target_0': 1.0094975233078003, 'val_mae_target_0': 0.6378858089447021, 'val_r2_target_0': -44.42609405517578, 'val_rmse_target_1': 0.9673967957496643, 'val_mae_target_1': 0.6663923859596252, 'val_r2_target_1': -20.38190269470215, 'val_rmse_target_2': 0.8020708560943604, 'val_mae_target_2': 0.7044467926025391, 'val_r2_target_2': -3.7703919410705566, 'val_rmse_target_3': 1.0379365682601929, 'val_mae_target_3': 0.7473226189613342, 'val_r2_target_3': -51.56373977661133}",COMPLETE
8,0.3730816781796791,2026-01-30 20:02:18.832356,2026-01-30 20:02:50.754156,0 days 00:00:31.921800,16,False,0.22622385614123194,0.3294147128871851,0.2539558758975272,6.0519600534658176e-05,8,2,static,16,256,0.0008307050472925489,"{'val_rmse_mean': 0.993569016456604, 'val_mae_mean': 0.7045518755912781, 'val_r2_mean': -87.65472412109375, 'val_rmse_target_0': 1.0067188739776611, 'val_mae_target_0': 0.6262309551239014, 'val_r2_target_0': -106.83705139160156, 'val_rmse_target_1': 1.0204163789749146, 'val_mae_target_1': 0.7107574939727783, 'val_r2_target_1': -87.79861450195312, 'val_rmse_target_2': 0.9294143915176392, 'val_mae_target_2': 0.7955217957496643, 'val_r2_target_2': -50.75197219848633, 'val_rmse_target_3': 1.0177264213562012, 'val_mae_target_3': 0.6856973171234131, 'val_r2_target_3': -105.2311782836914}",COMPLETE
9,0.3539782603857694,2026-01-30 20:02:50.850136,2026-01-30 20:03:26.691647,0 days 00:00:35.841511,16,False,0.13519698850435263,0.3059143356759999,0.38358493137412986,0.0003947742781398857,32,2,static,8,128,0.0042379093760497736,"{'val_rmse_mean': 0.9530750513076782, 'val_mae_mean': 0.6934459805488586, 'val_r2_mean': -23.556480407714844, 'val_rmse_target_0': 1.0110630989074707, 'val_mae_target_0': 0.654651939868927, 'val_r2_target_0': -38.06959533691406, 'val_rmse_target_1': 0.9817992448806763, 'val_mae_target_1': 0.688028872013092, 'val_r2_target_1': -15.219364166259766, 'val_rmse_target_2': 0.7624754309654236, 'val_mae_target_2': 0.674627423286438, 'val_r2_target_2': -1.5864982604980469, 'val_rmse_target_3': 1.0569623708724976, 'val_mae_target_3': 0.7564756870269775, 'val_r2_target_3': -39.350460052490234}",COMPLETE
