number,value,datetime_start,datetime_complete,duration,params_aggregation,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
0,0.39244791741172474,2026-01-31 06:22:23.729620,2026-01-31 06:22:59.253732,0 days 00:00:35.524112,mean,0.2718376124597818,32,0.0004680777110874098,0.0010231446146678979,"{'val_rmse_mean': 1.0035945177078247, 'val_mae_mean': 0.7367257475852966, 'val_r2_mean': -14.690768241882324, 'val_rmse_target_0': 0.9656630754470825, 'val_mae_target_0': 0.6139395236968994, 'val_r2_target_0': -10.48560905456543, 'val_rmse_target_1': 1.0298974514007568, 'val_mae_target_1': 0.7258239984512329, 'val_r2_target_1': -18.393970489501953, 'val_rmse_target_2': 0.973214864730835, 'val_mae_target_2': 0.8636072874069214, 'val_r2_target_2': -8.046968460083008, 'val_rmse_target_3': 1.0456029176712036, 'val_mae_target_3': 0.7435321807861328, 'val_r2_target_3': -21.836524963378906}",COMPLETE
1,0.4671318443423068,2026-01-31 06:22:59.387555,2026-01-31 06:23:37.212760,0 days 00:00:37.825205,attention,0.3755989452370409,128,0.003137330614868843,0.0042059441527243085,"{'val_rmse_mean': 1.0776774883270264, 'val_mae_mean': 0.8240988254547119, 'val_r2_mean': -2.9383950233459473, 'val_rmse_target_0': 1.0234631299972534, 'val_mae_target_0': 0.7351000905036926, 'val_r2_target_0': -2.1006996631622314, 'val_rmse_target_1': 1.0751020908355713, 'val_mae_target_1': 0.788185179233551, 'val_r2_target_1': -2.991105079650879, 'val_rmse_target_2': 1.1079519987106323, 'val_mae_target_2': 0.8914662599563599, 'val_r2_target_2': -1.542837142944336, 'val_rmse_target_3': 1.1041927337646484, 'val_mae_target_3': 0.8816436529159546, 'val_r2_target_3': -5.1189374923706055}",COMPLETE
2,0.4580834069185787,2026-01-31 06:23:37.345567,2026-01-31 06:24:12.699467,0 days 00:00:35.353900,attention,0.27216616732358856,32,0.002201135795528899,2.0339936030184056e-05,"{'val_rmse_mean': 1.082322120666504, 'val_mae_mean': 0.8126952052116394, 'val_r2_mean': -3.0959644317626953, 'val_rmse_target_0': 1.0037000179290771, 'val_mae_target_0': 0.6714245676994324, 'val_r2_target_0': -3.636350154876709, 'val_rmse_target_1': 1.1204315423965454, 'val_mae_target_1': 0.7828227281570435, 'val_r2_target_1': -3.1220040321350098, 'val_rmse_target_2': 1.030216097831726, 'val_mae_target_2': 0.8568617701530457, 'val_r2_target_2': -1.9684972763061523, 'val_rmse_target_3': 1.1749403476715088, 'val_mae_target_3': 0.9396717548370361, 'val_r2_target_3': -3.657005786895752}",COMPLETE
3,0.42314521347483,2026-01-31 06:24:12.833565,2026-01-31 06:24:45.322233,0 days 00:00:32.488668,attention,0.351505276283867,32,0.0010395177171484628,0.0001924127549003243,"{'val_rmse_mean': 1.0349969863891602, 'val_mae_mean': 0.7696776986122131, 'val_r2_mean': -4.210267066955566, 'val_rmse_target_0': 0.9809529185295105, 'val_mae_target_0': 0.6394676566123962, 'val_r2_target_0': -3.890580654144287, 'val_rmse_target_1': 1.0629050731658936, 'val_mae_target_1': 0.7395199537277222, 'val_r2_target_1': -3.9469919204711914, 'val_rmse_target_2': 1.0210589170455933, 'val_mae_target_2': 0.8548492193222046, 'val_r2_target_2': -2.890685558319092, 'val_rmse_target_3': 1.0750707387924194, 'val_mae_target_3': 0.8448740839958191, 'val_r2_target_3': -6.112809181213379}",COMPLETE
4,0.3863122209354683,2026-01-31 06:24:45.456064,2026-01-31 06:25:18.632016,0 days 00:00:33.175952,mean,0.39113647544199426,32,0.00046413082222978495,0.00039710996752631366,"{'val_rmse_mean': 0.9965989589691162, 'val_mae_mean': 0.7316340804100037, 'val_r2_mean': -15.396197319030762, 'val_rmse_target_0': 0.9733878374099731, 'val_mae_target_0': 0.6266197562217712, 'val_r2_target_0': -14.465714454650879, 'val_rmse_target_1': 1.0066111087799072, 'val_mae_target_1': 0.6965187191963196, 'val_r2_target_1': -13.019304275512695, 'val_rmse_target_2': 0.9656412601470947, 'val_mae_target_2': 0.8461986184120178, 'val_r2_target_2': -13.201775550842285, 'val_rmse_target_3': 1.0407556295394897, 'val_mae_target_3': 0.757199227809906, 'val_r2_target_3': -20.89799690246582}",COMPLETE
5,0.38337534790237743,2026-01-31 06:25:18.764412,2026-01-31 06:25:53.359188,0 days 00:00:34.594776,attention,0.3379945501396183,64,0.00038237985675382345,3.6624439895934566e-05,"{'val_rmse_mean': 0.973829984664917, 'val_mae_mean': 0.7281652688980103, 'val_r2_mean': -7.912522315979004, 'val_rmse_target_0': 0.884489893913269, 'val_mae_target_0': 0.5534510016441345, 'val_r2_target_0': -6.01043176651001, 'val_rmse_target_1': 0.960857629776001, 'val_mae_target_1': 0.7104478478431702, 'val_r2_target_1': -7.378225326538086, 'val_rmse_target_2': 0.9667372703552246, 'val_mae_target_2': 0.8571326732635498, 'val_r2_target_2': -4.595457077026367, 'val_rmse_target_3': 1.0832351446151733, 'val_mae_target_3': 0.7916296720504761, 'val_r2_target_3': -13.665970802307129}",COMPLETE
6,0.4815918963264536,2026-01-31 06:25:53.493591,2026-01-31 06:26:29.786486,0 days 00:00:36.292895,attention,0.08280590981557556,128,0.0014408441574984832,0.0006714966975878299,"{'val_rmse_mean': 1.1045827865600586, 'val_mae_mean': 0.8404635190963745, 'val_r2_mean': -2.5933167934417725, 'val_rmse_target_0': 1.0074739456176758, 'val_mae_target_0': 0.703498899936676, 'val_r2_target_0': -1.577815294265747, 'val_rmse_target_1': 1.0745011568069458, 'val_mae_target_1': 0.7427757382392883, 'val_r2_target_1': -2.4983553886413574, 'val_rmse_target_2': 1.1568286418914795, 'val_mae_target_2': 0.9587619304656982, 'val_r2_target_2': -1.1071059703826904, 'val_rmse_target_3': 1.1795274019241333, 'val_mae_target_3': 0.9568176865577698, 'val_r2_target_3': -5.189990043640137}",COMPLETE
7,0.446557970855523,2026-01-31 06:26:29.919368,2026-01-31 06:26:59.945223,0 days 00:00:30.025855,mean,0.3750600407632714,64,0.002487060716030278,0.0001243863685762498,"{'val_rmse_mean': 1.0575392246246338, 'val_mae_mean': 0.7997452020645142, 'val_r2_mean': -2.2716481685638428, 'val_rmse_target_0': 0.9952595233917236, 'val_mae_target_0': 0.6523831486701965, 'val_r2_target_0': -1.9656505584716797, 'val_rmse_target_1': 1.142910361289978, 'val_mae_target_1': 0.7920532822608948, 'val_r2_target_1': -3.102802276611328, 'val_rmse_target_2': 1.013504981994629, 'val_mae_target_2': 0.8296324610710144, 'val_r2_target_2': -1.3923568725585938, 'val_rmse_target_3': 1.0784822702407837, 'val_mae_target_3': 0.9249119758605957, 'val_r2_target_3': -2.6257822513580322}",COMPLETE
8,0.48557787388563156,2026-01-31 06:27:00.077467,2026-01-31 06:27:33.419804,0 days 00:00:33.342337,mean,0.015919817701976858,128,0.0007620696264771479,0.00010307580845209528,"{'val_rmse_mean': 1.1117043495178223, 'val_mae_mean': 0.8450665473937988, 'val_r2_mean': -2.103637218475342, 'val_rmse_target_0': 1.0635069608688354, 'val_mae_target_0': 0.7457098960876465, 'val_r2_target_0': -1.7857422828674316, 'val_rmse_target_1': 1.202720284461975, 'val_mae_target_1': 0.8256217241287231, 'val_r2_target_1': -2.527819871902466, 'val_rmse_target_2': 1.0554909706115723, 'val_mae_target_2': 0.8644812107086182, 'val_r2_target_2': -1.076007604598999, 'val_rmse_target_3': 1.1250991821289062, 'val_mae_target_3': 0.9444531798362732, 'val_r2_target_3': -3.024980068206787}",COMPLETE
9,0.38036604901706733,2026-01-31 06:27:33.552010,2026-01-31 06:28:03.549826,0 days 00:00:29.997816,mean,0.2526006730674859,64,0.00010130387205696,2.206100809713788e-05,"{'val_rmse_mean': 0.9880936741828918, 'val_mae_mean': 0.7260340452194214, 'val_r2_mean': -81.51988983154297, 'val_rmse_target_0': 0.9716521501541138, 'val_mae_target_0': 0.6193640232086182, 'val_r2_target_0': -62.73023986816406, 'val_rmse_target_1': 1.0082244873046875, 'val_mae_target_1': 0.7243930697441101, 'val_r2_target_1': -107.77344512939453, 'val_rmse_target_2': 0.9591900706291199, 'val_mae_target_2': 0.8478184342384338, 'val_r2_target_2': -40.1495361328125, 'val_rmse_target_3': 1.013308048248291, 'val_mae_target_3': 0.7125605940818787, 'val_r2_target_3': -115.42633056640625}",COMPLETE
