number,value,datetime_start,datetime_complete,duration,params_aggregation,params_alpha,params_l1_ratio,params_lr,user_attrs_val_metrics,state
0,0.3798200625374361,2026-01-31 10:27:13.866390,2026-01-31 10:27:51.073295,0 days 00:00:37.206905,mean,0.12662574758331566,0.2385173820836818,0.00041017567845853966,"{'val_rmse_mean': 0.9513399600982666, 'val_mae_mean': 0.7390445470809937, 'val_r2_mean': -8.151679992675781, 'val_rmse_target_0': 0.891246497631073, 'val_mae_target_0': 0.6611261963844299, 'val_r2_target_0': -2.951035499572754, 'val_rmse_target_1': 0.9260904788970947, 'val_mae_target_1': 0.7214992046356201, 'val_r2_target_1': -4.990617752075195, 'val_rmse_target_2': 0.9390811324119568, 'val_mae_target_2': 0.807404100894928, 'val_r2_target_2': -8.885528564453125, 'val_rmse_target_3': 1.0489414930343628, 'val_mae_target_3': 0.7661486864089966, 'val_r2_target_3': -15.779537200927734}",COMPLETE
1,0.38260205614346043,2026-01-31 10:27:51.214767,2026-01-31 10:28:31.339615,0 days 00:00:40.124848,attention,0.016702311106344358,0.12117710258633006,0.0002816043387361756,"{'val_rmse_mean': 0.9671486616134644, 'val_mae_mean': 0.7377040386199951, 'val_r2_mean': -10.640340805053711, 'val_rmse_target_0': 0.9364598393440247, 'val_mae_target_0': 0.675815999507904, 'val_r2_target_0': -8.461260795593262, 'val_rmse_target_1': 0.9075766801834106, 'val_mae_target_1': 0.6864871382713318, 'val_r2_target_1': -8.597922325134277, 'val_rmse_target_2': 0.9404606819152832, 'val_mae_target_2': 0.8161248564720154, 'val_r2_target_2': -11.628942489624023, 'val_rmse_target_3': 1.0840975046157837, 'val_mae_target_3': 0.772388219833374, 'val_r2_target_3': -13.873234748840332}",COMPLETE
2,0.4437892163793246,2026-01-31 10:28:31.480844,2026-01-31 10:29:11.705931,0 days 00:00:40.225087,attention,0.09114417110442606,0.36979102006568265,0.0009721123868274023,"{'val_rmse_mean': 1.0594627857208252, 'val_mae_mean': 0.8004041910171509, 'val_r2_mean': -3.177527666091919, 'val_rmse_target_0': 1.0741578340530396, 'val_mae_target_0': 0.7781708240509033, 'val_r2_target_0': -3.0980606079101562, 'val_rmse_target_1': 0.9621833562850952, 'val_mae_target_1': 0.6408653855323792, 'val_r2_target_1': -2.8737807273864746, 'val_rmse_target_2': 1.0474828481674194, 'val_mae_target_2': 0.905178427696228, 'val_r2_target_2': -2.358316421508789, 'val_rmse_target_3': 1.1540268659591675, 'val_mae_target_3': 0.8774021863937378, 'val_r2_target_3': -4.379951477050781}",COMPLETE
3,0.4019560208199201,2026-01-31 10:29:11.848793,2026-01-31 10:29:48.169942,0 days 00:00:36.321149,mean,0.00019799503283486077,0.3413121445471422,0.00031455150775075517,"{'val_rmse_mean': 0.9900190234184265, 'val_mae_mean': 0.7585139274597168, 'val_r2_mean': -10.745914459228516, 'val_rmse_target_0': 0.92507404088974, 'val_mae_target_0': 0.6388179659843445, 'val_r2_target_0': -6.8459906578063965, 'val_rmse_target_1': 0.8938981890678406, 'val_mae_target_1': 0.6835851073265076, 'val_r2_target_1': -6.784099578857422, 'val_rmse_target_2': 1.039050817489624, 'val_mae_target_2': 0.9082381129264832, 'val_r2_target_2': -9.064035415649414, 'val_rmse_target_3': 1.102052927017212, 'val_mae_target_3': 0.8034145832061768, 'val_r2_target_3': -20.289533615112305}",COMPLETE
4,0.3891208925180965,2026-01-31 10:29:48.311356,2026-01-31 10:30:28.162940,0 days 00:00:39.851584,attention,0.8421530092830546,0.362381870446032,0.0005486457140536937,"{'val_rmse_mean': 0.9707872271537781, 'val_mae_mean': 0.7334155440330505, 'val_r2_mean': -4.779153347015381, 'val_rmse_target_0': 0.8021848797798157, 'val_mae_target_0': 0.5858668088912964, 'val_r2_target_0': -3.330960273742676, 'val_rmse_target_1': 0.9546114802360535, 'val_mae_target_1': 0.6815318465232849, 'val_r2_target_1': -3.9270706176757812, 'val_rmse_target_2': 0.9840580224990845, 'val_mae_target_2': 0.8441501259803772, 'val_r2_target_2': -2.6743249893188477, 'val_rmse_target_3': 1.1422946453094482, 'val_mae_target_3': 0.8221134543418884, 'val_r2_target_3': -9.184256553649902}",COMPLETE
5,0.4995673086356234,2026-01-31 10:30:28.303909,2026-01-31 10:31:06.315788,0 days 00:00:38.011879,mean,0.005345194342835608,0.2736093320496593,0.002957277008787808,"{'val_rmse_mean': 1.1067140102386475, 'val_mae_mean': 0.8883434534072876, 'val_r2_mean': -1.1999878883361816, 'val_rmse_target_0': 1.088139533996582, 'val_mae_target_0': 0.887152373790741, 'val_r2_target_0': -0.9200179576873779, 'val_rmse_target_1': 0.9962413311004639, 'val_mae_target_1': 0.7040382623672485, 'val_r2_target_1': -0.9103527069091797, 'val_rmse_target_2': 1.1615748405456543, 'val_mae_target_2': 0.9650185108184814, 'val_r2_target_2': -1.049516201019287, 'val_rmse_target_3': 1.1809002161026, 'val_mae_target_3': 0.9971646070480347, 'val_r2_target_3': -1.9200646877288818}",COMPLETE
6,0.5180594634126734,2026-01-31 10:31:06.458587,2026-01-31 10:31:47.242088,0 days 00:00:40.783501,attention,0.00013913252315610506,0.6585620635486942,0.004041795090242085,"{'val_rmse_mean': 1.106634497642517, 'val_mae_mean': 0.9153375625610352, 'val_r2_mean': -0.5190038681030273, 'val_rmse_target_0': 1.1138039827346802, 'val_mae_target_0': 0.8870135545730591, 'val_r2_target_0': -0.5620795488357544, 'val_rmse_target_1': 0.9547098875045776, 'val_mae_target_1': 0.81205815076828, 'val_r2_target_1': -0.16075897216796875, 'val_rmse_target_2': 1.1344659328460693, 'val_mae_target_2': 0.9647021889686584, 'val_r2_target_2': -0.44859063625335693, 'val_rmse_target_3': 1.2235580682754517, 'val_mae_target_3': 0.9975765347480774, 'val_r2_target_3': -0.9045859575271606}",COMPLETE
7,0.4461221253430402,2026-01-31 10:31:47.383734,2026-01-31 10:32:29.301812,0 days 00:00:41.918078,attention,0.003189342226843699,0.2252180416432097,0.0010224251688367386,"{'val_rmse_mean': 1.0466256141662598, 'val_mae_mean': 0.8175055384635925, 'val_r2_mean': -3.288201332092285, 'val_rmse_target_0': 1.0562025308609009, 'val_mae_target_0': 0.832119882106781, 'val_r2_target_0': -1.3191101551055908, 'val_rmse_target_1': 0.9550012350082397, 'val_mae_target_1': 0.6826761960983276, 'val_r2_target_1': -3.337337017059326, 'val_rmse_target_2': 1.0713342428207397, 'val_mae_target_2': 0.9149964451789856, 'val_r2_target_2': -2.4322144985198975, 'val_rmse_target_3': 1.1039645671844482, 'val_mae_target_3': 0.8402296900749207, 'val_r2_target_3': -6.064145088195801}",COMPLETE
8,0.37395823953880203,2026-01-31 10:32:29.444222,2026-01-31 10:33:07.125994,0 days 00:00:37.681772,mean,0.0005740038510274584,0.40420984567714213,0.00046014927315396015,"{'val_rmse_mean': 0.9559475183486938, 'val_mae_mean': 0.7208791971206665, 'val_r2_mean': -7.404397964477539, 'val_rmse_target_0': 0.9181912541389465, 'val_mae_target_0': 0.6392974257469177, 'val_r2_target_0': -4.581738471984863, 'val_rmse_target_1': 0.9178162217140198, 'val_mae_target_1': 0.6895287036895752, 'val_r2_target_1': -5.06563663482666, 'val_rmse_target_2': 0.9155644178390503, 'val_mae_target_2': 0.7887389659881592, 'val_r2_target_2': -4.464963912963867, 'val_rmse_target_3': 1.0722181797027588, 'val_mae_target_3': 0.7659516334533691, 'val_r2_target_3': -15.505252838134766}",COMPLETE
9,0.47879166473393087,2026-01-31 10:33:07.268873,2026-01-31 10:33:45.092231,0 days 00:00:37.823358,attention,0.571863917660622,0.19286163809620638,0.0009024403541141923,"{'val_rmse_mean': 1.0858259201049805, 'val_mae_mean': 0.8496580719947815, 'val_r2_mean': -2.4486446380615234, 'val_rmse_target_0': 1.1206185817718506, 'val_mae_target_0': 0.829370379447937, 'val_r2_target_0': -1.7446026802062988, 'val_rmse_target_1': 0.9604730010032654, 'val_mae_target_1': 0.6869986653327942, 'val_r2_target_1': -2.2734782695770264, 'val_rmse_target_2': 1.0750921964645386, 'val_mae_target_2': 0.9272816181182861, 'val_r2_target_2': -1.6697685718536377, 'val_rmse_target_3': 1.187119722366333, 'val_mae_target_3': 0.9549816250801086, 'val_r2_target_3': -4.106728553771973}",COMPLETE
10,0.40313865216793837,2026-01-31 10:33:45.234738,2026-01-31 10:34:21.795689,0 days 00:00:36.560951,mean,0.0008524504522127943,0.8974999532977717,0.00010438626667084932,"{'val_rmse_mean': 0.9969932436943054, 'val_mae_mean': 0.7707420587539673, 'val_r2_mean': -14.481639862060547, 'val_rmse_target_0': 0.9142552614212036, 'val_mae_target_0': 0.6126880645751953, 'val_r2_target_0': -11.348434448242188, 'val_rmse_target_1': 0.9388222098350525, 'val_mae_target_1': 0.7575076222419739, 'val_r2_target_1': -15.007469177246094, 'val_rmse_target_2': 1.063773512840271, 'val_mae_target_2': 0.9438461661338806, 'val_r2_target_2': -13.009891510009766, 'val_rmse_target_3': 1.0711219310760498, 'val_mae_target_3': 0.7689265012741089, 'val_r2_target_3': -18.560762405395508}",COMPLETE
11,0.41038884822693134,2026-01-31 10:34:21.936739,2026-01-31 10:34:59.544564,0 days 00:00:37.607825,mean,0.08439537392889147,0.5688601831512273,0.00021518259072831627,"{'val_rmse_mean': 1.00969398021698, 'val_mae_mean': 0.7773095369338989, 'val_r2_mean': -12.537629127502441, 'val_rmse_target_0': 0.9287775754928589, 'val_mae_target_0': 0.6780772805213928, 'val_r2_target_0': -5.218878746032715, 'val_rmse_target_1': 0.98923259973526, 'val_mae_target_1': 0.734138011932373, 'val_r2_target_1': -15.84402084350586, 'val_rmse_target_2': 1.063092589378357, 'val_mae_target_2': 0.9277259111404419, 'val_r2_target_2': -12.45654582977295, 'val_rmse_target_3': 1.0576728582382202, 'val_mae_target_3': 0.7692971229553223, 'val_r2_target_3': -16.631065368652344}",COMPLETE
12,0.3896802274717225,2026-01-31 10:34:59.685624,2026-01-31 10:35:36.677028,0 days 00:00:36.991404,mean,0.04138648946354258,0.48009268609044575,0.0004893979205099695,"{'val_rmse_mean': 0.9616967439651489, 'val_mae_mean': 0.7441515326499939, 'val_r2_mean': -5.758864402770996, 'val_rmse_target_0': 0.8970373868942261, 'val_mae_target_0': 0.6309982538223267, 'val_r2_target_0': -3.4232864379882812, 'val_rmse_target_1': 0.8459607362747192, 'val_mae_target_1': 0.6427773237228394, 'val_r2_target_1': -3.519418716430664, 'val_rmse_target_2': 0.9875355958938599, 'val_mae_target_2': 0.876867949962616, 'val_r2_target_2': -6.108855247497559, 'val_rmse_target_3': 1.11625337600708, 'val_mae_target_3': 0.8259625434875488, 'val_r2_target_3': -9.98389720916748}",COMPLETE
