number,value,datetime_start,datetime_complete,duration,params_aggregation,params_lr,params_weight_decay,user_attrs_val_metrics,state
0,0.49483733348272463,2026-01-31 11:16:13.732563,2026-01-31 11:16:56.287356,0 days 00:00:42.554793,attention,0.002503790493141632,1.6021899078938582e-06,"{'val_rmse_mean': 1.1075718402862549, 'val_mae_mean': 0.8905333280563354, 'val_r2_mean': -1.3636592626571655, 'val_rmse_target_0': 1.1271512508392334, 'val_mae_target_0': 0.8340164422988892, 'val_r2_target_0': -2.2344884872436523, 'val_rmse_target_1': 1.0100539922714233, 'val_mae_target_1': 0.7842209339141846, 'val_r2_target_1': -0.6144707202911377, 'val_rmse_target_2': 1.1148748397827148, 'val_mae_target_2': 0.9604512453079224, 'val_r2_target_2': -0.596826434135437, 'val_rmse_target_3': 1.1782071590423584, 'val_mae_target_3': 0.9834445714950562, 'val_r2_target_3': -2.008852481842041}",COMPLETE
1,0.517817136866075,2026-01-31 11:16:56.432224,2026-01-31 11:17:37.383784,0 days 00:00:40.951560,attention,0.0024123988420237923,2.5786609222195195e-06,"{'val_rmse_mean': 1.1434762477874756, 'val_mae_mean': 0.8944500088691711, 'val_r2_mean': -0.9849469661712646, 'val_rmse_target_0': 1.140608549118042, 'val_mae_target_0': 0.807940661907196, 'val_r2_target_0': -0.8409361839294434, 'val_rmse_target_1': 0.9933469891548157, 'val_mae_target_1': 0.7725494503974915, 'val_r2_target_1': -0.11615228652954102, 'val_rmse_target_2': 1.0977718830108643, 'val_mae_target_2': 0.9464901089668274, 'val_r2_target_2': -0.9937258958816528, 'val_rmse_target_3': 1.3421778678894043, 'val_mae_target_3': 1.0508198738098145, 'val_r2_target_3': -1.9889733791351318}",COMPLETE
2,0.37030962675257967,2026-01-31 11:17:37.527129,2026-01-31 11:18:15.222984,0 days 00:00:37.695855,mean,0.0002715172475392413,9.793400264389604e-05,"{'val_rmse_mean': 0.9424365758895874, 'val_mae_mean': 0.7019343972206116, 'val_r2_mean': -10.755681037902832, 'val_rmse_target_0': 0.9168834090232849, 'val_mae_target_0': 0.6212573051452637, 'val_r2_target_0': -8.767823219299316, 'val_rmse_target_1': 0.8208441734313965, 'val_mae_target_1': 0.5771648287773132, 'val_r2_target_1': -3.5339794158935547, 'val_rmse_target_2': 1.012267827987671, 'val_mae_target_2': 0.8857998847961426, 'val_r2_target_2': -15.219985961914062, 'val_rmse_target_3': 1.019750952720642, 'val_mae_target_3': 0.7235155701637268, 'val_r2_target_3': -15.500936508178711}",COMPLETE
3,0.423319929037933,2026-01-31 11:18:15.366109,2026-01-31 11:18:57.306575,0 days 00:00:41.940466,attention,0.0006956172002056086,8.287685884758657e-06,"{'val_rmse_mean': 1.0263679027557373, 'val_mae_mean': 0.7800658941268921, 'val_r2_mean': -2.4680495262145996, 'val_rmse_target_0': 1.029586672782898, 'val_mae_target_0': 0.7344561815261841, 'val_r2_target_0': -1.422123908996582, 'val_rmse_target_1': 0.8916297554969788, 'val_mae_target_1': 0.6396744251251221, 'val_r2_target_1': -2.340475559234619, 'val_rmse_target_2': 0.9746707677841187, 'val_mae_target_2': 0.7948226928710938, 'val_r2_target_2': -1.3501222133636475, 'val_rmse_target_3': 1.2095844745635986, 'val_mae_target_3': 0.9513102173805237, 'val_r2_target_3': -4.759476661682129}",COMPLETE
4,0.4106281757423723,2026-01-31 11:18:57.449302,2026-01-31 11:19:35.750649,0 days 00:00:38.301347,mean,0.0007189688621654838,4.013801381574011e-06,"{'val_rmse_mean': 1.0008102655410767, 'val_mae_mean': 0.7622465491294861, 'val_r2_mean': -4.726414680480957, 'val_rmse_target_0': 0.9661346077919006, 'val_mae_target_0': 0.7083503007888794, 'val_r2_target_0': -2.2802700996398926, 'val_rmse_target_1': 0.9585150480270386, 'val_mae_target_1': 0.6810795068740845, 'val_r2_target_1': -4.2108964920043945, 'val_rmse_target_2': 1.0253825187683105, 'val_mae_target_2': 0.8696556687355042, 'val_r2_target_2': -4.103427886962891, 'val_rmse_target_3': 1.053208827972412, 'val_mae_target_3': 0.7899007201194763, 'val_r2_target_3': -8.311066627502441}",COMPLETE
5,0.3984091389510367,2026-01-31 11:19:35.896049,2026-01-31 11:20:15.076552,0 days 00:00:39.180503,attention,0.0004160847859347955,1.1076910188770779e-05,"{'val_rmse_mean': 0.9767636060714722, 'val_mae_mean': 0.7304731011390686, 'val_r2_mean': -5.18019962310791, 'val_rmse_target_0': 0.8630890250205994, 'val_mae_target_0': 0.6173155903816223, 'val_r2_target_0': -3.1392979621887207, 'val_rmse_target_1': 0.8854168653488159, 'val_mae_target_1': 0.6249836087226868, 'val_r2_target_1': -2.5072555541992188, 'val_rmse_target_2': 1.064275860786438, 'val_mae_target_2': 0.9041732549667358, 'val_r2_target_2': -3.41162109375, 'val_rmse_target_3': 1.0942727327346802, 'val_mae_target_3': 0.7754198908805847, 'val_r2_target_3': -11.66262149810791}",COMPLETE
6,0.5157442666866161,2026-01-31 11:20:15.221076,2026-01-31 11:20:52.080894,0 days 00:00:36.859818,mean,0.005256331689502006,0.00029566716143639984,"{'val_rmse_mean': 1.1198890209197998, 'val_mae_mean': 0.8888322114944458, 'val_r2_mean': -0.9245091676712036, 'val_rmse_target_0': 1.1455078125, 'val_mae_target_0': 0.9191097021102905, 'val_r2_target_0': -1.0409677028656006, 'val_rmse_target_1': 0.9022417068481445, 'val_mae_target_1': 0.6668105125427246, 'val_r2_target_1': -0.40878522396087646, 'val_rmse_target_2': 1.2186485528945923, 'val_mae_target_2': 0.9452624917030334, 'val_r2_target_2': -0.761360764503479, 'val_rmse_target_3': 1.2131582498550415, 'val_mae_target_3': 1.0241461992263794, 'val_r2_target_3': -1.4869225025177002}",COMPLETE
7,0.3927295256268095,2026-01-31 11:20:52.224181,2026-01-31 11:21:32.960931,0 days 00:00:40.736750,attention,0.0005300566084825208,0.0011256563227996122,"{'val_rmse_mean': 0.982239842414856, 'val_mae_mean': 0.7381670475006104, 'val_r2_mean': -4.536540985107422, 'val_rmse_target_0': 0.9328562021255493, 'val_mae_target_0': 0.6339947581291199, 'val_r2_target_0': -2.5161750316619873, 'val_rmse_target_1': 1.0272444486618042, 'val_mae_target_1': 0.736889123916626, 'val_r2_target_1': -4.71382474899292, 'val_rmse_target_2': 0.8995564579963684, 'val_mae_target_2': 0.7562053799629211, 'val_r2_target_2': -4.045024394989014, 'val_rmse_target_3': 1.0693023204803467, 'val_mae_target_3': 0.8255788087844849, 'val_r2_target_3': -6.871138572692871}",COMPLETE
8,0.5125828479175214,2026-01-31 11:21:33.105376,2026-01-31 11:22:10.465439,0 days 00:00:37.360063,mean,0.0036322141301903294,5.899718697259731e-05,"{'val_rmse_mean': 1.1233835220336914, 'val_mae_mean': 0.9070392847061157, 'val_r2_mean': -1.158392071723938, 'val_rmse_target_0': 1.1248128414154053, 'val_mae_target_0': 0.9164955615997314, 'val_r2_target_0': -1.0910687446594238, 'val_rmse_target_1': 1.00606107711792, 'val_mae_target_1': 0.7427212595939636, 'val_r2_target_1': -0.8835093975067139, 'val_rmse_target_2': 1.1478440761566162, 'val_mae_target_2': 0.9317067265510559, 'val_r2_target_2': -0.9144295454025269, 'val_rmse_target_3': 1.2148160934448242, 'val_mae_target_3': 1.0372337102890015, 'val_r2_target_3': -1.744560718536377}",COMPLETE
9,0.44011617203553516,2026-01-31 11:22:10.610805,2026-01-31 11:22:51.841650,0 days 00:00:41.230845,attention,0.0005978232422795017,2.9959311469840715e-06,"{'val_rmse_mean': 1.0580207109451294, 'val_mae_mean': 0.7933026552200317, 'val_r2_mean': -4.074767589569092, 'val_rmse_target_0': 1.0394024848937988, 'val_mae_target_0': 0.7577912211418152, 'val_r2_target_0': -2.1509737968444824, 'val_rmse_target_1': 1.0408587455749512, 'val_mae_target_1': 0.7137368321418762, 'val_r2_target_1': -4.676753520965576, 'val_rmse_target_2': 0.9409798979759216, 'val_mae_target_2': 0.823807954788208, 'val_r2_target_2': -3.4954347610473633, 'val_rmse_target_3': 1.2108416557312012, 'val_mae_target_3': 0.8778747320175171, 'val_r2_target_3': -5.975912094116211}",COMPLETE
10,0.38903184110919636,2026-01-31 11:22:51.984158,2026-01-31 11:23:29.480367,0 days 00:00:37.496209,mean,0.00010088003238987802,0.002412700984640341,"{'val_rmse_mean': 0.9904933571815491, 'val_mae_mean': 0.7460454702377319, 'val_r2_mean': -16.2803955078125, 'val_rmse_target_0': 0.9785244464874268, 'val_mae_target_0': 0.6575724482536316, 'val_r2_target_0': -9.75250244140625, 'val_rmse_target_1': 0.9842787384986877, 'val_mae_target_1': 0.747299075126648, 'val_r2_target_1': -15.463205337524414, 'val_rmse_target_2': 0.965864360332489, 'val_mae_target_2': 0.843346118927002, 'val_r2_target_2': -13.419862747192383, 'val_rmse_target_3': 1.0333058834075928, 'val_mae_target_3': 0.7359641790390015, 'val_r2_target_3': -26.486003875732422}",COMPLETE
11,0.3788806055155065,2026-01-31 11:23:29.624175,2026-01-31 11:24:05.621279,0 days 00:00:35.997104,mean,0.00010334079838480974,0.0062396870991378,"{'val_rmse_mean': 0.9712003469467163, 'val_mae_mean': 0.7287309765815735, 'val_r2_mean': -13.527813911437988, 'val_rmse_target_0': 0.9424984455108643, 'val_mae_target_0': 0.6761717200279236, 'val_r2_target_0': -11.175039291381836, 'val_rmse_target_1': 0.9979073405265808, 'val_mae_target_1': 0.7112921476364136, 'val_r2_target_1': -12.838309288024902, 'val_rmse_target_2': 0.9273201823234558, 'val_mae_target_2': 0.7942555546760559, 'val_r2_target_2': -9.57393741607666, 'val_rmse_target_3': 1.0170754194259644, 'val_mae_target_3': 0.7332046031951904, 'val_r2_target_3': -20.523971557617188}",COMPLETE
12,0.42962689232081175,2026-01-31 11:24:05.765301,2026-01-31 11:24:42.601968,0 days 00:00:36.836667,mean,0.00010133117881070849,7.282994036417827e-05,"{'val_rmse_mean': 1.0438017845153809, 'val_mae_mean': 0.7817627191543579, 'val_r2_mean': -15.51437759399414, 'val_rmse_target_0': 1.0921648740768433, 'val_mae_target_0': 0.7482428550720215, 'val_r2_target_0': -16.100141525268555, 'val_rmse_target_1': 0.9800455570220947, 'val_mae_target_1': 0.723060667514801, 'val_r2_target_1': -16.970687866210938, 'val_rmse_target_2': 1.0235649347305298, 'val_mae_target_2': 0.8677462935447693, 'val_r2_target_2': -18.15192985534668, 'val_rmse_target_3': 1.0794320106506348, 'val_mae_target_3': 0.7880011796951294, 'val_r2_target_3': -10.834741592407227}",COMPLETE
13,0.38759730356159033,2026-01-31 11:24:42.746141,2026-01-31 11:25:20.221369,0 days 00:00:37.475228,mean,0.00022840418188767566,0.006286913719403045,"{'val_rmse_mean': 0.9813789129257202, 'val_mae_mean': 0.7377322912216187, 'val_r2_mean': -13.01550579071045, 'val_rmse_target_0': 0.9405317902565002, 'val_mae_target_0': 0.6307520866394043, 'val_r2_target_0': -8.318553924560547, 'val_rmse_target_1': 0.9327656030654907, 'val_mae_target_1': 0.7245081663131714, 'val_r2_target_1': -10.259963989257812, 'val_rmse_target_2': 1.0016509294509888, 'val_mae_target_2': 0.8664047718048096, 'val_r2_target_2': -10.917299270629883, 'val_rmse_target_3': 1.0505670309066772, 'val_mae_target_3': 0.7292641997337341, 'val_r2_target_3': -22.566200256347656}",COMPLETE
