number,value,datetime_start,datetime_complete,duration,params_aggregation,params_depth,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
0,0.4091579711271657,2026-01-31 12:58:29.633393,2026-01-31 12:59:15.418453,0 days 00:00:45.785060,mean,3,0.16595073806796906,64,0.0005519598150516444,0.004696943177508015,"{'val_rmse_mean': 0.9985625743865967, 'val_mae_mean': 0.7561380863189697, 'val_r2_mean': -2.036775827407837, 'val_rmse_target_0': 1.0752748250961304, 'val_mae_target_0': 0.7561342716217041, 'val_r2_target_0': -1.4913136959075928, 'val_rmse_target_1': 0.94670170545578, 'val_mae_target_1': 0.6265367865562439, 'val_r2_target_1': -2.016204595565796, 'val_rmse_target_2': 0.9152317643165588, 'val_mae_target_2': 0.7952008247375488, 'val_r2_target_2': -1.371142864227295, 'val_rmse_target_3': 1.057042121887207, 'val_mae_target_3': 0.8466804623603821, 'val_r2_target_3': -3.2684426307678223}",COMPLETE
1,0.3982925604063052,2026-01-31 12:59:15.566790,2026-01-31 12:59:58.066442,0 days 00:00:42.499652,mean,2,0.3336140240693434,64,0.0007098203100823166,5.4003441218159255e-05,"{'val_rmse_mean': 0.9840463399887085, 'val_mae_mean': 0.7504028081893921, 'val_r2_mean': -3.2254533767700195, 'val_rmse_target_0': 1.0443042516708374, 'val_mae_target_0': 0.7453396916389465, 'val_r2_target_0': -1.9506616592407227, 'val_rmse_target_1': 0.9590668082237244, 'val_mae_target_1': 0.6800599098205566, 'val_r2_target_1': -2.8277602195739746, 'val_rmse_target_2': 0.9182272553443909, 'val_mae_target_2': 0.8065175414085388, 'val_r2_target_2': -1.9631011486053467, 'val_rmse_target_3': 1.0145870447158813, 'val_mae_target_3': 0.7696940302848816, 'val_r2_target_3': -6.160289764404297}",COMPLETE
2,0.37301346839026167,2026-01-31 12:59:58.215898,2026-01-31 13:00:39.858642,0 days 00:00:41.642744,mean,1,0.4222727449200549,64,0.00022158946504269707,2.9034189513198005e-05,"{'val_rmse_mean': 0.9682812690734863, 'val_mae_mean': 0.7131881713867188, 'val_r2_mean': -26.000320434570312, 'val_rmse_target_0': 0.9555091857910156, 'val_mae_target_0': 0.6409117579460144, 'val_r2_target_0': -10.849071502685547, 'val_rmse_target_1': 0.936592161655426, 'val_mae_target_1': 0.656536877155304, 'val_r2_target_1': -18.325763702392578, 'val_rmse_target_2': 0.9570238590240479, 'val_mae_target_2': 0.8412562608718872, 'val_r2_target_2': -17.959964752197266, 'val_rmse_target_3': 1.0239999294281006, 'val_mae_target_3': 0.7140480279922485, 'val_r2_target_3': -56.866477966308594}",COMPLETE
3,0.37082165093333636,2026-01-31 13:00:40.008291,2026-01-31 13:01:22.276581,0 days 00:00:42.268290,attention,1,0.29180394890023886,32,0.00026410345699504864,0.0015177618798279937,"{'val_rmse_mean': 0.9643846750259399, 'val_mae_mean': 0.7108363509178162, 'val_r2_mean': -15.509490013122559, 'val_rmse_target_0': 0.8945161700248718, 'val_mae_target_0': 0.6057935357093811, 'val_r2_target_0': -10.643206596374512, 'val_rmse_target_1': 0.9466843605041504, 'val_mae_target_1': 0.6606143712997437, 'val_r2_target_1': -11.58414077758789, 'val_rmse_target_2': 0.9749578237533569, 'val_mae_target_2': 0.8472300171852112, 'val_r2_target_2': -8.309027671813965, 'val_rmse_target_3': 1.0413802862167358, 'val_mae_target_3': 0.7297074198722839, 'val_r2_target_3': -31.50157928466797}",COMPLETE
4,0.40163406660711326,2026-01-31 13:01:22.425547,2026-01-31 13:02:05.442745,0 days 00:00:43.017198,mean,3,0.3345583148398821,128,0.0004136688993988011,1.4815037060913328e-05,"{'val_rmse_mean': 0.9962817430496216, 'val_mae_mean': 0.7555946707725525, 'val_r2_mean': -2.2476718425750732, 'val_rmse_target_0': 1.0679371356964111, 'val_mae_target_0': 0.7733950018882751, 'val_r2_target_0': -1.6766750812530518, 'val_rmse_target_1': 0.9906484484672546, 'val_mae_target_1': 0.6651949286460876, 'val_r2_target_1': -2.2886576652526855, 'val_rmse_target_2': 0.8887163400650024, 'val_mae_target_2': 0.7690499424934387, 'val_r2_target_2': -1.017291784286499, 'val_rmse_target_3': 1.0378252267837524, 'val_mae_target_3': 0.8147386908531189, 'val_r2_target_3': -4.008062362670898}",COMPLETE
5,0.3855592858184267,2026-01-31 13:02:05.590800,2026-01-31 13:02:45.817574,0 days 00:00:40.226774,mean,2,0.0862539661906504,32,0.00019683142899461835,0.003377149591043749,"{'val_rmse_mean': 0.9952384829521179, 'val_mae_mean': 0.7261184453964233, 'val_r2_mean': -47.998531341552734, 'val_rmse_target_0': 0.9593351483345032, 'val_mae_target_0': 0.617451548576355, 'val_r2_target_0': -27.313100814819336, 'val_rmse_target_1': 0.9820326566696167, 'val_mae_target_1': 0.6922561526298523, 'val_r2_target_1': -48.89747619628906, 'val_rmse_target_2': 1.0461422204971313, 'val_mae_target_2': 0.9063408374786377, 'val_r2_target_2': -37.29062271118164, 'val_rmse_target_3': 0.9934437274932861, 'val_mae_target_3': 0.6884254217147827, 'val_r2_target_3': -78.49292755126953}",COMPLETE
6,0.39207898328701657,2026-01-31 13:02:45.967149,2026-01-31 13:03:31.308450,0 days 00:00:45.341301,mean,3,0.4867527860907506,64,0.002847529316078768,0.0003243253145408754,"{'val_rmse_mean': 0.9940484762191772, 'val_mae_mean': 0.7311710715293884, 'val_r2_mean': -4.833085536956787, 'val_rmse_target_0': 1.0503569841384888, 'val_mae_target_0': 0.7073141932487488, 'val_r2_target_0': -4.3960700035095215, 'val_rmse_target_1': 0.9944483041763306, 'val_mae_target_1': 0.6412119269371033, 'val_r2_target_1': -6.18211555480957, 'val_rmse_target_2': 0.9308204650878906, 'val_mae_target_2': 0.8087655305862427, 'val_r2_target_2': -2.0090835094451904, 'val_rmse_target_3': 1.0005680322647095, 'val_mae_target_3': 0.7673926949501038, 'val_r2_target_3': -6.745072364807129}",COMPLETE
7,0.38300701285953875,2026-01-31 13:03:31.474439,2026-01-31 13:04:12.215811,0 days 00:00:40.741372,mean,2,0.2689472438150364,32,0.0002897133595631868,2.0679139057310652e-05,"{'val_rmse_mean': 0.9944683313369751, 'val_mae_mean': 0.7154074907302856, 'val_r2_mean': -39.87291717529297, 'val_rmse_target_0': 0.9927377700805664, 'val_mae_target_0': 0.6086846590042114, 'val_r2_target_0': -23.022336959838867, 'val_rmse_target_1': 0.937946081161499, 'val_mae_target_1': 0.625857949256897, 'val_r2_target_1': -36.32524108886719, 'val_rmse_target_2': 0.9866562485694885, 'val_mae_target_2': 0.8682907819747925, 'val_r2_target_2': -24.44386863708496, 'val_rmse_target_3': 1.0605331659317017, 'val_mae_target_3': 0.7587965726852417, 'val_r2_target_3': -75.70024871826172}",COMPLETE
8,0.3882871649607464,2026-01-31 13:04:12.363810,2026-01-31 13:04:54.775388,0 days 00:00:42.411578,mean,3,0.45651283162118694,64,0.0005642497271150092,0.0006762039137299496,"{'val_rmse_mean': 0.9865648150444031, 'val_mae_mean': 0.7274704575538635, 'val_r2_mean': -5.479145526885986, 'val_rmse_target_0': 0.9980512857437134, 'val_mae_target_0': 0.6715315580368042, 'val_r2_target_0': -5.747341632843018, 'val_rmse_target_1': 0.9896330237388611, 'val_mae_target_1': 0.6584346890449524, 'val_r2_target_1': -3.7199296951293945, 'val_rmse_target_2': 0.9234277606010437, 'val_mae_target_2': 0.8103722333908081, 'val_r2_target_2': -2.798227071762085, 'val_rmse_target_3': 1.0351471900939941, 'val_mae_target_3': 0.7695434093475342, 'val_r2_target_3': -9.651081085205078}",COMPLETE
9,0.40112598212780776,2026-01-31 13:04:54.924081,2026-01-31 13:05:38.412437,0 days 00:00:43.488356,mean,3,0.3332833833554792,128,0.0003184778781288274,0.008751383767427689,"{'val_rmse_mean': 0.9859533309936523, 'val_mae_mean': 0.7541936635971069, 'val_r2_mean': -2.4227957725524902, 'val_rmse_target_0': 1.065789818763733, 'val_mae_target_0': 0.8004963397979736, 'val_r2_target_0': -1.769789457321167, 'val_rmse_target_1': 0.9706430435180664, 'val_mae_target_1': 0.6871167421340942, 'val_r2_target_1': -2.5263068675994873, 'val_rmse_target_2': 0.8620185256004333, 'val_mae_target_2': 0.7172739505767822, 'val_r2_target_2': -1.1294562816619873, 'val_rmse_target_3': 1.045361876487732, 'val_mae_target_3': 0.8118877410888672, 'val_r2_target_3': -4.265629768371582}",COMPLETE
