Folder,Model Class,Target,Config Type,Augmentation Ratio,RMSE,R2,Baseline RMSE
20260130_154231_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Balance Test,Reduced (4 Targets),0,1.2239352464675903,0.006189525127410889,1.2285293340682983
20260130_154231_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Single Leg Stance,Reduced (4 Targets),0,1.0775389671325684,0.13933336734771729,1.1623812913894653
20260130_154231_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Hand Grip Right,Reduced (4 Targets),0,0.7823778986930847,0.45623576641082764,1.06099271774292
20260130_154231_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Throwing Beanbag at Target,Reduced (4 Targets),0,1.0854421854019165,0.014190852642059326,1.0933698415756226
20260130_155816_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Balance Test,Reduced (4 Targets),0,1.219862699508667,0.012792229652404785,1.2285293340682983
20260130_155816_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Single Leg Stance,Reduced (4 Targets),0,1.0694024562835693,0.15228205919265747,1.1623812913894653
20260130_155816_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Hand Grip Right,Reduced (4 Targets),0,0.7696266174316406,0.47381603717803955,1.06099271774292
20260130_155816_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Throwing Beanbag at Target,Reduced (4 Targets),0,1.1051994562149048,-0.02202296257019043,1.0933698415756226
20260130_161642_ElasticNetModel,ElasticNetModel,Balance Test,Reduced (4 Targets),0,1.1754608154296875,0.08335119485855103,1.2285293340682983
20260130_161642_ElasticNetModel,ElasticNetModel,Single Leg Stance,Reduced (4 Targets),0,1.1459300518035889,0.026613831520080566,1.1623812913894653
20260130_161642_ElasticNetModel,ElasticNetModel,Hand Grip Right,Reduced (4 Targets),0,0.9953568577766418,0.11989367008209229,1.06099271774292
20260130_161642_ElasticNetModel,ElasticNetModel,Throwing Beanbag at Target,Reduced (4 Targets),0,1.1405093669891357,-0.0883711576461792,1.0933698415756226
20260130_162804_LinearRegressionModel,LinearRegressionModel,Balance Test,Reduced (4 Targets),0,1.1093902587890625,0.18350142240524292,1.2285293340682983
20260130_162804_LinearRegressionModel,LinearRegressionModel,Single Leg Stance,Reduced (4 Targets),0,1.0845824480056763,0.12804484367370605,1.1623812913894653
20260130_162804_LinearRegressionModel,LinearRegressionModel,Hand Grip Right,Reduced (4 Targets),0,0.9161385297775269,0.2544105052947998,1.06099271774292
