number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_lstm,params_dropout_path,params_dropout_reg,params_lr,params_lstm_hidden_dim,params_lstm_layers,params_path_aggregation,params_path_dim,params_regressor_dim,params_weight_decay,user_attrs_val_metrics,state
0,0.36169145842669187,2026-01-29 13:56:14.318189,2026-01-29 13:57:09.178870,0 days 00:00:54.860681,16,False,0.13174097979722463,0.18738442283171308,0.27165718212316325,0.00018624994615720316,32,2,mean,32,256,1.2634915055499445e-05,"{'val_rmse_mean': 0.9546092748641968, 'val_mae_mean': 0.7147963047027588, 'val_r2_mean': -10.067425727844238, 'val_rmse_target_0': 0.9916226863861084, 'val_mae_target_0': 0.638159990310669, 'val_r2_target_0': -11.449823379516602, 'val_rmse_target_1': 0.9785172343254089, 'val_mae_target_1': 0.7101464867591858, 'val_r2_target_1': -7.761899948120117, 'val_rmse_target_2': 0.7905312180519104, 'val_mae_target_2': 0.7090815305709839, 'val_r2_target_2': -1.066929817199707, 'val_rmse_target_3': 1.0577659606933594, 'val_mae_target_3': 0.8017973899841309, 'val_r2_target_3': -19.991050720214844}",COMPLETE
1,0.3533965248476576,2026-01-29 13:57:09.253454,2026-01-29 13:58:02.820633,0 days 00:00:53.567179,16,True,0.24050456086052702,0.1162587522766714,0.33960699974948994,0.00020723529574746398,8,3,static,8,128,0.00019169949378888802,"{'val_rmse_mean': 0.953951358795166, 'val_mae_mean': 0.6962844133377075, 'val_r2_mean': -29.6883544921875, 'val_rmse_target_0': 0.9992995858192444, 'val_mae_target_0': 0.6359221935272217, 'val_r2_target_0': -46.441322326660156, 'val_rmse_target_1': 0.9725657105445862, 'val_mae_target_1': 0.6816722750663757, 'val_r2_target_1': -15.227991104125977, 'val_rmse_target_2': 0.7977866530418396, 'val_mae_target_2': 0.7180543541908264, 'val_r2_target_2': -3.1324386596679688, 'val_rmse_target_3': 1.0461534261703491, 'val_mae_target_3': 0.7494889497756958, 'val_r2_target_3': -53.95167541503906}",COMPLETE
2,0.36086696455324135,2026-01-29 13:58:02.895530,2026-01-29 13:58:49.205911,0 days 00:00:46.310381,16,False,0.07521723688312257,0.27625226266443825,0.29933537285148115,0.0001626573073758722,32,1,attention,32,512,9.085527404562872e-05,"{'val_rmse_mean': 0.9504719972610474, 'val_mae_mean': 0.7148147821426392, 'val_r2_mean': -9.031929016113281, 'val_rmse_target_0': 0.984330952167511, 'val_mae_target_0': 0.6586326360702515, 'val_r2_target_0': -11.980416297912598, 'val_rmse_target_1': 0.9941530823707581, 'val_mae_target_1': 0.7321031093597412, 'val_r2_target_1': -7.348862648010254, 'val_rmse_target_2': 0.7495296597480774, 'val_mae_target_2': 0.6625108122825623, 'val_r2_target_2': -0.3417022228240967, 'val_rmse_target_3': 1.0738742351531982, 'val_mae_target_3': 0.806012749671936, 'val_r2_target_3': -16.45673179626465}",COMPLETE
3,0.3581233861407748,2026-01-29 13:58:49.280456,2026-01-29 13:59:49.438133,0 days 00:01:00.157677,16,False,0.10709419051534289,0.3029456603227768,0.28241743307850165,8.590141701195568e-05,32,2,attention,32,512,0.0001608565482200325,"{'val_rmse_mean': 0.9612522125244141, 'val_mae_mean': 0.6995091438293457, 'val_r2_mean': -27.70030975341797, 'val_rmse_target_0': 0.9912383556365967, 'val_mae_target_0': 0.635683536529541, 'val_r2_target_0': -51.219024658203125, 'val_rmse_target_1': 0.9845877885818481, 'val_mae_target_1': 0.6823634505271912, 'val_r2_target_1': -14.95853328704834, 'val_rmse_target_2': 0.8070464730262756, 'val_mae_target_2': 0.7162330150604248, 'val_r2_target_2': -2.5844714641571045, 'val_rmse_target_3': 1.062136173248291, 'val_mae_target_3': 0.763756513595581, 'val_r2_target_3': -42.03922653198242}",COMPLETE
4,0.35694318057762253,2026-01-29 13:59:49.512768,2026-01-29 14:00:57.905537,0 days 00:01:08.392769,16,False,0.24504470360879105,0.10906360160529277,0.14495993339240018,0.00012742606490595969,32,3,attention,16,256,0.00029109346383666686,"{'val_rmse_mean': 0.9572562575340271, 'val_mae_mean': 0.709762454032898, 'val_r2_mean': -21.05928611755371, 'val_rmse_target_0': 1.0057870149612427, 'val_mae_target_0': 0.6609453558921814, 'val_r2_target_0': -36.47084045410156, 'val_rmse_target_1': 0.9778496026992798, 'val_mae_target_1': 0.6927780508995056, 'val_r2_target_1': -12.407187461853027, 'val_rmse_target_2': 0.7708197832107544, 'val_mae_target_2': 0.6945487260818481, 'val_r2_target_2': -1.9373493194580078, 'val_rmse_target_3': 1.074568510055542, 'val_mae_target_3': 0.7907776832580566, 'val_r2_target_3': -33.421775817871094}",COMPLETE
5,0.400979067026465,2026-01-29 14:00:57.981450,2026-01-29 14:01:46.619255,0 days 00:00:48.637805,16,True,0.22622453707416865,0.2552770004332929,0.25392564482625557,0.0004310981640654014,32,1,static,32,128,1.4340359670750485e-05,"{'val_rmse_mean': 0.9859246015548706, 'val_mae_mean': 0.747346043586731, 'val_r2_mean': -3.3938870429992676, 'val_rmse_target_0': 0.9042581915855408, 'val_mae_target_0': 0.6123937964439392, 'val_r2_target_0': -2.889721393585205, 'val_rmse_target_1': 1.0160502195358276, 'val_mae_target_1': 0.7648661136627197, 'val_r2_target_1': -2.4440102577209473, 'val_rmse_target_2': 0.8325144648551941, 'val_mae_target_2': 0.700537919998169, 'val_r2_target_2': -0.15665006637573242, 'val_rmse_target_3': 1.19087553024292, 'val_mae_target_3': 0.911586344242096, 'val_r2_target_3': -8.085165977478027}",COMPLETE
6,0.35870927461871394,2026-01-29 14:01:46.694986,2026-01-29 14:02:44.707330,0 days 00:00:58.012344,16,True,0.1535665421736961,0.10048329072565224,0.17442251683334076,6.792382916935466e-05,16,2,attention,16,256,5.66876376234508e-05,"{'val_rmse_mean': 0.9664497971534729, 'val_mae_mean': 0.6976493000984192, 'val_r2_mean': -46.97740936279297, 'val_rmse_target_0': 1.0111393928527832, 'val_mae_target_0': 0.6353268623352051, 'val_r2_target_0': -58.31324768066406, 'val_rmse_target_1': 0.9743142127990723, 'val_mae_target_1': 0.6810465455055237, 'val_r2_target_1': -31.36172866821289, 'val_rmse_target_2': 0.8555753231048584, 'val_mae_target_2': 0.7351424694061279, 'val_r2_target_2': -11.446380615234375, 'val_rmse_target_3': 1.0247702598571777, 'val_mae_target_3': 0.7390814423561096, 'val_r2_target_3': -86.78826141357422}",COMPLETE
7,0.37813851678812943,2026-01-29 14:02:44.782176,2026-01-29 14:03:40.773648,0 days 00:00:55.991472,16,True,0.24867660005804226,0.12391242040206918,0.3028378471839958,8.063338425958173e-05,32,2,static,16,64,0.0005522194961325262,"{'val_rmse_mean': 0.994946300983429, 'val_mae_mean': 0.7099629044532776, 'val_r2_mean': -109.42681884765625, 'val_rmse_target_0': 1.0067806243896484, 'val_mae_target_0': 0.6312519311904907, 'val_r2_target_0': -213.9070587158203, 'val_rmse_target_1': 0.9788404703140259, 'val_mae_target_1': 0.6689643859863281, 'val_r2_target_1': -70.25183868408203, 'val_rmse_target_2': 0.9455357193946838, 'val_mae_target_2': 0.8157786726951599, 'val_r2_target_2': -54.091552734375, 'val_rmse_target_3': 1.048628330230713, 'val_mae_target_3': 0.7238567471504211, 'val_r2_target_3': -99.45683288574219}",COMPLETE
8,0.3704163968149159,2026-01-29 14:03:40.848919,2026-01-29 14:04:39.223501,0 days 00:00:58.374582,16,True,0.021984437397221945,0.14487764936500383,0.2655537654974576,5.5694804571712774e-05,8,3,attention,16,128,5.2412890704372006e-05,"{'val_rmse_mean': 0.9872968196868896, 'val_mae_mean': 0.7044473886489868, 'val_r2_mean': -136.29049682617188, 'val_rmse_target_0': 0.9992659091949463, 'val_mae_target_0': 0.6404269337654114, 'val_r2_target_0': -284.15863037109375, 'val_rmse_target_1': 0.9968793392181396, 'val_mae_target_1': 0.6780753135681152, 'val_r2_target_1': -81.45709228515625, 'val_rmse_target_2': 0.932614803314209, 'val_mae_target_2': 0.7904607057571411, 'val_r2_target_2': -40.14449691772461, 'val_rmse_target_3': 1.0204271078109741, 'val_mae_target_3': 0.70882648229599, 'val_r2_target_3': -139.40179443359375}",COMPLETE
9,0.36857456934672816,2026-01-29 14:04:39.298168,2026-01-29 14:05:26.036607,0 days 00:00:46.738439,16,True,0.1298642249663278,0.26165238507460525,0.23514175765265433,0.0002491392920637364,32,1,mean,16,64,0.00011840542816408274,"{'val_rmse_mean': 0.9794433116912842, 'val_mae_mean': 0.7130959033966064, 'val_r2_mean': -28.82046890258789, 'val_rmse_target_0': 0.9970905184745789, 'val_mae_target_0': 0.6546662449836731, 'val_r2_target_0': -30.093097686767578, 'val_rmse_target_1': 1.0151095390319824, 'val_mae_target_1': 0.6963281035423279, 'val_r2_target_1': -29.051733016967773, 'val_rmse_target_2': 0.8489475250244141, 'val_mae_target_2': 0.7454431056976318, 'val_r2_target_2': -4.717832088470459, 'val_rmse_target_3': 1.0566256046295166, 'val_mae_target_3': 0.7559462785720825, 'val_r2_target_3': -51.41923141479492}",COMPLETE
