number,value,datetime_start,datetime_complete,duration,params_aggregation,params_depth,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
0,0.21762419916275474,2026-02-03 01:17:22.062002,2026-02-03 01:17:50.004731,0 days 00:00:27.942729,attention,1,0.2968056128542039,64,0.003807087317500802,0.00014566624321647278,"{'val_rmse_mean': 0.6987794041633606, 'val_mae_mean': 0.5225608348846436, 'val_r2_mean': 0.2154000997543335, 'val_rmse_target_0': 0.6987794041633606, 'val_mae_target_0': 0.5225608348846436, 'val_r2_target_0': 0.2154000997543335}",COMPLETE
1,0.2715788489871624,2026-02-03 01:17:50.127778,2026-02-03 01:18:18.520395,0 days 00:00:28.392617,mean,1,0.19235657214110502,128,0.0001716947350655579,2.5865051832272382e-05,"{'val_rmse_mean': 0.7696331143379211, 'val_mae_mean': 0.6189714074134827, 'val_r2_mean': -0.8689943552017212, 'val_rmse_target_0': 0.7696331143379211, 'val_mae_target_0': 0.6189714074134827, 'val_r2_target_0': -0.8689943552017212}",COMPLETE
2,0.2430672761628456,2026-02-03 01:18:18.641923,2026-02-03 01:18:47.305067,0 days 00:00:28.663144,mean,1,0.46608424813230315,64,0.0002763019543822106,0.0009038284786615921,"{'val_rmse_mean': 0.7177103161811829, 'val_mae_mean': 0.5787779092788696, 'val_r2_mean': -0.792080283164978, 'val_rmse_target_0': 0.7177103161811829, 'val_mae_target_0': 0.5787779092788696, 'val_r2_target_0': -0.792080283164978}",COMPLETE
3,0.27011842879518455,2026-02-03 01:18:47.426106,2026-02-03 01:19:20.806039,0 days 00:00:33.379933,attention,2,0.028970925970744077,32,0.0005051850543699366,0.0003715508504968509,"{'val_rmse_mean': 0.8033000826835632, 'val_mae_mean': 0.6030798554420471, 'val_r2_mean': -0.13824832439422607, 'val_rmse_target_0': 0.8033000826835632, 'val_mae_target_0': 0.6030798554420471, 'val_r2_target_0': -0.13824832439422607}",COMPLETE
4,0.23281278607545472,2026-02-03 01:19:20.928408,2026-02-03 01:19:50.003393,0 days 00:00:29.074985,mean,2,0.45669628620333214,64,0.00038887391168237686,0.0001616354875799594,"{'val_rmse_mean': 0.7131524085998535, 'val_mae_mean': 0.5487072467803955, 'val_r2_mean': -0.3743302822113037, 'val_rmse_target_0': 0.7131524085998535, 'val_mae_target_0': 0.5487072467803955, 'val_r2_target_0': -0.3743302822113037}",COMPLETE
5,0.3361175877938944,2026-02-03 01:19:50.125126,2026-02-03 01:20:21.588758,0 days 00:00:31.463632,mean,2,0.07404689309089346,64,0.00011070010926197415,0.0003790424567927346,"{'val_rmse_mean': 0.8592433333396912, 'val_mae_mean': 0.704507052898407, 'val_r2_mean': -8.691303253173828, 'val_rmse_target_0': 0.8592433333396912, 'val_mae_target_0': 0.704507052898407, 'val_r2_target_0': -8.691303253173828}",COMPLETE
6,0.2100540266579224,2026-02-03 01:20:21.710125,2026-02-03 01:20:52.390564,0 days 00:00:30.680439,mean,2,0.20161491762029765,128,0.002238499094606418,0.00018877760175377485,"{'val_rmse_mean': 0.6864391565322876, 'val_mae_mean': 0.5127542018890381, 'val_r2_mean': 0.2482815980911255, 'val_rmse_target_0': 0.6864391565322876, 'val_mae_target_0': 0.5127542018890381, 'val_r2_target_0': 0.2482815980911255}",COMPLETE
7,0.24855413917059735,2026-02-03 01:20:52.512336,2026-02-03 01:21:24.690664,0 days 00:00:32.178328,attention,2,0.4167709601459024,64,0.0017386878932366563,2.7072794339885214e-05,"{'val_rmse_mean': 0.7429533004760742, 'val_mae_mean': 0.5776451826095581, 'val_r2_mean': 0.08954727649688721, 'val_rmse_target_0': 0.7429533004760742, 'val_mae_target_0': 0.5776451826095581, 'val_r2_target_0': 0.08954727649688721}",COMPLETE
8,0.24648261882140543,2026-02-03 01:21:24.812694,2026-02-03 01:21:58.412937,0 days 00:00:33.600243,attention,3,0.33475857174851625,128,0.0003742147871302609,0.0017575181278708905,"{'val_rmse_mean': 0.7304205298423767, 'val_mae_mean': 0.5853167176246643, 'val_r2_mean': 0.0115012526512146, 'val_rmse_target_0': 0.7304205298423767, 'val_mae_target_0': 0.5853167176246643, 'val_r2_target_0': 0.0115012526512146}",COMPLETE
9,0.2316649509507611,2026-02-03 01:21:58.534118,2026-02-03 01:22:27.761508,0 days 00:00:29.227390,mean,2,0.07734772965852138,32,0.0016238090073442462,0.0007684679603451106,"{'val_rmse_mean': 0.7209869623184204, 'val_mae_mean': 0.564850926399231, 'val_r2_mean': 0.16041338443756104, 'val_rmse_target_0': 0.7209869623184204, 'val_mae_target_0': 0.564850926399231, 'val_r2_target_0': 0.16041338443756104}",COMPLETE
10,0.23392128202249296,2026-02-03 01:22:27.885401,2026-02-03 01:22:55.955791,0 days 00:00:28.070390,mean,3,0.18158277899522002,128,0.0011533106877176663,0.006117531226451981,"{'val_rmse_mean': 0.7309553623199463, 'val_mae_mean': 0.5550515651702881, 'val_r2_mean': 0.16263854503631592, 'val_rmse_target_0': 0.7309553623199463, 'val_mae_target_0': 0.5550515651702881, 'val_r2_target_0': 0.16263854503631592}",COMPLETE
11,0.2067568572583022,2026-02-03 01:22:56.078668,2026-02-03 01:23:24.205433,0 days 00:00:28.126765,attention,1,0.3029596798883588,128,0.003944716132623208,9.496984816444688e-05,"{'val_rmse_mean': 0.663742184638977, 'val_mae_mean': 0.5330144166946411, 'val_r2_mean': 0.3020901083946228, 'val_rmse_target_0': 0.663742184638977, 'val_mae_target_0': 0.5330144166946411, 'val_r2_target_0': 0.3020901083946228}",COMPLETE
12,0.23276518910036734,2026-02-03 01:23:24.327509,2026-02-03 01:23:55.491130,0 days 00:00:31.163621,attention,1,0.19834029701528494,128,0.004437007268116118,7.461001685165857e-05,"{'val_rmse_mean': 0.7162548899650574, 'val_mae_mean': 0.5562613010406494, 'val_r2_mean': 0.3129703402519226, 'val_rmse_target_0': 0.7162548899650574, 'val_mae_target_0': 0.5562613010406494, 'val_r2_target_0': 0.3129703402519226}",COMPLETE
13,0.2323825933433707,2026-02-03 01:23:55.611668,2026-02-03 01:24:29.575505,0 days 00:00:33.963837,attention,3,0.3467138384441725,128,0.0023577607464415544,6.443808285064057e-05,"{'val_rmse_mean': 0.7321804165840149, 'val_mae_mean': 0.5514147877693176, 'val_r2_mean': 0.09447598457336426, 'val_rmse_target_0': 0.7321804165840149, 'val_mae_target_0': 0.5514147877693176, 'val_r2_target_0': 0.09447598457336426}",COMPLETE
14,0.23850677812825544,2026-02-03 01:24:29.697120,2026-02-03 01:24:58.558942,0 days 00:00:28.861822,mean,1,0.2540099969764334,128,0.0010111677692123118,1.06863656241627e-05,"{'val_rmse_mean': 0.7313007116317749, 'val_mae_mean': 0.5600454807281494, 'val_r2_mean': 0.10944432020187378, 'val_rmse_target_0': 0.7313007116317749, 'val_mae_target_0': 0.5600454807281494, 'val_r2_target_0': 0.10944432020187378}",COMPLETE
15,0.2388936987888344,2026-02-03 01:24:58.681459,2026-02-03 01:25:28.672550,0 days 00:00:29.991091,attention,2,0.13627548876026097,128,0.002977032406492585,0.0001356537135392113,"{'val_rmse_mean': 0.7215809226036072, 'val_mae_mean': 0.563662052154541, 'val_r2_mean': 0.0966450572013855, 'val_rmse_target_0': 0.7215809226036072, 'val_mae_target_0': 0.563662052154541, 'val_r2_target_0': 0.0966450572013855}",COMPLETE
16,0.2345429136098742,2026-02-03 01:25:28.794272,2026-02-03 01:25:56.582214,0 days 00:00:27.787942,mean,1,0.3858935979568435,32,0.0008047579495757606,4.0772080268336596e-05,"{'val_rmse_mean': 0.7236793637275696, 'val_mae_mean': 0.5611538290977478, 'val_r2_mean': -0.18750417232513428, 'val_rmse_target_0': 0.7236793637275696, 'val_mae_target_0': 0.5611538290977478, 'val_r2_target_0': -0.18750417232513428}",COMPLETE
17,0.20280462732598944,2026-02-03 01:25:56.703693,2026-02-03 01:26:31.890611,0 days 00:00:35.186918,attention,3,0.27089147889518916,128,0.002156262658566833,1.1042842431962138e-05,"{'val_rmse_mean': 0.6666690111160278, 'val_mae_mean': 0.513334333896637, 'val_r2_mean': 0.29557669162750244, 'val_rmse_target_0': 0.6666690111160278, 'val_mae_target_0': 0.513334333896637, 'val_r2_target_0': 0.29557669162750244}",COMPLETE
