number,value,datetime_start,datetime_complete,duration,params_aggregation,params_alpha,params_l1_ratio,params_lr,user_attrs_val_metrics,state
0,0.2656475894392416,2026-02-03 12:33:10.362072,2026-02-03 12:33:41.343690,0 days 00:00:30.981618,attention,0.0028453244026365606,0.8729400643840162,0.0009231068811693051,"{'val_rmse_mean': 0.7343315482139587, 'val_mae_mean': 0.647418737411499, 'val_r2_mean': -0.4541398286819458, 'val_rmse_target_0': 0.7343315482139587, 'val_mae_target_0': 0.647418737411499, 'val_r2_target_0': -0.4541398286819458}",COMPLETE
1,0.2774488479416404,2026-02-03 12:33:41.504870,2026-02-03 12:34:12.872627,0 days 00:00:31.367757,attention,0.13824979286139563,0.8113159451522803,0.0042013293402614425,"{'val_rmse_mean': 0.7764219045639038, 'val_mae_mean': 0.5956600308418274, 'val_r2_mean': -0.028583288192749023, 'val_rmse_target_0': 0.7764219045639038, 'val_mae_target_0': 0.5956600308418274, 'val_r2_target_0': -0.028583288192749023}",COMPLETE
2,0.34585826531164693,2026-02-03 12:34:13.032280,2026-02-03 12:34:43.006677,0 days 00:00:29.974397,attention,0.015376489166382217,0.2424437378298664,0.00044816351741569705,"{'val_rmse_mean': 0.8623790740966797, 'val_mae_mean': 0.7457654476165771, 'val_r2_mean': -1.9071390628814697, 'val_rmse_target_0': 0.8623790740966797, 'val_mae_target_0': 0.7457654476165771, 'val_r2_target_0': -1.9071390628814697}",COMPLETE
3,0.40129581521506663,2026-02-03 12:34:43.166475,2026-02-03 12:35:14.269713,0 days 00:00:31.103238,attention,0.27613795401623153,0.22643898756501457,0.00020386045541680755,"{'val_rmse_mean': 0.9444591999053955, 'val_mae_mean': 0.7847477793693542, 'val_r2_mean': -6.288944244384766, 'val_rmse_target_0': 0.9444591999053955, 'val_mae_target_0': 0.7847477793693542, 'val_r2_target_0': -6.288944244384766}",COMPLETE
4,0.25831603070859005,2026-02-03 12:35:14.428801,2026-02-03 12:35:44.776751,0 days 00:00:30.347950,attention,0.053018338170574095,0.6168132190105257,0.00471562668454886,"{'val_rmse_mean': 0.7254181504249573, 'val_mae_mean': 0.6182698011398315, 'val_r2_mean': 0.205308735370636, 'val_rmse_target_0': 0.7254181504249573, 'val_mae_target_0': 0.6182698011398315, 'val_r2_target_0': 0.205308735370636}",COMPLETE
5,0.35669532389416686,2026-02-03 12:35:44.936123,2026-02-03 12:36:12.501636,0 days 00:00:27.565513,mean,0.012871760868573015,0.2132770052570906,0.00026747170027796824,"{'val_rmse_mean': 0.8783225417137146, 'val_mae_mean': 0.7141867280006409, 'val_r2_mean': -4.479477882385254, 'val_rmse_target_0': 0.8783225417137146, 'val_mae_target_0': 0.7141867280006409, 'val_r2_target_0': -4.479477882385254}",COMPLETE
6,0.269670467405511,2026-02-03 12:36:12.661959,2026-02-03 12:36:40.169540,0 days 00:00:27.507581,mean,0.00030027847990134605,0.4759657055484813,0.002293852874559289,"{'val_rmse_mean': 0.7505597472190857, 'val_mae_mean': 0.6122614741325378, 'val_r2_mean': -0.08637845516204834, 'val_rmse_target_0': 0.7505597472190857, 'val_mae_target_0': 0.6122614741325378, 'val_r2_target_0': -0.08637845516204834}",COMPLETE
7,0.2986671706870159,2026-02-03 12:36:40.330068,2026-02-03 12:37:11.613011,0 days 00:00:31.282943,attention,0.015495177575408336,0.8556895889396189,0.0014322080805432478,"{'val_rmse_mean': 0.8316018581390381, 'val_mae_mean': 0.634653627872467, 'val_r2_mean': -0.3628551959991455, 'val_rmse_target_0': 0.8316018581390381, 'val_mae_target_0': 0.634653627872467, 'val_r2_target_0': -0.3628551959991455}",COMPLETE
8,0.2996974588949578,2026-02-03 12:37:11.773774,2026-02-03 12:37:40.228997,0 days 00:00:28.455223,mean,0.007853068641305916,0.2370522725669605,0.0010301088457763147,"{'val_rmse_mean': 0.7904748320579529, 'val_mae_mean': 0.6826608180999756, 'val_r2_mean': -0.8066465854644775, 'val_rmse_target_0': 0.7904748320579529, 'val_mae_target_0': 0.6826608180999756, 'val_r2_target_0': -0.8066465854644775}",COMPLETE
9,0.30296398406251146,2026-02-03 12:37:40.389134,2026-02-03 12:38:11.853854,0 days 00:00:31.464720,attention,0.2072562561021523,0.8570297807921256,0.004025722895175137,"{'val_rmse_mean': 0.8003324270248413, 'val_mae_mean': 0.6538904905319214, 'val_r2_mean': 0.1375201940536499, 'val_rmse_target_0': 0.8003324270248413, 'val_mae_target_0': 0.6538904905319214, 'val_r2_target_0': 0.1375201940536499}",COMPLETE
10,0.3996790859404158,2026-02-03 12:38:12.013162,2026-02-03 12:38:41.359523,0 days 00:00:29.346361,mean,0.8594921410790765,0.6150349480026329,0.00014208585996352074,"{'val_rmse_mean': 0.9320435523986816, 'val_mae_mean': 0.773680567741394, 'val_r2_mean': -7.522210121154785, 'val_rmse_target_0': 0.9320435523986816, 'val_mae_target_0': 0.773680567741394, 'val_r2_target_0': -7.522210121154785}",COMPLETE
11,0.28243784621116463,2026-02-03 12:38:41.519120,2026-02-03 12:39:12.646873,0 days 00:00:31.127753,attention,0.0011751129490175376,0.6511653697603071,0.000576099137947758,"{'val_rmse_mean': 0.7653891444206238, 'val_mae_mean': 0.6568371653556824, 'val_r2_mean': -0.5690559148788452, 'val_rmse_target_0': 0.7653891444206238, 'val_mae_target_0': 0.6568371653556824, 'val_r2_target_0': -0.5690559148788452}",COMPLETE
12,0.27115129933096155,2026-02-03 12:39:12.806285,2026-02-03 12:39:43.846641,0 days 00:00:31.040356,attention,0.0016499399503015798,0.4427808517219133,0.001965733980639153,"{'val_rmse_mean': 0.777824342250824, 'val_mae_mean': 0.596459150314331, 'val_r2_mean': -0.4585767984390259, 'val_rmse_target_0': 0.777824342250824, 'val_mae_target_0': 0.596459150314331, 'val_r2_target_0': -0.4585767984390259}",COMPLETE
13,0.2861205674492306,2026-02-03 12:39:44.005765,2026-02-03 12:40:13.471067,0 days 00:00:29.465302,attention,0.04872627834377109,0.7053760004206764,0.00084595394608441,"{'val_rmse_mean': 0.7745338082313538, 'val_mae_mean': 0.6189526915550232, 'val_r2_mean': -0.7683048248291016, 'val_rmse_target_0': 0.7745338082313538, 'val_mae_target_0': 0.6189526915550232, 'val_r2_target_0': -0.7683048248291016}",COMPLETE
14,0.2656444853594251,2026-02-03 12:40:13.631800,2026-02-03 12:40:45.577175,0 days 00:00:31.945375,attention,0.0026201685712050355,0.7256590821981207,0.0028017745543779077,"{'val_rmse_mean': 0.7466506958007812, 'val_mae_mean': 0.644417941570282, 'val_r2_mean': -0.2035161256790161, 'val_rmse_target_0': 0.7466506958007812, 'val_mae_target_0': 0.644417941570282, 'val_r2_target_0': -0.2035161256790161}",COMPLETE
15,0.24701696526265263,2026-02-03 12:40:45.739385,2026-02-03 12:41:17.204145,0 days 00:00:31.464760,attention,0.00010401836542917057,0.5769624579377737,0.002813878327503814,"{'val_rmse_mean': 0.7308623790740967, 'val_mae_mean': 0.5792883038520813, 'val_r2_mean': -0.04429507255554199, 'val_rmse_target_0': 0.7308623790740967, 'val_mae_target_0': 0.5792883038520813, 'val_r2_target_0': -0.04429507255554199}",COMPLETE
16,0.23331948332283733,2026-02-03 12:41:17.363201,2026-02-03 12:41:48.493141,0 days 00:00:31.129940,attention,0.00015792424926632607,0.5452731954638171,0.00458338194483652,"{'val_rmse_mean': 0.6959180235862732, 'val_mae_mean': 0.5815845131874084, 'val_r2_mean': 0.01071631908416748, 'val_rmse_target_0': 0.6959180235862732, 'val_mae_target_0': 0.5815845131874084, 'val_r2_target_0': 0.01071631908416748}",COMPLETE
17,0.3503171568671759,2026-02-03 12:41:48.652721,2026-02-03 12:42:19.915283,0 days 00:00:31.262562,attention,0.00011662174901666471,0.38378657651225745,0.0015976393695276317,"{'val_rmse_mean': 0.8647503852844238, 'val_mae_mean': 0.7302995324134827, 'val_r2_mean': -0.7563023567199707, 'val_rmse_target_0': 0.8647503852844238, 'val_mae_target_0': 0.7302995324134827, 'val_r2_target_0': -0.7563023567199707}",COMPLETE
18,0.25641451484681155,2026-02-03 12:42:20.075158,2026-02-03 12:42:48.413468,0 days 00:00:28.338310,mean,0.00037022101270874514,0.3546289232667198,0.0029377073259386523,"{'val_rmse_mean': 0.7305704951286316, 'val_mae_mean': 0.5731915831565857, 'val_r2_mean': 0.08644223213195801, 'val_rmse_target_0': 0.7305704951286316, 'val_mae_target_0': 0.5731915831565857, 'val_r2_target_0': 0.08644223213195801}",COMPLETE
19,0.2419250681478944,2026-02-03 12:42:48.574694,2026-02-03 12:43:19.735790,0 days 00:00:31.161096,attention,0.000101790894890242,0.5459556479636243,0.003275793723442694,"{'val_rmse_mean': 0.7093809247016907, 'val_mae_mean': 0.5966789722442627, 'val_r2_mean': 0.2275550365447998, 'val_rmse_target_0': 0.7093809247016907, 'val_mae_target_0': 0.5966789722442627, 'val_r2_target_0': 0.2275550365447998}",COMPLETE
20,0.3184692818803241,2026-02-03 12:43:19.904269,2026-02-03 12:43:51.499341,0 days 00:00:31.595072,attention,0.00046700953688816587,0.5332656529565919,0.0013814562984769735,"{'val_rmse_mean': 0.8281494975090027, 'val_mae_mean': 0.6636465787887573, 'val_r2_mean': -0.6537408828735352, 'val_rmse_target_0': 0.8281494975090027, 'val_mae_target_0': 0.6636465787887573, 'val_r2_target_0': -0.6537408828735352}",COMPLETE
21,0.19170618894578959,2026-02-03 12:43:51.658584,2026-02-03 12:44:22.074562,0 days 00:00:30.415978,attention,0.00010548502168710897,0.5347047757057309,0.003234808985291351,"{'val_rmse_mean': 0.6390206217765808, 'val_mae_mean': 0.4924429655075073, 'val_r2_mean': 0.30330371856689453, 'val_rmse_target_0': 0.6390206217765808, 'val_mae_target_0': 0.4924429655075073, 'val_r2_target_0': 0.30330371856689453}",COMPLETE
22,0.25800953878900956,2026-02-03 12:44:22.234326,2026-02-03 12:44:53.940656,0 days 00:00:31.706330,attention,0.0002203574751156388,0.5200548584439318,0.0036193160551242676,"{'val_rmse_mean': 0.7706682085990906, 'val_mae_mean': 0.5784653425216675, 'val_r2_mean': -0.0140000581741333, 'val_rmse_target_0': 0.7706682085990906, 'val_mae_target_0': 0.5784653425216675, 'val_r2_target_0': -0.0140000581741333}",COMPLETE
23,0.2609686416172836,2026-02-03 12:44:54.100285,2026-02-03 12:45:23.914666,0 days 00:00:29.814381,attention,0.0007520316788675713,0.3605043440134132,0.004761840623736996,"{'val_rmse_mean': 0.7317842245101929, 'val_mae_mean': 0.6208131313323975, 'val_r2_mean': -0.14676916599273682, 'val_rmse_target_0': 0.7317842245101929, 'val_mae_target_0': 0.6208131313323975, 'val_r2_target_0': -0.14676916599273682}",COMPLETE
