number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_num_conv_layers,params_path_attention_type,params_path_dim,params_regressor_dim,params_ts_out_channels,params_weight_decay,user_attrs_val_metrics,state
0,0.47944872514819037,2026-02-04 00:59:24.589670,2026-02-04 01:00:05.594102,0 days 00:00:41.004432,16,0.4440463080304965,6.429561327421019e-05,2,mean,8,32,16,0.0013609701635900495,"{'val_rmse_mean': 1.0604944229125977, 'val_mae_mean': 0.8620594143867493, 'val_r2_mean': -54.81163787841797, 'val_rmse_target_0': 1.0604944229125977, 'val_mae_target_0': 0.8620594143867493, 'val_r2_target_0': -54.81163787841797}",COMPLETE
1,0.4119147309447052,2026-02-04 01:00:05.794492,2026-02-04 01:00:47.393856,0 days 00:00:41.599364,16,0.38284049786159247,6.75683929340132e-05,2,mean,4,64,16,0.00612198702543314,"{'val_rmse_mean': 0.9753684401512146, 'val_mae_mean': 0.7949715852737427, 'val_r2_mean': -50.83370590209961, 'val_rmse_target_0': 0.9753684401512146, 'val_mae_target_0': 0.7949715852737427, 'val_r2_target_0': -50.83370590209961}",COMPLETE
2,0.4357073620097556,2026-02-04 01:00:47.589366,2026-02-04 01:01:26.553042,0 days 00:00:38.963676,16,0.4423702126751057,7.107960838260539e-05,2,mean,4,32,16,0.009637153260989769,"{'val_rmse_mean': 0.9974439144134521, 'val_mae_mean': 0.8344646692276001, 'val_r2_mean': -31.760562896728516, 'val_rmse_target_0': 0.9974439144134521, 'val_mae_target_0': 0.8344646692276001, 'val_r2_target_0': -31.760562896728516}",COMPLETE
3,0.46528473197206577,2026-02-04 01:01:26.750226,2026-02-04 01:02:06.699981,0 days 00:00:39.949755,16,0.2141964764886053,9.610834728348617e-05,2,mean,16,64,16,0.0038367880070293977,"{'val_rmse_mean': 1.0353471040725708, 'val_mae_mean': 0.8725311756134033, 'val_r2_mean': -152.29049682617188, 'val_rmse_target_0': 1.0353471040725708, 'val_mae_target_0': 0.8725311756134033, 'val_r2_target_0': -152.29049682617188}",COMPLETE
4,0.49875079046965026,2026-02-04 01:02:06.898238,2026-02-04 01:02:49.676264,0 days 00:00:42.778026,16,0.4270753634701261,0.0003488760947896328,2,mean,16,128,16,0.0035352505943003518,"{'val_rmse_mean': 1.0621042251586914, 'val_mae_mean': 0.8997324705123901, 'val_r2_mean': -21.828014373779297, 'val_rmse_target_0': 1.0621042251586914, 'val_mae_target_0': 0.8997324705123901, 'val_r2_target_0': -21.828014373779297}",COMPLETE
5,0.48663871181283697,2026-02-04 01:02:49.873967,2026-02-04 01:03:31.167600,0 days 00:00:41.293633,16,0.35353731584203407,7.531222224347013e-05,2,mean,16,256,16,0.0028789766300988057,"{'val_rmse_mean': 1.0608043670654297, 'val_mae_mean': 0.8899244666099548, 'val_r2_mean': -60.34101486206055, 'val_rmse_target_0': 1.0608043670654297, 'val_mae_target_0': 0.8899244666099548, 'val_r2_target_0': -60.34101486206055}",COMPLETE
6,0.4758503741440681,2026-02-04 01:03:31.367847,2026-02-04 01:04:11.858918,0 days 00:00:40.491071,16,0.486427876716707,5.485380165705619e-05,2,mean,8,256,16,0.004259928094161706,"{'val_rmse_mean': 1.0486862659454346, 'val_mae_mean': 0.8737679719924927, 'val_r2_mean': -91.13961791992188, 'val_rmse_target_0': 1.0486862659454346, 'val_mae_target_0': 0.8737679719924927, 'val_r2_target_0': -91.13961791992188}",COMPLETE
7,0.4987182151439979,2026-02-04 01:04:12.056669,2026-02-04 01:04:55.766574,0 days 00:00:43.709905,16,0.29690451132846407,0.0003976536091382993,2,mean,4,32,16,0.004938454974403476,"{'val_rmse_mean': 1.0706630945205688, 'val_mae_mean': 0.9058349132537842, 'val_r2_mean': -59.593971252441406, 'val_rmse_target_0': 1.0706630945205688, 'val_mae_target_0': 0.9058349132537842, 'val_r2_target_0': -59.593971252441406}",COMPLETE
8,0.4627707307054489,2026-02-04 01:04:55.967484,2026-02-04 01:05:38.109156,0 days 00:00:42.141672,16,0.3232871879831124,0.00010685864183157847,2,mean,8,64,16,0.001900794311785218,"{'val_rmse_mean': 1.0343868732452393, 'val_mae_mean': 0.871688723564148, 'val_r2_mean': -91.30160522460938, 'val_rmse_target_0': 1.0343868732452393, 'val_mae_target_0': 0.871688723564148, 'val_r2_target_0': -91.30160522460938}",COMPLETE
9,0.4626581027448453,2026-02-04 01:05:38.306819,2026-02-04 01:06:19.865836,0 days 00:00:41.559017,16,0.4452440192625694,7.591371483968959e-05,2,mean,16,256,16,0.002903699728888909,"{'val_rmse_mean': 1.0343141555786133, 'val_mae_mean': 0.8570467829704285, 'val_r2_mean': -133.05255126953125, 'val_rmse_target_0': 1.0343141555786133, 'val_mae_target_0': 0.8570467829704285, 'val_r2_target_0': -133.05255126953125}",COMPLETE
