number,value,datetime_start,datetime_complete,duration,params_aggregation,params_lr,params_weight_decay,user_attrs_val_metrics,state
0,0.5204143138015987,2026-02-04 03:40:52.935227,2026-02-04 03:41:25.345058,0 days 00:00:32.409831,attention,0.0030952286354117295,2.4581704805735225e-05,"{'val_rmse_mean': 1.105216383934021, 'val_mae_mean': 0.8998379111289978, 'val_r2_mean': -2.099351644515991, 'val_rmse_target_0': 1.105216383934021, 'val_mae_target_0': 0.8998379111289978, 'val_r2_target_0': -2.099351644515991}",COMPLETE
1,0.45550565096049533,2026-02-04 03:41:25.550255,2026-02-04 03:41:56.927504,0 days 00:00:31.377249,mean,0.00014783651677718898,0.0014620090919244047,"{'val_rmse_mean': 1.0453225374221802, 'val_mae_mean': 0.820015013217926, 'val_r2_mean': -22.35622215270996, 'val_rmse_target_0': 1.0453225374221802, 'val_mae_target_0': 0.820015013217926, 'val_r2_target_0': -22.35622215270996}",COMPLETE
2,0.48361847996912916,2026-02-04 03:41:57.133697,2026-02-04 03:42:28.966105,0 days 00:00:31.832408,mean,0.0002618598411823723,5.009158293060993e-06,"{'val_rmse_mean': 1.0386768579483032, 'val_mae_mean': 0.8789936900138855, 'val_r2_mean': -15.818693161010742, 'val_rmse_target_0': 1.0386768579483032, 'val_mae_target_0': 0.8789936900138855, 'val_r2_target_0': -15.818693161010742}",COMPLETE
3,0.48676619135666344,2026-02-04 03:42:29.174290,2026-02-04 03:43:00.744444,0 days 00:00:31.570154,mean,0.002445605249869824,0.003583078261885847,"{'val_rmse_mean': 1.064263105392456, 'val_mae_mean': 0.8486712574958801, 'val_r2_mean': -3.12321138381958, 'val_rmse_target_0': 1.064263105392456, 'val_mae_target_0': 0.8486712574958801, 'val_r2_target_0': -3.12321138381958}",COMPLETE
4,0.5082255168269041,2026-02-04 03:43:00.950534,2026-02-04 03:43:31.876751,0 days 00:00:30.926217,mean,0.0025924077339057098,8.585838010853827e-06,"{'val_rmse_mean': 1.1007394790649414, 'val_mae_mean': 0.8672276735305786, 'val_r2_mean': -2.9952969551086426, 'val_rmse_target_0': 1.1007394790649414, 'val_mae_target_0': 0.8672276735305786, 'val_r2_target_0': -2.9952969551086426}",COMPLETE
5,0.38982707143324863,2026-02-04 03:43:32.082678,2026-02-04 03:44:03.441423,0 days 00:00:31.358745,mean,0.00016871317242611188,5.3727622263218365e-05,"{'val_rmse_mean': 0.9276326298713684, 'val_mae_mean': 0.7773855924606323, 'val_r2_mean': -16.692630767822266, 'val_rmse_target_0': 0.9276326298713684, 'val_mae_target_0': 0.7773855924606323, 'val_r2_target_0': -16.692630767822266}",COMPLETE
6,0.5252565253888153,2026-02-04 03:44:03.646402,2026-02-04 03:44:36.159034,0 days 00:00:32.512632,attention,0.0012055518581143422,0.0025051593883785223,"{'val_rmse_mean': 1.099279522895813, 'val_mae_mean': 0.9213371872901917, 'val_r2_mean': -2.8314013481140137, 'val_rmse_target_0': 1.099279522895813, 'val_mae_target_0': 0.9213371872901917, 'val_r2_target_0': -2.8314013481140137}",COMPLETE
7,0.4215001002324883,2026-02-04 03:44:36.365738,2026-02-04 03:45:08.075187,0 days 00:00:31.709449,mean,0.00011131071902348697,5.778374018027621e-05,"{'val_rmse_mean': 0.966947615146637, 'val_mae_mean': 0.7998833060264587, 'val_r2_mean': -18.00401496887207, 'val_rmse_target_0': 0.966947615146637, 'val_mae_target_0': 0.7998833060264587, 'val_r2_target_0': -18.00401496887207}",COMPLETE
8,0.5256528400221012,2026-02-04 03:45:08.282921,2026-02-04 03:45:39.600769,0 days 00:00:31.317848,mean,0.003813562681619941,0.003412433853823915,"{'val_rmse_mean': 1.1264241933822632, 'val_mae_mean': 0.899499773979187, 'val_r2_mean': -2.3486273288726807, 'val_rmse_target_0': 1.1264241933822632, 'val_mae_target_0': 0.899499773979187, 'val_r2_target_0': -2.3486273288726807}",COMPLETE
9,0.4630295050892191,2026-02-04 03:45:39.805887,2026-02-04 03:46:14.713363,0 days 00:00:34.907476,attention,0.003108312282486204,2.3888164366461864e-06,"{'val_rmse_mean': 1.0425766706466675, 'val_mae_mean': 0.7992165684700012, 'val_r2_mean': -1.8544807434082031, 'val_rmse_target_0': 1.0425766706466675, 'val_mae_target_0': 0.7992165684700012, 'val_r2_target_0': -1.8544807434082031}",COMPLETE
