number,value,datetime_start,datetime_complete,duration,params_aggregation,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
0,0.26093838287956544,2026-02-04 09:21:50.589637,2026-02-04 09:22:26.352170,0 days 00:00:35.762533,attention,0.2451224343037339,128,0.0007298802705082763,0.00013250644082539968,"{'val_rmse_mean': 0.7550786733627319, 'val_mae_mean': 0.6115382313728333, 'val_r2_mean': -0.005401134490966797, 'val_rmse_target_0': 0.7550786733627319, 'val_mae_target_0': 0.6115382313728333, 'val_r2_target_0': -0.005401134490966797}",COMPLETE
1,0.30394584741615865,2026-02-04 09:22:26.575826,2026-02-04 09:22:58.877724,0 days 00:00:32.301898,mean,0.1498565186392,128,0.003829617267995682,0.0020359191419903663,"{'val_rmse_mean': 0.8254873156547546, 'val_mae_mean': 0.6480381488800049, 'val_r2_mean': -0.24821460247039795, 'val_rmse_target_0': 0.8254873156547546, 'val_mae_target_0': 0.6480381488800049, 'val_r2_target_0': -0.24821460247039795}",COMPLETE
2,0.26288131118269153,2026-02-04 09:22:59.098798,2026-02-04 09:23:34.865097,0 days 00:00:35.766299,attention,0.17495929160779175,32,0.0003591954066577066,0.0013025465075838334,"{'val_rmse_mean': 0.7679905295372009, 'val_mae_mean': 0.5809668302536011, 'val_r2_mean': -0.7691048383712769, 'val_rmse_target_0': 0.7679905295372009, 'val_mae_target_0': 0.5809668302536011, 'val_r2_target_0': -0.7691048383712769}",COMPLETE
3,0.26124659945788964,2026-02-04 09:23:35.087322,2026-02-04 09:24:10.730408,0 days 00:00:35.643086,attention,0.36376842907136475,64,0.000957203986924655,5.407112700132413e-05,"{'val_rmse_mean': 0.7631013989448547, 'val_mae_mean': 0.5816559791564941, 'val_r2_mean': -0.5797275304794312, 'val_rmse_target_0': 0.7631013989448547, 'val_mae_target_0': 0.5816559791564941, 'val_r2_target_0': -0.5797275304794312}",COMPLETE
4,0.22332211796081672,2026-02-04 09:24:10.954913,2026-02-04 09:24:46.319572,0 days 00:00:35.364659,attention,0.29797561907138326,32,0.0003272085168377009,0.00010066109931201649,"{'val_rmse_mean': 0.7103879451751709, 'val_mae_mean': 0.5325639843940735, 'val_r2_mean': -1.1010146141052246, 'val_rmse_target_0': 0.7103879451751709, 'val_mae_target_0': 0.5325639843940735, 'val_r2_target_0': -1.1010146141052246}",COMPLETE
5,0.27023691848632925,2026-02-04 09:24:46.543586,2026-02-04 09:25:21.265190,0 days 00:00:34.721604,attention,0.28585136362271996,64,0.0014249949893381125,5.4388366811870546e-05,"{'val_rmse_mean': 0.7670602202415466, 'val_mae_mean': 0.608805775642395, 'val_r2_mean': -0.08437299728393555, 'val_rmse_target_0': 0.7670602202415466, 'val_mae_target_0': 0.608805775642395, 'val_r2_target_0': -0.08437299728393555}",COMPLETE
6,0.26173610633014943,2026-02-04 09:25:21.487882,2026-02-04 09:25:56.286867,0 days 00:00:34.798985,attention,0.3054108921861862,128,0.0010230094925103067,0.0014961622113991466,"{'val_rmse_mean': 0.7592142224311829, 'val_mae_mean': 0.5825695991516113, 'val_r2_mean': -0.1338653564453125, 'val_rmse_target_0': 0.7592142224311829, 'val_mae_target_0': 0.5825695991516113, 'val_r2_target_0': -0.1338653564453125}",COMPLETE
7,0.2586375963659925,2026-02-04 09:25:56.508657,2026-02-04 09:26:31.701513,0 days 00:00:35.192856,attention,0.12023020206379749,32,0.0030134863648198073,0.00024703714975035787,"{'val_rmse_mean': 0.763003945350647, 'val_mae_mean': 0.5704869627952576, 'val_r2_mean': -0.2734682559967041, 'val_rmse_target_0': 0.763003945350647, 'val_mae_target_0': 0.5704869627952576, 'val_r2_target_0': -0.2734682559967041}",COMPLETE
8,0.256151442916167,2026-02-04 09:26:31.923605,2026-02-04 09:27:05.707583,0 days 00:00:33.783978,attention,0.2564074906473611,32,0.00040356632102623994,0.0026911680496315695,"{'val_rmse_mean': 0.7523967027664185, 'val_mae_mean': 0.5873904228210449, 'val_r2_mean': -0.4491560459136963, 'val_rmse_target_0': 0.7523967027664185, 'val_mae_target_0': 0.5873904228210449, 'val_r2_target_0': -0.4491560459136963}",COMPLETE
9,0.2725862797028998,2026-02-04 09:27:05.930414,2026-02-04 09:27:38.873489,0 days 00:00:32.943075,mean,0.3290802741432688,128,0.00107045687527266,1.8046809622764267e-05,"{'val_rmse_mean': 0.7772499918937683, 'val_mae_mean': 0.5963387489318848, 'val_r2_mean': -0.1194455623626709, 'val_rmse_target_0': 0.7772499918937683, 'val_mae_target_0': 0.5963387489318848, 'val_r2_target_0': -0.1194455623626709}",COMPLETE
